idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[350.91460000000006, 365.88910000000004]","[0.537, 1.71]","[3.5320426638, 3.5135045543]","[19.0, 13.0]","[0.006995997570733603, -0.006995997570733659]",0.006995997570733659
"[0, 2]",2,"[350.91460000000006, 367.6363]","[0.537, 1.19]","[3.5320426638, 3.4974051314]","[19.0, 15.0]","[0.013938272252712824, -0.013938272252712824]",0.013938272252712824
"[0, 3]",2,"[350.91460000000006, 370.28560000000004]","[0.537, 0.619]","[3.5320426638, 3.4732842024999995]","[19.0, 17.0]","[0.025539484206244023, -0.02553948420624408]",0.02553948420624408
"[0, 4]",2,"[350.91460000000006, 384.874]","[0.537, 0.543]","[3.5320426638, 3.2204003367999996]","[19.0, 17.0]","[0.13258683032958757, -0.1325868303295874]",0.13258683032958757
"[0, 5]",2,"[350.91460000000006, 387.41720000000004]","[0.537, 1.0]","[3.5320426638, 3.199260507]","[19.0, 15.0]","[0.12482507389608716, -0.12482507389608721]",0.12482507389608721
"[0, 6]",2,"[350.91460000000006, 403.3027]","[0.537, 0.374]","[3.5320426638, 3.199260507]","[19.0, 15.0]","[0.14155490847938135, -0.14155490847938135]",0.14155490847938135
"[1, 2]",2,"[365.88910000000004, 367.6363]","[1.71, 1.19]","[3.5135045543, 3.4974051314]","[13.0, 15.0]","[0.00693568490562646, -0.006935684905626349]",0.00693568490562646
"[1, 3]",2,"[365.88910000000004, 370.28560000000004]","[1.71, 0.619]","[3.5135045543, 3.4732842024999995]","[13.0, 17.0]","[0.01551348695324839, -0.015513486953248334]",0.01551348695324839
"[1, 4]",2,"[365.88910000000004, 384.874]","[1.71, 0.543]","[3.5135045543, 3.2204003367999996]","[13.0, 17.0]","[0.11924407074935273, -0.11924407074935278]",0.11924407074935278
"[1, 5]",2,"[365.88910000000004, 387.41720000000004]","[1.71, 1.0]","[3.5135045543, 3.199260507]","[13.0, 15.0]","[0.13590242856014467, -0.13590242856014473]",0.13590242856014473
"[1, 6]",2,"[365.88910000000004, 403.3027]","[1.71, 0.374]","[3.5135045543, 3.199260507]","[13.0, 15.0]","[0.10640089521776686, -0.10640089521776697]",0.10640089521776697
"[2, 3]",2,"[367.6363, 370.28560000000004]","[1.19, 0.619]","[3.4974051314, 3.4732842024999995]","[15.0, 17.0]","[0.009865224377522908, -0.009865224377522963]",0.009865224377522963
"[2, 4]",2,"[367.6363, 384.874]","[1.19, 0.543]","[3.4974051314, 3.2204003367999996]","[15.0, 17.0]","[0.11728214340251641, -0.11728214340251641]",0.11728214340251641
"[2, 5]",2,"[367.6363, 387.41720000000004]","[1.19, 1.0]","[3.4974051314, 3.199260507]","[15.0, 15.0]","[0.12768206158943446, -0.12768206158943446]",0.12768206158943446
"[2, 6]",2,"[367.6363, 403.3027]","[1.19, 0.374]","[3.4974051314, 3.199260507]","[15.0, 15.0]","[0.10992784278522727, -0.10992784278522727]",0.10992784278522727
"[3, 4]",2,"[370.28560000000004, 384.874]","[0.619, 0.543]","[3.4732842024999995, 3.2204003367999996]","[17.0, 17.0]","[0.10855928896990502, -0.10855928896990485]",0.10855928896990502
"[3, 5]",2,"[370.28560000000004, 387.41720000000004]","[0.619, 1.0]","[3.4732842024999995, 3.199260507]","[17.0, 15.0]","[0.10518666468073595, -0.1051866646807359]",0.10518666468073595
"[3, 6]",2,"[370.28560000000004, 403.3027]","[0.619, 0.374]","[3.4732842024999995, 3.199260507]","[17.0, 15.0]","[0.11579380287368712, -0.11579380287368718]",0.11579380287368718
"[4, 5]",2,"[384.874, 387.41720000000004]","[0.543, 1.0]","[3.2204003367999996, 3.199260507]","[17.0, 15.0]","[0.008626972713908554, -0.008626972713908554]",0.008626972713908554
"[4, 6]",2,"[384.874, 403.3027]","[0.543, 0.374]","[3.2204003367999996, 3.199260507]","[17.0, 15.0]","[0.008617121369364766, -0.008617121369364766]",0.008617121369364766
"[5, 6]",2,"[387.41720000000004, 403.3027]","[1.0, 0.374]","[3.199260507, 3.199260507]","[15.0, 15.0]","[0.0, 0.0]",0.0
"[0, 1, 2]",3,"[350.91460000000006, 365.88910000000004, 367.6363]","[0.537, 1.71, 1.19]","[3.5320426638, 3.5135045543, 3.4974051314]","[19.0, 13.0, 15.0]","[0.007286839139219431, 0.0015127572080803064, -0.008799596347299599]",0.008799596347299599
"[0, 1, 3]",3,"[350.91460000000006, 365.88910000000004, 370.28560000000004]","[0.537, 1.71, 0.619]","[3.5320426638, 3.5135045543, 3.4732842024999995]","[19.0, 13.0, 17.0]","[0.010045122334509465, 0.005114329538896123, -0.015159451873405644]",0.015159451873405644
"[0, 1, 4]",3,"[350.91460000000006, 365.88910000000004, 384.874]","[0.537, 1.71, 0.543]","[3.5320426638, 3.5135045543, 3.2204003367999996]","[19.0, 13.0, 17.0]","[0.0390228157361272, 0.06823445630891006, -0.10725727204503735]",0.10725727204503735
"[0, 1, 5]",3,"[350.91460000000006, 365.88910000000004, 387.41720000000004]","[0.537, 1.71, 1.0]","[3.5320426638, 3.5135045543, 3.199260507]","[19.0, 13.0, 15.0]","[0.04662983662702905, 0.0870688971245277, -0.13369873375155666]",0.13369873375155666
"[0, 1, 6]",3,"[350.91460000000006, 365.88910000000004, 403.3027]","[0.537, 1.71, 0.374]","[3.5320426638, 3.5135045543, 3.199260507]","[19.0, 13.0, 15.0]","[0.033692536630094416, 0.05473967363461352, -0.08843221026470788]",0.08843221026470788
"[0, 2, 3]",3,"[350.91460000000006, 367.6363, 370.28560000000004]","[0.537, 1.19, 0.619]","[3.5320426638, 3.4974051314, 3.4732842024999995]","[19.0, 15.0, 17.0]","[0.014712111757965551, -0.0018773212831645902, -0.012834790474800906]",0.014712111757965551
"[0, 2, 4]",3,"[350.91460000000006, 367.6363, 384.874]","[0.537, 1.19, 0.543]","[3.5320426638, 3.4974051314, 3.2204003367999996]","[19.0, 15.0, 17.0]","[0.04911059267286941, 0.06019679626556951, -0.10930738893843889]",0.10930738893843889
"[0, 2, 5]",3,"[350.91460000000006, 367.6363, 387.41720000000004]","[0.537, 1.19, 1.0]","[3.5320426638, 3.4974051314, 3.199260507]","[19.0, 15.0, 15.0]","[0.05586152300341532, 0.07657629839027086, -0.13243782139368632]",0.13243782139368632
"[0, 2, 6]",3,"[350.91460000000006, 367.6363, 403.3027]","[0.537, 1.19, 0.374]","[3.5320426638, 3.4974051314, 3.199260507]","[19.0, 15.0, 15.0]","[0.04444423672644654, 0.048188450817435724, -0.09263268754388226]",0.09263268754388226
"[0, 3, 4]",3,"[350.91460000000006, 370.28560000000004, 384.874]","[0.537, 0.619, 0.543]","[3.5320426638, 3.4732842024999995, 3.2204003367999996]","[19.0, 17.0, 17.0]","[0.07162090304630925, 0.043923873555518134, -0.11554477660182738]",0.11554477660182738
"[0, 3, 5]",3,"[350.91460000000006, 370.28560000000004, 387.41720000000004]","[0.537, 0.619, 1.0]","[3.5320426638, 3.4732842024999995, 3.199260507]","[19.0, 17.0, 15.0]","[0.07586357795704726, 0.054952347900444704, -0.1308159258574919]",0.1308159258574919
"[0, 3, 6]",3,"[350.91460000000006, 370.28560000000004, 403.3027]","[0.537, 0.619, 0.374]","[3.5320426638, 3.4732842024999995, 3.199260507]","[19.0, 17.0, 15.0]","[0.06899419662072309, 0.035264291853864926, -0.10425848847458813]",0.10425848847458813
"[0, 4, 5]",3,"[350.91460000000006, 384.874, 387.41720000000004]","[0.537, 0.543, 1.0]","[3.5320426638, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 15.0]","[0.09838341961655409, -0.030266507162317935, -0.06811691245423612]",0.09838341961655409
"[0, 4, 6]",3,"[350.91460000000006, 384.874, 403.3027]","[0.537, 0.543, 0.374]","[3.5320426638, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 15.0]","[0.12163364038873575, -0.07032723814305103, -0.05130640224568461]",0.12163364038873575
"[0, 5, 6]",3,"[350.91460000000006, 387.41720000000004, 403.3027]","[0.537, 1.0, 0.374]","[3.5320426638, 3.199260507, 3.199260507]","[19.0, 15.0, 15.0]","[0.10961894061689748, -0.08064552755746446, -0.028973413059432962]",0.10961894061689748
"[1, 2, 3]",3,"[365.88910000000004, 367.6363, 370.28560000000004]","[1.71, 1.19, 0.619]","[3.5135045543, 3.4974051314, 3.4732842024999995]","[13.0, 15.0, 17.0]","[0.010765092030339818, -0.001100511101760182, -0.009664580928579691]",0.010765092030339818
"[1, 2, 4]",3,"[365.88910000000004, 367.6363, 384.874]","[1.71, 1.19, 0.543]","[3.5135045543, 3.4974051314, 3.2204003367999996]","[13.0, 15.0, 17.0]","[0.05634960592969096, 0.03666759081446047, -0.09301719674415138]",0.09301719674415138
"[1, 2, 5]",3,"[365.88910000000004, 367.6363, 387.41720000000004]","[1.71, 1.19, 1.0]","[3.5135045543, 3.4974051314, 3.199260507]","[13.0, 15.0, 15.0]","[0.07154383277400983, 0.050435655106103094, -0.12197948788011287]",0.12197948788011287
"[1, 2, 6]",3,"[365.88910000000004, 367.6363, 403.3027]","[1.71, 1.19, 0.374]","[3.5135045543, 3.4974051314, 3.199260507]","[13.0, 15.0, 15.0]","[0.046484980949721144, 0.027548544603069047, -0.07403352555279002]",0.07403352555279002
"[1, 3, 4]",3,"[365.88910000000004, 370.28560000000004, 384.874]","[1.71, 0.619, 0.543]","[3.5135045543, 3.4732842024999995, 3.2204003367999996]","[13.0, 17.0, 17.0]","[0.07755790255559408, 0.021991245827098632, -0.0995491483826928]",0.0995491483826928
"[1, 3, 5]",3,"[365.88910000000004, 370.28560000000004, 387.41720000000004]","[1.71, 0.619, 1.0]","[3.5135045543, 3.4732842024999995, 3.199260507]","[13.0, 17.0, 15.0]","[0.09299537143110659, 0.03227800877948553, -0.1252733802105921]",0.1252733802105921
"[1, 3, 6]",3,"[365.88910000000004, 370.28560000000004, 403.3027]","[1.71, 0.619, 0.374]","[3.5135045543, 3.4732842024999995, 3.199260507]","[13.0, 17.0, 15.0]","[0.06733074690512808, 0.014774275523659453, -0.08210502242878756]",0.08210502242878756
"[1, 4, 5]",3,"[365.88910000000004, 384.874, 387.41720000000004]","[1.71, 0.543, 1.0]","[3.5135045543, 3.2204003367999996, 3.199260507]","[13.0, 17.0, 15.0]","[0.12540792227918368, -0.041762412586898584, -0.08364550969228507]",0.12540792227918368
"[1, 4, 6]",3,"[365.88910000000004, 384.874, 403.3027]","[1.71, 0.543, 0.374]","[3.5135045543, 3.2204003367999996, 3.199260507]","[13.0, 17.0, 15.0]","[0.13020830736600736, -0.07724607354612884, -0.05296223381987866]",0.13020830736600736
"[1, 5, 6]",3,"[365.88910000000004, 387.41720000000004, 403.3027]","[1.71, 1.0, 0.374]","[3.5135045543, 3.199260507, 3.199260507]","[13.0, 15.0, 15.0]","[0.13270331664446516, -0.0976284656574074, -0.035074850987057704]",0.13270331664446516
