idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[313.12600000000003, 336.261]","[1.06, 0.934]","[3.9582871436, 3.7153297365999993]","[11.0, 5.0]","[0.09552494306639459, -0.0955249430663947]",0.0955249430663947
"[0, 2]",2,"[313.12600000000003, 342.50800000000004]","[1.06, 0.652]","[3.9582871436, 3.6481090203999997]","[11.0, 7.0]","[0.1237418928111147, -0.12374189281111458]",0.1237418928111147
"[0, 3]",2,"[313.12600000000003, 344.15000000000003]","[1.06, 0.56]","[3.9582871436, 3.6308435655999998]","[11.0, 5.0]","[0.10942822243307693, -0.10942822243307698]",0.10942822243307698
"[0, 4]",2,"[313.12600000000003, 345.366]","[1.06, 0.266]","[3.9582871436, 3.6181566921999995]","[11.0, 9.0]","[0.10589376804401707, -0.1058937680440172]",0.1058937680440172
"[0, 5]",2,"[313.12600000000003, 346.22]","[1.06, 0.54]","[3.9582871436, 3.5799373775999994]","[11.0, 11.0]","[0.1611610476255858, -0.16116104762558575]",0.1611610476255858
"[0, 6]",2,"[313.12600000000003, 384.802]","[1.06, 0.466]","[3.9582871436, 3.2210028796]","[11.0, 7.0]","[0.2987372513471773, -0.2987372513471774]",0.2987372513471774
"[1, 2]",2,"[336.261, 342.50800000000004]","[0.934, 0.652]","[3.7153297365999993, 3.6481090203999997]","[5.0, 7.0]","[0.029221058474919293, -0.029221058474919237]",0.029221058474919293
"[1, 3]",2,"[336.261, 344.15000000000003]","[0.934, 0.56]","[3.7153297365999993, 3.6308435655999998]","[5.0, 5.0]","[0.03523354286319724, -0.035233542863197354]",0.035233542863197354
"[1, 4]",2,"[336.261, 345.366]","[0.934, 0.266]","[3.7153297365999993, 3.6181566921999995]","[5.0, 9.0]","[0.03918340056235403, -0.03918340056235409]",0.03918340056235409
"[1, 5]",2,"[336.261, 346.22]","[0.934, 0.54]","[3.7153297365999993, 3.5799373775999994]","[5.0, 11.0]","[0.05647845988406741, -0.0564784598840673]",0.05647845988406741
"[1, 6]",2,"[336.261, 384.802]","[0.934, 0.466]","[3.7153297365999993, 3.2210028796]","[5.0, 7.0]","[0.20935305931813847, -0.20935305931813852]",0.20935305931813852
"[2, 3]",2,"[342.50800000000004, 344.15000000000003]","[0.652, 0.56]","[3.6481090203999997, 3.6308435655999998]","[7.0, 5.0]","[0.007115928925688575, -0.007115928925688408]",0.007115928925688575
"[2, 4]",2,"[342.50800000000004, 345.366]","[0.652, 0.266]","[3.6481090203999997, 3.6181566921999995]","[7.0, 9.0]","[0.01189240503805944, -0.01189240503805944]",0.01189240503805944
"[2, 5]",2,"[342.50800000000004, 346.22]","[0.652, 0.54]","[3.6481090203999997, 3.5799373775999994]","[7.0, 11.0]","[0.028760177233406237, -0.02876017723340618]",0.028760177233406237
"[2, 6]",2,"[342.50800000000004, 384.802]","[0.652, 0.466]","[3.6481090203999997, 3.2210028796]","[7.0, 7.0]","[0.18251634753464513, -0.18251634753464502]",0.18251634753464513
