idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[354.90020000000004, 371.0287]","[0.397, 1.54]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.02295502829731566, -0.02295502829731566]",0.02295502829731566
"[0, 2]",2,"[354.90020000000004, 377.433]","[0.397, 1.1]","[3.6219465128399997, 3.4134571575799995]","[7.0, 7.0]","[0.0624618195291618, -0.062461819529161855]",0.062461819529161855
"[0, 3]",2,"[354.90020000000004, 437.49330000000003]","[0.397, 0.997]","[3.6219465128399997, 3.2417363029599997]","[7.0, 5.0]","[0.13392616854902406, -0.13392616854902395]",0.13392616854902406
"[0, 4]",2,"[354.90020000000004, 488.3682]","[0.397, 0.47]","[3.6219465128399997, 3.6219465128399997]","[7.0, 7.0]","[0.0, -5.551115123125783e-17]",5.551115123125783e-17
"[0, 5]",2,"[354.90020000000004, 508.7418]","[0.397, 0.195]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.039567442614013126, -0.039567442614013126]",0.039567442614013126
"[1, 2]",2,"[371.0287, 377.433]","[1.54, 1.1]","[3.52031006446, 3.4134571575799995]","[9.0, 7.0]","[0.044196115406823666, -0.04419611540682361]",0.044196115406823666
"[1, 3]",2,"[371.0287, 437.49330000000003]","[1.54, 0.997]","[3.52031006446, 3.2417363029599997]","[9.0, 5.0]","[0.10408384399448634, -0.10408384399448639]",0.10408384399448639
"[1, 4]",2,"[371.0287, 488.3682]","[1.54, 0.47]","[3.52031006446, 3.6219465128399997]","[9.0, 7.0]","[-0.02062399973873219, 0.020623999738732163]",0.02062399973873219
"[1, 5]",2,"[371.0287, 508.7418]","[1.54, 0.195]","[3.52031006446, 3.52031006446]","[9.0, 9.0]","[0.0, 0.0]",0.0
"[2, 3]",2,"[377.433, 437.49330000000003]","[1.1, 0.997]","[3.4134571575799995, 3.2417363029599997]","[7.0, 5.0]","[0.07256541934569738, -0.07256541934569738]",0.07256541934569738
"[2, 4]",2,"[377.433, 488.3682]","[1.1, 0.47]","[3.4134571575799995, 3.6219465128399997]","[7.0, 7.0]","[-0.057242243291506956, 0.0572422432915069]",0.057242243291506956
"[2, 5]",2,"[377.433, 508.7418]","[1.1, 0.195]","[3.4134571575799995, 3.52031006446]","[7.0, 9.0]","[-0.020561706777928013, 0.02056170677792793]",0.020561706777928013
"[3, 4]",2,"[437.49330000000003, 488.3682]","[0.997, 0.47]","[3.2417363029599997, 3.6219465128399997]","[5.0, 7.0]","[-0.1251061939853021, 0.12510619398530212]",0.12510619398530212
"[3, 5]",2,"[437.49330000000003, 508.7418]","[0.997, 0.195]","[3.2417363029599997, 3.52031006446]","[5.0, 9.0]","[-0.06792570938008302, 0.06792570938008291]",0.06792570938008302
"[4, 5]",2,"[488.3682, 508.7418]","[0.47, 0.195]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.041327687984323735, -0.04132768798432368]",0.041327687984323735
"[0, 1, 2]",3,"[354.90020000000004, 371.0287, 377.433]","[0.397, 1.54, 1.1]","[3.6219465128399997, 3.52031006446, 3.4134571575799995]","[7.0, 9.0, 7.0]","[0.022343339948074692, 0.02614148248897874, -0.04848482243705349]",0.04848482243705349
"[0, 1, 3]",3,"[354.90020000000004, 371.0287, 437.49330000000003]","[0.397, 1.54, 0.997]","[3.6219465128399997, 3.52031006446, 3.2417363029599997]","[7.0, 9.0, 5.0]","[0.032260189566246184, 0.07047793435005256, -0.10273812391629877]",0.10273812391629877
"[0, 1, 4]",3,"[354.90020000000004, 371.0287, 488.3682]","[0.397, 1.54, 0.47]","[3.6219465128399997, 3.52031006446, 3.6219465128399997]","[7.0, 9.0, 7.0]","[0.017912352775567547, -0.033322928077912595, 0.015410575302345006]",0.033322928077912595
"[0, 1, 5]",3,"[354.90020000000004, 371.0287, 508.7418]","[0.397, 1.54, 0.195]","[3.6219465128399997, 3.52031006446, 3.52031006446]","[7.0, 9.0, 9.0]","[0.021570738301003478, -0.019747143846997495, -0.0018235944540059695]",0.021570738301003478
"[0, 2, 3]",3,"[354.90020000000004, 377.433, 437.49330000000003]","[0.397, 1.1, 0.997]","[3.6219465128399997, 3.4134571575799995, 3.2417363029599997]","[7.0, 7.0, 5.0]","[0.05940092013848508, 0.02753188503982129, -0.08693280517830654]",0.08693280517830654
