idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[211.66700000000003, 265.375]","[0.341, 3.9]","[5.8554464608, 7.325994317399999]","[2.0, 8.0]","[-0.3936862882526427, 0.39368628825264274]",0.39368628825264274
"[0, 2]",2,"[211.66700000000003, 275.0477]","[0.341, 3.2]","[5.8554464608, 7.1617443735999995]","[2.0, 10.0]","[-0.30896669815675093, 0.30896669815675093]",0.30896669815675093
"[0, 3]",2,"[211.66700000000003, 289.1384]","[0.341, 0.342]","[5.8554464608, 4.2866543726]","[2.0, 4.0]","[0.1975560550761391, -0.19755605507613905]",0.1975560550761391
"[0, 4]",2,"[211.66700000000003, 328.937]","[0.341, 1.62]","[5.8554464608, 3.7680286753999996]","[2.0, 4.0]","[0.04516654067166412, -0.045166540671664146]",0.045166540671664146
"[0, 5]",2,"[211.66700000000003, 369.41900000000004]","[0.341, 1.23]","[5.8554464608, 3.3551244436]","[2.0, 2.0]","[0.10040207006880106, -0.10040207006880109]",0.10040207006880109
"[1, 2]",2,"[265.375, 275.0477]","[3.9, 3.2]","[7.325994317399999, 7.1617443735999995]","[8.0, 10.0]","[0.07044217946040993, -0.07044217946040987]",0.07044217946040993
"[1, 3]",2,"[265.375, 289.1384]","[3.9, 0.342]","[7.325994317399999, 4.2866543726]","[8.0, 4.0]","[0.7888777018780571, -0.7888777018780571]",0.7888777018780571
"[1, 4]",2,"[265.375, 328.937]","[3.9, 1.62]","[7.325994317399999, 3.7680286753999996]","[8.0, 4.0]","[0.429398179234208, -0.429398179234208]",0.429398179234208
"[1, 5]",2,"[265.375, 369.41900000000004]","[3.9, 1.23]","[7.325994317399999, 3.3551244436]","[8.0, 2.0]","[0.6363278595389483, -0.6363278595389484]",0.6363278595389484
"[2, 3]",2,"[275.0477, 289.1384]","[3.2, 0.342]","[7.1617443735999995, 4.2866543726]","[10.0, 4.0]","[0.7924474695658164, -0.7924474695658164]",0.7924474695658164
"[2, 4]",2,"[275.0477, 328.937]","[3.2, 1.62]","[7.1617443735999995, 3.7680286753999996]","[10.0, 4.0]","[0.4496166972418407, -0.4496166972418406]",0.4496166972418407
"[2, 5]",2,"[275.0477, 369.41900000000004]","[3.2, 1.23]","[7.1617443735999995, 3.3551244436]","[10.0, 2.0]","[0.6548927904367076, -0.6548927904367075]",0.6548927904367076
"[3, 4]",2,"[289.1384, 328.937]","[0.342, 1.62]","[4.2866543726, 3.7680286753999996]","[4.0, 4.0]","[0.08370264008280398, -0.08370264008280393]",0.08370264008280398
"[3, 5]",2,"[289.1384, 369.41900000000004]","[0.342, 1.23]","[4.2866543726, 3.3551244436]","[4.0, 2.0]","[0.2171110171428543, -0.2171110171428543]",0.2171110171428543
"[4, 5]",2,"[328.937, 369.41900000000004]","[1.62, 1.23]","[3.7680286753999996, 3.3551244436]","[4.0, 2.0]","[0.16799065120614698, -0.16799065120614698]",0.16799065120614698
"[0, 1, 2]",3,"[211.66700000000003, 265.375, 275.0477]","[0.341, 3.9, 3.2]","[5.8554464608, 7.325994317399999, 7.1617443735999995]","[2.0, 8.0, 10.0]","[-0.22370041375452895, 0.15968892134969298, 0.06401149240483589]",0.22370041375452895
"[0, 1, 3]",3,"[211.66700000000003, 265.375, 289.1384]","[0.341, 3.9, 0.342]","[5.8554464608, 7.325994317399999, 4.2866543726]","[2.0, 8.0, 4.0]","[0.03233482013494904, 0.749133810307388, -0.7814686304423372]",0.7814686304423372
"[0, 1, 4]",3,"[211.66700000000003, 265.375, 328.937]","[0.341, 3.9, 1.62]","[5.8554464608, 7.325994317399999, 3.7680286753999996]","[2.0, 8.0, 4.0]","[0.025690291998721047, 0.41777597065355865, -0.44346626265227973]",0.44346626265227973
"[0, 1, 5]",3,"[211.66700000000003, 265.375, 369.41900000000004]","[0.341, 3.9, 1.23]","[5.8554464608, 7.325994317399999, 3.3551244436]","[2.0, 8.0, 2.0]","[0.03797210187634969, 0.6111722316313171, -0.6491443335076668]",0.6491443335076668
"[0, 2, 3]",3,"[211.66700000000003, 275.0477, 289.1384]","[0.341, 3.2, 0.342]","[5.8554464608, 7.1617443735999995, 4.2866543726]","[2.0, 10.0, 4.0]","[0.029333601881086704, 0.7548249344783764, -0.7841585363594632]",0.7841585363594632
"[0, 2, 4]",3,"[211.66700000000003, 275.0477, 328.937]","[0.341, 3.2, 1.62]","[5.8554464608, 7.1617443735999995, 3.7680286753999996]","[2.0, 10.0, 4.0]","[0.024725791673138493, 0.43786755796412163, -0.46259334963726007]",0.46259334963726007
"[0, 2, 5]",3,"[211.66700000000003, 275.0477, 369.41900000000004]","[0.341, 3.2, 1.23]","[5.8554464608, 7.1617443735999995, 3.3551244436]","[2.0, 10.0, 2.0]","[0.03594413161458205, 0.6303093932132984, -0.6662535248278805]",0.6662535248278805
"[0, 3, 4]",3,"[211.66700000000003, 289.1384, 328.937]","[0.341, 0.342, 1.62]","[5.8554464608, 4.2866543726, 3.7680286753999996]","[2.0, 4.0, 4.0]","[0.038520348013301904, 0.07778840883976634, -0.11630875685306807]",0.11630875685306807
"[0, 3, 5]",3,"[211.66700000000003, 289.1384, 369.41900000000004]","[0.341, 0.342, 1.23]","[5.8554464608, 4.2866543726, 3.3551244436]","[2.0, 4.0, 2.0]","[0.0729111732531449, 0.19547684116145347, -0.26838801441459825]",0.26838801441459825
"[0, 4, 5]",3,"[211.66700000000003, 328.937, 369.41900000000004]","[0.341, 1.62, 1.23]","[5.8554464608, 3.7680286753999996, 3.3551244436]","[2.0, 4.0, 2.0]","[0.03227072728084599, 0.1453015464666716, -0.17757227374751766]",0.17757227374751766
"[1, 2, 3]",3,"[265.375, 275.0477, 289.1384]","[3.9, 3.2, 0.342]","[7.325994317399999, 7.1617443735999995, 4.2866543726]","[8.0, 10.0, 4.0]","[0.41003584418964895, 0.43898444132503556, -0.8490202855146844]",0.8490202855146844
"[1, 2, 4]",3,"[265.375, 275.0477, 328.937]","[3.9, 3.2, 1.62]","[7.325994317399999, 7.1617443735999995, 3.7680286753999996]","[8.0, 10.0, 4.0]","[0.2917986600697877, 0.3170734640911845, -0.6088721241609723]",0.6088721241609723
"[1, 2, 5]",3,"[265.375, 275.0477, 369.41900000000004]","[3.9, 3.2, 1.23]","[7.325994317399999, 7.1617443735999995, 3.3551244436]","[8.0, 10.0, 2.0]","[0.3747975148807506, 0.40734496029527223, -0.7821424751760226]",0.7821424751760226
"[1, 3, 4]",3,"[265.375, 289.1384, 328.937]","[3.9, 0.342, 1.62]","[7.325994317399999, 4.2866543726, 3.7680286753999996]","[8.0, 4.0, 4.0]","[0.38991444942725123, 0.024732454056953415, -0.41464690348420474]",0.41464690348420474
"[1, 3, 5]",3,"[265.375, 289.1384, 369.41900000000004]","[3.9, 0.342, 1.23]","[7.325994317399999, 4.2866543726, 3.3551244436]","[8.0, 4.0, 2.0]","[0.5533404981905828, 0.05479382293121253, -0.6081343211217956]",0.6081343211217956
"[1, 4, 5]",3,"[265.375, 328.937, 369.41900000000004]","[3.9, 1.62, 1.23]","[7.325994317399999, 3.7680286753999996, 3.3551244436]","[8.0, 4.0, 2.0]","[0.34547545037711697, -0.073816807357585, -0.2716586430195319]",0.34547545037711697
"[2, 3, 4]",3,"[275.0477, 289.1384, 328.937]","[3.2, 0.342, 1.62]","[7.1617443735999995, 4.2866543726, 3.7680286753999996]","[10.0, 4.0, 4.0]","[0.4096482630084386, 0.021700018030525972, -0.4313482810389648]",0.4313482810389648
"[2, 3, 5]",3,"[275.0477, 289.1384, 369.41900000000004]","[3.2, 0.342, 1.23]","[7.1617443735999995, 4.2866543726, 3.3551244436]","[10.0, 4.0, 2.0]","[0.5734540445193856, 0.048748992795687465, -0.622203037315073]",0.622203037315073
"[2, 4, 5]",3,"[275.0477, 328.937, 369.41900000000004]","[3.2, 1.62, 1.23]","[7.1617443735999995, 3.7680286753999996, 3.3551244436]","[10.0, 4.0, 2.0]","[0.36454992961104715, -0.0872217999038819, -0.2773281297071651]",0.36454992961104715
"[3, 4, 5]",3,"[289.1384, 328.937, 369.41900000000004]","[0.342, 1.62, 1.23]","[4.2866543726, 3.7680286753999996, 3.3551244436]","[4.0, 4.0, 2.0]","[0.07369926129799761, 0.11023793858513398, -0.18393719988313145]",0.18393719988313145
"[0, 1, 2, 3]",4,"[211.66700000000003, 265.375, 275.0477, 289.1384]","[0.341, 3.9, 3.2, 0.342]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726]","[2.0, 8.0, 10.0, 4.0]","[0.01025798004695742, 0.39877914947793197, 0.4268538980692977, -0.8358910275941872]",0.8358910275941872
"[0, 1, 2, 4]",4,"[211.66700000000003, 265.375, 275.0477, 328.937]","[0.341, 3.9, 3.2, 1.62]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.7680286753999996]","[2.0, 8.0, 10.0, 4.0]","[0.017239741680409544, 0.28636784882065586, 0.31116262672578626, -0.6147702172268519]",0.6147702172268519
"[0, 1, 2, 5]",4,"[211.66700000000003, 265.375, 275.0477, 369.41900000000004]","[0.341, 3.9, 3.2, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.3551244436]","[2.0, 8.0, 10.0, 2.0]","[0.02219735725730174, 0.36589494227964114, 0.39765524336337055, -0.7857475429003133]",0.7857475429003133
"[0, 1, 3, 4]",4,"[211.66700000000003, 265.375, 289.1384, 328.937]","[0.341, 3.9, 0.342, 1.62]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.7680286753999996]","[2.0, 8.0, 4.0, 4.0]","[0.02335932186238485, 0.3803057280924159, 0.022556995133656638, -0.4262220450884574]",0.4262220450884574
"[0, 1, 3, 5]",4,"[211.66700000000003, 265.375, 289.1384, 369.41900000000004]","[0.341, 3.9, 0.342, 1.23]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.3551244436]","[2.0, 8.0, 4.0, 2.0]","[0.0331227782001103, 0.5342138105309564, 0.05040532221077797, -0.6177419109418447]",0.6177419109418447
"[0, 1, 4, 5]",4,"[211.66700000000003, 265.375, 328.937, 369.41900000000004]","[0.341, 3.9, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 4.0, 2.0]","[0.021107936142413623, 0.33792981610106065, -0.08341867432132855, -0.2756190779221457]",0.33792981610106065
"[0, 2, 3, 4]",4,"[211.66700000000003, 275.0477, 289.1384, 328.937]","[0.341, 3.2, 0.342, 1.62]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[2.0, 10.0, 4.0, 4.0]","[0.022557390931444554, 0.39987036512317736, 0.019671257052360835, -0.44209901310698285]",0.44209901310698285
"[0, 2, 3, 5]",4,"[211.66700000000003, 275.0477, 289.1384, 369.41900000000004]","[0.341, 3.2, 0.342, 1.23]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.3551244436]","[2.0, 10.0, 4.0, 2.0]","[0.03156286303956419, 0.5545087962799592, 0.04476440213057807, -0.6308360614501015]",0.6308360614501015
"[0, 2, 4, 5]",4,"[211.66700000000003, 275.0477, 328.937, 369.41900000000004]","[0.341, 3.2, 1.62, 1.23]","[5.8554464608, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[2.0, 10.0, 4.0, 2.0]","[0.020473775925319047, 0.35681289598288013, -0.0962460811373006, -0.2810405907708987]",0.35681289598288013
"[0, 3, 4, 5]",4,"[211.66700000000003, 289.1384, 328.937, 369.41900000000004]","[0.341, 0.342, 1.62, 1.23]","[5.8554464608, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 4.0, 4.0, 2.0]","[0.028758562749390315, 0.07047018497140861, 0.09227283049717283, -0.19150157821797165]",0.19150157821797165
"[1, 2, 3, 4]",4,"[265.375, 275.0477, 289.1384, 328.937]","[3.9, 3.2, 0.342, 1.62]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[8.0, 10.0, 4.0, 4.0]","[0.273005051624918, 0.2966534394422716, -0.002570356920309519, -0.5670881341468802]",0.5670881341468802
"[1, 2, 3, 5]",4,"[265.375, 275.0477, 289.1384, 369.41900000000004]","[3.9, 3.2, 0.342, 1.23]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.3551244436]","[8.0, 10.0, 4.0, 2.0]","[0.34435049973447657, 0.37425018235842483, 0.005913752091729063, -0.7245144341846304]",0.7245144341846304
"[1, 2, 4, 5]",4,"[265.375, 275.0477, 328.937, 369.41900000000004]","[3.9, 3.2, 1.62, 1.23]","[7.325994317399999, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[8.0, 10.0, 4.0, 2.0]","[0.25067479045599605, 0.2725689172467672, -0.19837010292491492, -0.3248736047778483]",0.3248736047778483
"[1, 3, 4, 5]",4,"[265.375, 289.1384, 328.937, 369.41900000000004]","[3.9, 0.342, 1.62, 1.23]","[7.325994317399999, 4.2866543726, 3.7680286753999996, 3.3551244436]","[8.0, 4.0, 4.0, 2.0]","[0.31947279534269185, 0.03830893625424372, -0.08861347668661695, -0.2691682549103187]",0.31947279534269185
"[2, 3, 4, 5]",4,"[275.0477, 289.1384, 328.937, 369.41900000000004]","[3.2, 0.342, 1.62, 1.23]","[7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[10.0, 4.0, 4.0, 2.0]","[0.3378572004867324, 0.03624957135012486, -0.1000906847567043, -0.27401608708015296]",0.3378572004867324
"[0, 1, 2, 3, 4]",5,"[211.66700000000003, 265.375, 275.0477, 289.1384, 328.937]","[0.341, 3.9, 3.2, 0.342, 1.62]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[2.0, 8.0, 10.0, 4.0, 4.0]","[0.016153050313274245, 0.26824571546535, 0.29147342433505713, -0.0036078593466131875, -0.5722643307670681]",0.5722643307670681
"[0, 1, 2, 3, 5]",5,"[211.66700000000003, 265.375, 275.0477, 289.1384, 369.41900000000004]","[0.341, 3.9, 3.2, 0.342, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 2.0]","[0.020427824238389604, 0.33682070500622163, 0.36605462963160734, 0.004246900912693322, -0.727550059788912]",0.727550059788912
"[0, 1, 2, 4, 5]",5,"[211.66700000000003, 265.375, 275.0477, 328.937, 369.41900000000004]","[0.341, 3.9, 3.2, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 2.0]","[0.015238234251736236, 0.24667139460163692, 0.2682113411623548, -0.2032953316096779, -0.32682563840605006]",0.32682563840605006
"[0, 1, 3, 4, 5]",5,"[211.66700000000003, 265.375, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.9, 0.342, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 4.0, 4.0, 2.0]","[0.019528023476274085, 0.313008457236855, 0.036815706849119986, -0.09681369722116728, -0.2725384903410816]",0.313008457236855
"[0, 2, 3, 4, 5]",5,"[211.66700000000003, 275.0477, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.2, 0.342, 1.62, 1.23]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 10.0, 4.0, 4.0, 2.0]","[0.01898269178232679, 0.3311997744844535, 0.0348380416253395, -0.10783143646629223, -0.27718907142582755]",0.3311997744844535
"[1, 2, 3, 4, 5]",5,"[265.375, 275.0477, 289.1384, 328.937, 369.41900000000004]","[3.9, 3.2, 0.342, 1.62, 1.23]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[8.0, 10.0, 4.0, 4.0, 2.0]","[0.23668601513561388, 0.2573527392624656, 0.0189185247225252, -0.19734812392362505, -0.3156091551969795]",0.3156091551969795
"[0, 1, 2, 3, 4, 5]",6,"[211.66700000000003, 265.375, 275.0477, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.9, 3.2, 0.342, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 4.0, 2.0]","[0.014389243990072614, 0.23311334784223234, 0.25346400539996716, 0.01810399783690953, -0.2017306840984237, -0.31733991097075787]",0.31733991097075787
