Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
250,3759.08,0.49,1970.7,5d2,a 3F,4,9,N
250,3759.08,0.49,28565.4,5d6p,x 3F¡«,4,9,N
400,3790.83,0.99,1016.1,5d2,a 3F,3,7,N
400,3790.83,0.99,27388.11,5d6p,y 3D¡«,2,5,N
400,3794.78,1.07,1970.7,5d2,a 3F,4,9,N
400,3794.78,1.07,28315.25,5d6p,y 3D¡«,3,7,N
400,3871.64,0.467,1016.1,5d2,a 3F,3,7,N
400,3871.64,0.467,26837.66,5d6p,x 3F¡«,3,7,N
1000,3949.1,1.47,3250.35,5d6s,a 3D,3,7,N
1000,3949.1,1.47,28565.4,5d6p,x 3F¡«,4,9,N
500,3988.52,0.97,3250.35,5d6s,a 3D,3,7,N
500,3988.52,0.97,28315.25,5d6p,y 3D¡«,3,7,N
400,3995.75,0.72,1394.46,5d2, ,2,5,N
400,3995.75,0.72,26414.01,5d6p,x 3F¡«,2,5,N
300,4031.69,0.68,2591.6,5d6s,a 3D,2,5,N
300,4031.69,0.68,27388.11,5d6p,y 3D¡«,2,5,N
,,,,,,,,
,,,,,,,,
300,4077.35,0.7,1895.15,5d6s,a 3D,1,3,N
300,4077.35,0.7,26414.01,5d6p,x 3F¡«,2,5,N
600,4086.72,0.68,0,5d2,a 3F,2,5,
600,4086.72,0.68,24462.66,5d6p,y 1D¡«,2,5,
500,4123.23,0.75,2591.6,5d6s,a 3D,2,5,
500,4123.23,0.75,26837.66,5d6p,x 3F¡«,3,7,
500,4333.74,0.62,1394.46,5d2, ,2,5,
500,4333.74,0.62,24462.66,5d6p,y 1D¡«,2,5,
