Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
  700*,4062.804,0.58,3403.21,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",6,13,N
  700*,4062.804,0.58,28009.8,4f3(4Iбл)6p,3K,7,15,N
,,,,,,,,
,,,,,,,,
600,4100.717,0.84,4437.14,4f3(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N
600,4100.717,0.84,28816.25,4f3(4Iбл)6p,5K,9,19,N
500,4143.112,0.89,2998.36,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",7,15,N
500,4143.112,0.89,27128,4f3(4Iбл)6p,5K,8,17,N
1000,4179.391,0.68,1649.01,4f3(4Iбл11/2)6s1/2,"(11/2,1/2)бл",6,13,N
1000,4179.391,0.68,25569.19,4f3(4Iбл)6p,5K,7,15,N
500,4189.479,0.68,2998.36,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",7,15,
500,4189.479,0.68,26860.95,4f3(4Iбл)6p,5I,7,15,
500,4206.719,0.46,4437.14,4f3(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N
500,4206.719,0.46,28201.95,4f3(4Iбл)6p,5I,8,17,N
700,4222.931,0.47,441.95,4f3(4Iбл9/2)6s1/2,"(9/2,1/2)бл",5,11,
700,4222.931,0.47,24115.48,4f3(4Iбл)6p,5K,6,13,
700,4225.346,0.87,0,4f3(4Iбл9/2)6s1/2,"(9/2,1/2)бл",4,9,N
700,4225.346,0.87,23660.08,4f3(4Iбл)6p,5I,4,9,N
