Wavelength (nm),Sum(calc),Y I (2.3e-3),Y II (6.3e-2),La I (1.4e-3),La II (6.3e-2),Ce I (1.2e-3),Ce II (6.3e-2),Pr II (6.2e-2),Nd I (8.0e-4),Nd II (6.4e-2),Sm I (8.9e-4),Sm II (6.3e-2),Eu I (1.5e-3),Eu II (6.2e-2),Gd I (1.8e-3),Tb II (6.1e-2),Dy I (1.6e-3),Dy II (6.4e-2),Ho I (3.3e-3),Ho II (6.0e-2),Er I (2.2e-3),Er II (6.3e-2),Tm I (2.0e-3),Tm II (6.3e-2),Yb I (2.0e-3),Yb II (6.3e-2),Lu I (3.9e-3),Lu II (7.2e-2)
210.97,5.288e-15,,,,,,,,,,,,,,,,,,,,,,,,,5.288e-15,,
211,2.074e-13,,,,,,,,,,,,,,,,,,,,,,,,,2.074e-13,,
211.02,2.190e-12,,,,,,,,,,,,,,,,,,,,,,,,,2.190e-12,,
211.05,6.574e-11,,,,,,,,,,,,,,,,,,,,,,,,,6.574e-11,,
211.07,5.806e-10,,,,,,,,,,,,,,,,,,,,,,,,,5.806e-10,,
211.1,1.333e-8,,,,,,,,,,,,,,,,,,,,,,,,,1.333e-8,,
211.12,9.848e-8,,,,,,,,,,,,,,,,,,,,,,,,,9.848e-8,,
211.15,1.730e-6,,,,,,,,,,,,,,,,,,,,,,,,,1.730e-6,,
211.18,2.587e-5,,,,,,,,,,,,,,,,,,,,,,,,,2.587e-5,,
211.2,1.436e-4,,,,,,,,,,,,,,,,,,,,,,,,,1.436e-4,,
211.23,1.644e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.644e-3,,
211.25,7.633e-3,,,,,,,,,,,,,,,,,,,,,,,,,7.633e-3,,
211.28,6.682e-2,,,,,,,,,,,,,,,,,,,,,,,,,6.682e-2,,
211.3,2.596e-1,,,,,,,,,,,,,,,,,,,,,,,,,2.596e-1,,
211.33,1.738e+0,,,,,,,,,,,,,,,,,,,,,,,,,1.738e+0,,
211.36,9.914e+0,,,,,,,,,,,,,,,,,,,,,,,,,9.914e+0,,
211.38,2.894e+1,,,,,,,,,,,,,,,,,,,,,,,,,2.894e+1,,
211.41,1.263e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.263e+2,,
211.43,3.083e+2,,,,,,,,,,,,,,,,,,,,,,,,,3.083e+2,,
211.46,1.029e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.029e+3,,
211.48,2.102e+3,,,,,,,,,,,,,,,,,,,,,,,,,2.102e+3,,
211.51,5.367e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.367e+3,,
211.54,1.167e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.167e+4,,
211.56,1.791e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.791e+4,,
211.59,2.980e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.980e+4,,
211.61,3.826e+4,,,,,,,,,,,,,,,,,,,,,,,,,3.826e+4,,
211.64,4.869e+4,,,,,,,,,,,,,,,,,,,,,,,,,4.869e+4,,
211.66,5.230e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.230e+4,,
211.69,5.092e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.092e+4,,
211.72,4.221e+4,,,,,,,,,,,,,,,,,,,,,,,,,4.221e+4,,
211.74,3.407e+4,,,,,,,,,,,,,,,,,,,,,,,,,3.407e+4,,
211.77,2.161e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.161e+4,,
211.79,1.459e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.459e+4,,
211.82,7.079e+3,,,,,,,,,,,,,,,,,,,,,,,,,7.079e+3,,
211.84,3.998e+3,,,,,,,,,,,,,,,,,,,,,,,,,3.998e+3,,
211.87,1.484e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.484e+3,,
211.9,4.691e+2,,,,,,,,,,,,,,,,,,,,,,,,,4.691e+2,,
211.92,1.991e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.991e+2,,
211.95,4.814e+1,,,,,,,,,,,,,,,,,,,,,,,,,4.814e+1,,
211.97,1.709e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.709e+1,,
212,3.162e+0,,,,,,,,,,,,,,,,,,,,,,,,,3.162e+0,,
212.02,9.389e-1,,,,,,,,,,,,,,,,,,,,,,,,,9.389e-1,,
212.05,1.329e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.329e-1,,
212.08,1.602e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.602e-2,,
212.1,3.574e-3,,,,,,,,,,,,,,,,,,,,,,,,,3.574e-3,,
212.13,3.296e-4,,,,,,,,,,,,,,,,,,,,,,,,,3.296e-4,,
212.15,6.215e-5,,,,,,,,,,,,,,,,,,,,,,,,,6.215e-5,,
212.18,1.372e-5,,,,,,,,,,,,,,,,,,,,,,,,,1.372e-5,,
212.2,5.190e-5,,,,,,,,,,,,,,,,,,,,,,,,,5.190e-5,,
212.23,5.728e-4,,,,,,,,,,,,,,,,,,,,,,,,,5.728e-4,,
212.26,5.462e-3,,,,,,,,,,,,,,,,,,,,,,,,,5.462e-3,,
212.28,2.249e-2,,,,,,,,,,,,,,,,,,,,,,,,,2.249e-2,,
212.31,1.645e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.645e-1,,
212.33,5.672e-1,,,,,,,,,,,,,,,,,,,,,,,,,5.672e-1,,
212.36,3.182e+0,,,,,,,,,,,,,,,,,,,,,,,,,3.182e+0,,
212.38,9.196e+0,,,,,,,,,,,,,,,,,,,,,,,,,9.196e+0,,
212.41,3.957e+1,,,,,,,,,,,,,,,,,,,,,,,,,3.957e+1,,
212.44,1.452e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.452e+2,,
212.46,3.162e+2,,,,,,,,,,,,,,,,,,,,,,,,,3.162e+2,,
