Wavelength (nm),Sum(calc),Y I (2.3e-3),Y II (6.3e-2),La I (1.4e-3),La II (6.3e-2),Ce I (1.2e-3),Ce II (6.3e-2),Pr II (6.2e-2),Nd I (8.0e-4),Nd II (6.4e-2),Sm I (8.9e-4),Sm II (6.3e-2),Eu I (1.5e-3),Eu II (6.2e-2),Gd I (1.8e-3),Tb II (6.1e-2),Dy I (1.6e-3),Dy II (6.4e-2),Ho I (3.3e-3),Ho II (6.0e-2),Er I (2.2e-3),Er II (6.3e-2),Tm I (2.0e-3),Tm II (6.3e-2),Yb I (2.0e-3),Yb II (6.3e-2),Lu I (3.9e-3),Lu II (7.2e-2)
211.04,5.273e-15,,,,,,,,,,,,,,,,,,,,,,,,,5.273e-15,,
211.06,8.170e-14,,,,,,,,,,,,,,,,,,,,,,,,,8.170e-14,,
211.08,1.159e-12,,,,,,,,,,,,,,,,,,,,,,,,,1.159e-12,,
211.09,4.221e-12,,,,,,,,,,,,,,,,,,,,,,,,,4.221e-12,,
211.11,5.242e-11,,,,,,,,,,,,,,,,,,,,,,,,,5.242e-11,,
211.13,5.960e-10,,,,,,,,,,,,,,,,,,,,,,,,,5.960e-10,,
211.14,1.944e-9,,,,,,,,,,,,,,,,,,,,,,,,,1.944e-9,,
211.16,1.936e-8,,,,,,,,,,,,,,,,,,,,,,,,,1.936e-8,,
211.18,1.765e-7,,,,,,,,,,,,,,,,,,,,,,,,,1.765e-7,,
211.2,1.472e-6,,,,,,,,,,,,,,,,,,,,,,,,,1.472e-6,,
211.21,4.115e-6,,,,,,,,,,,,,,,,,,,,,,,,,4.115e-6,,
211.23,3.007e-5,,,,,,,,,,,,,,,,,,,,,,,,,3.007e-5,,
211.25,2.012e-4,,,,,,,,,,,,,,,,,,,,,,,,,2.012e-4,,
211.27,1.232e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.232e-3,,
211.28,2.949e-3,,,,,,,,,,,,,,,,,,,,,,,,,2.949e-3,,
211.3,1.581e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.581e-2,,
211.32,7.764e-2,,,,,,,,,,,,,,,,,,,,,,,,,7.764e-2,,
211.33,1.664e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.664e-1,,
211.35,7.156e-1,,,,,,,,,,,,,,,,,,,,,,,,,7.156e-1,,
211.37,2.817e+0,,,,,,,,,,,,,,,,,,,,,,,,,2.817e+0,,
211.39,1.015e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.015e+1,,
211.4,1.863e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.863e+1,,
211.42,5.880e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.880e+1,,
211.44,1.699e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.699e+2,,
211.45,2.793e+2,,,,,,,,,,,,,,,,,,,,,,,,,2.793e+2,,
211.47,7.065e+2,,,,,,,,,,,,,,,,,,,,,,,,,7.065e+2,,
211.49,1.636e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.636e+3,,
211.51,3.469e+3,,,,,,,,,,,,,,,,,,,,,,,,,3.469e+3,,
211.52,4.886e+3,,,,,,,,,,,,,,,,,,,,,,,,,4.886e+3,,
211.54,9.071e+3,,,,,,,,,,,,,,,,,,,,,,,,,9.071e+3,,
211.56,1.542e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.542e+4,,
211.58,2.399e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.399e+4,,
211.59,2.894e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.894e+4,,
211.61,3.944e+4,,,,,,,,,,,,,,,,,,,,,,,,,3.944e+4,,
211.63,4.919e+4,,,,,,,,,,,,,,,,,,,,,,,,,4.919e+4,,
211.64,5.315e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.315e+4,,
211.66,5.806e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.806e+4,,
211.68,5.806e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.806e+4,,
211.7,5.315e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.315e+4,,
211.71,4.919e+4,,,,,,,,,,,,,,,,,,,,,,,,,4.919e+4,,
211.73,3.944e+4,,,,,,,,,,,,,,,,,,,,,,,,,3.944e+4,,
211.75,2.894e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.894e+4,,
211.76,2.399e+4,,,,,,,,,,,,,,,,,,,,,,,,,2.399e+4,,
211.78,1.542e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.542e+4,,
211.8,9.071e+3,,,,,,,,,,,,,,,,,,,,,,,,,9.071e+3,,
211.82,4.886e+3,,,,,,,,,,,,,,,,,,,,,,,,,4.886e+3,,
211.83,3.469e+3,,,,,,,,,,,,,,,,,,,,,,,,,3.469e+3,,
211.85,1.636e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.636e+3,,
211.87,7.065e+2,,,,,,,,,,,,,,,,,,,,,,,,,7.065e+2,,
211.89,2.793e+2,,,,,,,,,,,,,,,,,,,,,,,,,2.793e+2,,
211.9,1.699e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.699e+2,,
211.92,5.880e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.880e+1,,
211.94,1.863e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.863e+1,,
211.95,1.015e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.015e+1,,
211.97,2.817e+0,,,,,,,,,,,,,,,,,,,,,,,,,2.817e+0,,
211.99,7.156e-1,,,,,,,,,,,,,,,,,,,,,,,,,7.156e-1,,
212.01,1.664e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.664e-1,,
212.02,7.764e-2,,,,,,,,,,,,,,,,,,,,,,,,,7.764e-2,,
212.04,1.581e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.581e-2,,
212.06,2.949e-3,,,,,,,,,,,,,,,,,,,,,,,,,2.949e-3,,
212.07,1.232e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.232e-3,,
212.09,2.012e-4,,,,,,,,,,,,,,,,,,,,,,,,,2.012e-4,,
212.11,3.007e-5,,,,,,,,,,,,,,,,,,,,,,,,,3.007e-5,,
212.13,4.115e-6,,,,,,,,,,,,,,,,,,,,,,,,,4.115e-6,,
212.14,1.473e-6,,,,,,,,,,,,,,,,,,,,,,,,,1.473e-6,,
212.16,1.840e-7,,,,,,,,,,,,,,,,,,,,,,,,,1.840e-7,,
212.18,8.647e-8,,,,,,,,,,,,,,,,,,,,,,,,,8.647e-8,,
212.2,5.508e-7,,,,,,,,,,,,,,,,,,,,,,,,,5.508e-7,,
212.21,1.519e-6,,,,,,,,,,,,,,,,,,,,,,,,,1.519e-6,,
