Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
1700,2195.54,0.714,0,6s2,1S,0,1,,
1700,2195.54,0.714,45532.33,5d6p,3D¡«,1,3,,
18000,2615.42,4.53,0,6s2,1S,0,1,N,
18000,2615.42,4.53,38223.49,6s6p,1P¡«,1,3,N,
4200,2701.71, ,14199.08,5d6s,3D,3,7,N,
4200,2701.71, ,51201.66,5d6p,3P¡«,2,5,N,
3600,2754.17,0.92,12435.32,5d6s,3D,2,5,N,
3600,2754.17,0.92,48733.19,5d6p,3D¡«,3,7,N,
6300,2894.84,1.66,14199.08,5d6s,3D,3,7,,
6300,2894.84,1.66,48733.19,5d6p,3D¡«,3,7,,
4500,2900.3, ,12435.32,5d6s,3D,2,5,N,Fe
4500,2900.3, ,46904.38,5d6p,3D¡«,2,5,N,Fe
9000,2911.39,2.42,14199.08,5d6s,3D,3,7,,
9000,2911.39,2.42,48536.83,5d6p,3F¡«,4,9,,
4200,2963.32, ,11796.24,5d6s,3D,1,3,N,
4200,2963.32, ,45532.33,5d6p,3D¡«,1,3,N,
3000,3020.54, ,12435.32,5d6s,3D,2,5,N,Fe
3000,3020.54, ,45532.33,5d6p,3D¡«,1,3,N,Fe
7500,3077.6,1.24,12435.32,5d6s,3D,2,5,,
7500,3077.6,1.24,44918.68,5d6p,3F¡«,3,7,,
4800,3254.31,0.6,14199.08,5d6s,3D,3,7,,
4800,3254.31,0.6,44918.68,5d6p,3F¡«,3,7,,
4100,3397.07, ,11796.24,5d6s,3D,1,3,N,
4100,3397.07, ,41224.96,5d6p,3F¡«,2,5,N,
4800,3472.48, ,12435.32,5d6s,3D,2,5,N,
4800,3472.48, ,41224.96,5d6p,3F¡«,2,5,N,
8300,3507.39,0.125,0,6s2,1S,0,1,N,
8300,3507.39,0.125,28503.16,6s6p,3P¡«,1,3,N,
4800,3554.43, ,17332.58,5d6s,1D,2,5,N,Fe
4800,3554.43, ,45458.56,5d6p,1D¡«,2,5,N,Fe
2100,5476.69, ,14199.08,5d6s,3D,3,7,N,
2100,5476.69, ,32453.26,6s6p,3P¡«,2,5,N,
2100,6221.87,0.099,12435.32,5d6s,3D,2,5,,
2100,6221.87,0.099,28503.16,6s6p,3P¡«,1,3,,
