Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
3800,3324.413, ,3423.295,4f8(7F)5d (8G)6s,9G,8,17,N,Fe
3800,3324.413, ,33495.13, ,бл,9,19,N,Fe
5700,3509.146,0.537,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,,Lu
5700,3509.146,0.537,28488.81,4f9(6Hбл15/2)6p3/2,"(15/2,3/2)",9,19,,Lu
3200,3561.708, ,3010.05,4f9(6Hбл13/2)6s1/2,"(13/2,1/2)бл",7,15,N,
3200,3561.708, ,31078.46,4f9(6Hбл13/2)6p3/2,"(13/2,3/2)",8,17,N,
4200,3568.513,1.13,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
4200,3568.513,1.13,28014.875,4f9(6Hбл15/2)6p3/2,"(15/2,3/2)",8,17,N,
2300,3650.421, ,3423.295,4f8(7F)5d (8G)6s,9G,8,17,N,
2300,3650.421, ,30809.59,4f85d6p?,бл,8,17,N,
2000,3658.891,1.71,1016.38,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,
2000,3658.891,1.71,28339.285,4f9(6Hбл15/2)6p3/2,"(15/2,3/2)",6,13,,
3800,3676.363,1.19,1016.38,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,
3800,3676.363,1.19,28209.43,4f9(6Hбл15/2)6p3/2,"(15/2,3/2)",7,15,,
4700,3702.856,0.619,1016.38,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,Tm
4700,3702.856,0.619,28014.875,4f9(6Hбл15/2)6p3/2,"(15/2,3/2)",8,17,,Tm
2400,3703.93, ,3235.19,4f8(7F)5d (8G)6s,9G,7,15,N,
2400,3703.93, ,30225.865,4f85d6p?,бл,7,15,N,
1700,3765.136, ,3440.825,4f8(7F)5d (8G)6s, ,6,13,N,Fe
1700,3765.136, ,29992.75, ,бл,5,11,N,Fe
2100,3776.489, ,3440.825,4f8(7F)5d (8G)6s, ,6,13,N,
2100,3776.489, ,29912.93,4f85d6p?,бл,6,13,N,
3700,3848.74,0.543,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,,
3700,3848.74,0.543,25975.16,4f9(6Hбл15/2)6p1/2,"(15/2,1/2)",8,17,,
3500,3874.172,1,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,,
3500,3874.172,1,25804.65,4f9(6Hбл15/2)6p1/2,"(15/2,1/2)",7,15,,
2400,3899.197, ,3010.05,4f9(6Hбл13/2)6s1/2,"(13/2,1/2)бл",7,15,N,
2400,3899.197, ,28649.095,4f9(6Hбл13/2)6p1/2,"(13/2,1/2)",7,15,N,
2200,3976.845, ,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
2200,3976.845, ,25138.45, , ,8,17,N,
2100,4033.027,0.374,1016.38,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,
2100,4033.027,0.374,25804.65,4f9(6Hбл15/2)6p1/2,"(15/2,1/2)",7,15,,
260,4645.31, ,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
260,4645.31, ,21521.04, , ,7,15,N,
410,4752.53, ,0,4f9(6Hбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
410,4752.53, ,21035.53, , ,8,17,N,
