spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.9836,0.0000,0.9947,0.9762,0.0000,0.7190,0.0000,0.0000,0.0000,0.0000,0.5019,0.0000,0.0000,0.0000,0.0000,
03124_95_random,0.0000,0.9861,0.0000,0.0000,0.0000,0.8859,0.0000,0.8958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
03130_95_random,0.0000,0.0000,0.9793,0.0000,0.9499,0.7532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
03134_95_random,0.9901,0.0000,0.0000,0.0000,0.0000,0.7886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.9680,0.0000,0.0000,0.0046,0.8279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
070099_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
070101_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
070159_95_random,0.9904,0.0000,0.0000,0.0000,0.0000,0.8476,0.0000,0.7423,0.8319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
070171_95_random,0.0000,0.8922,0.0000,0.0000,0.0000,0.0000,0.9736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07103_95_random,0.9759,0.7700,0.9265,0.9763,0.9804,0.3357,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07105_95_random,0.0000,0.9559,0.0000,0.8280,0.0000,0.7635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07106_95_random,0.9784,0.0000,0.0000,0.0000,0.0000,0.0000,0.8880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07107_95_random,0.9874,0.0000,0.9174,0.0000,0.0000,0.7710,0.0000,0.8509,0.0762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07111_95_random,0.9845,0.0000,0.0000,0.0000,0.9536,0.0000,0.7610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07121_95_random,0.0000,0.0000,0.0000,0.0000,0.9564,0.0000,0.0000,0.8017,0.5594,0.9425,0.0000,0.0000,0.0000,0.0000,0.0000,
07122_95_random,0.9756,0.0000,0.6549,0.0000,0.0000,0.8105,0.0000,0.8285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07125_95_random,0.9816,0.9007,0.7101,0.9858,0.9982,0.7907,0.0000,0.0000,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07141_95_random,0.9840,0.9541,0.0000,0.0000,0.0000,0.8169,0.0000,0.8309,0.0000,0.0000,0.4719,0.0000,0.0000,0.0000,0.0000,
07145_95_random,0.0000,0.9124,0.0000,0.9603,0.9540,0.0000,0.9081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07405_95_random,0.0000,0.0000,0.0000,0.9783,0.9772,0.8160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
07407_95_random,0.9729,0.0000,0.0000,0.0000,0.0000,0.7230,0.0000,0.0000,0.0000,0.0000,0.3153,0.0000,0.0000,0.0000,0.0000,
07840_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.8423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
