wavelength,intensity
198.89,1.552e-37
198.91,2.021e-36
198.93,2.515e-35
198.94,8.717e-35
198.96,1.012e-33
198.98,3.3580000000000003e-31
198.99,1.2000000000000001e-30
199.01,1.482e-29
199.03,1.75e-28
199.04,5.914000000000001e-28
199.06,6.526e-27
199.08,6.883e-26
199.09,2.197e-25
199.11,2.165e-24
199.12,6.681e-24
199.14,6.148999999999999e-23
199.16,5.407e-22
199.17,1.576e-21
199.19,1.294e-20
199.21,1.016e-19
199.22,2.797e-19
199.24,2.049e-18
199.26,1.434e-17
199.27,3.73e-17
199.29,2.438e-16
199.31,1.522e-15
199.32,3.738e-15
199.34,2.179e-14
199.36,1.214e-13
199.37,2.815e-13
199.39,1.464e-12
199.41,7.269e-12
199.42,1.592e-11
199.44,7.384e-11
199.46,3.271e-10
199.47,6.767e-10
199.49,2.799e-09
199.5,5.595e-09
199.52,2.16e-08
199.54,7.967e-08
199.55,1.504e-07
199.57,5.179e-07
199.59,1.704e-06
199.6,3.037e-06
199.62,9.327e-06
199.64,2.736e-05
199.65,4.607e-05
199.67,0.0001262
199.69,0.0003301
199.7,0.0005248
199.72,0.001282
199.74,0.002991
199.75,0.004491
199.77,0.009782
199.79,0.02035
199.8,0.02886
199.82,0.05607
199.84,0.104
199.85,0.1393
199.87,0.2414
199.88,0.3123
199.9,0.5051
199.92,0.7804
199.93,0.9535
199.95,1.375
199.97,1.895
199.98,2.187
200.0,2.813
200.02,3.457
200.03,3.767
200.05,4.322
200.07,4.737
200.08,4.874
200.1,4.987
200.12,4.875
200.13,4.737
200.15,4.323
200.17,3.769
200.18,3.46
200.2,2.818
200.22,2.196
200.23,1.907
200.25,1.395
200.26,1.176
200.28,0.8189
200.3,0.5631
200.31,0.4697
200.33,0.3413
200.35,0.2761
200.36,0.2618
200.38,0.26
200.4,0.2829
200.41,0.3
200.43,0.3398
200.45,0.3807
200.46,0.3997
200.48,0.4318
200.5,0.4543
200.51,0.4617
200.53,0.4696
200.55,0.4717
200.56,0.4723
200.58,0.4775
200.59,0.4843
200.61,0.5127
200.63,0.5682
200.64,0.6086
200.66,0.7177
200.68,0.8649
200.69,0.9514
200.71,1.144
200.73,1.349
200.74,1.45
200.76,1.637
200.78,1.783
200.79,1.835
200.81,1.891
200.83,1.877
200.84,1.846
200.86,1.743
200.88,1.605
200.89,1.533
200.91,1.4
200.93,1.311
200.94,1.293
200.96,1.322
200.97,1.374
200.99,1.556
201.01,1.834
201.02,2.003
201.04,2.38
201.06,2.772
201.07,2.959
201.09,3.282
201.11,3.501
201.12,3.561
201.14,3.573
201.16,3.441
201.17,3.326
201.19,3.022
201.21,2.653
201.22,2.459
201.24,2.08
201.26,1.743
201.27,1.6
201.29,1.37
201.31,1.221
201.32,1.175
201.34,1.133
201.35,1.134
201.37,1.176
201.39,1.264
201.4,1.326
201.42,1.491
201.44,1.721
201.45,1.867
201.47,2.23
201.49,2.702
201.5,2.982
201.52,3.63
201.54,4.383
201.55,4.792
201.57,5.647
201.59,6.509
201.6,6.924
201.62,7.68
201.64,8.285
201.65,8.513
201.67,8.793
201.69,8.82
201.7,8.739
201.72,8.405
201.73,8.162
201.75,7.568
201.77,6.89
201.78,6.544
201.8,5.883
201.82,5.311
201.83,5.07
201.85,4.685
