Ion, Observed , Aki, Ek ,J
Fe III ,200.0046,2.30E+08,139 680.37   ,3
Fe III ,200.0148, ,140 453.14   ,3
Fe III , ,2.60E-01,50 411.95   ,2
Fe II ,200.037731,9.50E+07,70 314.624  , 9/2 
Fe I ,200.0578, ,57 346.148  ,3
 , , , , 
Fe III ,200.0593,3.50E+06,123 697.15   ,2
Fe III ,200.0593, ,140 453.14   ,3
Fe I ,200.0671, ,57 343.828  ,3
Fe II ,200.09046,6.00E+06,107 454.552  , 1/2 
Fe II ,200.09291, ,107 371.685  , 5/2 
 , , , , 
Fe III ,200.116,6.00E+07,116 419.72   ,2
Fe III ,200.1264, ,116 475.56   ,3
Fe III ,200.1372,9.00E+07,136 796.90   ,3
Fe III ,200.149,4.50E+07,136 793.80   ,2
Fe III ,200.1828,1.60E+08,139 846.19   ,6
 , , , , 
Fe II ,200.1833, ,109 601.572  , 3/2 
Fe III ,200.2267, ,139 625.21   ,4
Fe I ,200.23799, ,50 628.372  ,3
Fe III ,200.2477,4.20E+08,159 493.02   ,3
Fe II ,200.2483, ,113 481.304  , 3/2 
 , , , , 
Fe II ,200.25557, ,107 498.510  , 3/2 
Fe III ,200.2601,5.50E+07,139 827.18   ,4
Fe III ,200.2994, ,119 697.69   ,2
Fe II ,200.31909,3.90E+07,103 967.555  , 1/2 
Fe III ,200.3503,4.80E+07,139 680.37   ,3
 , , , , 
Fe III ,200.3503,2.20E+08,116 419.72   ,2
Fe II ,200.3506, ,110 166.534  , 9/2 
Fe I ,200.3605, ,57 621.928  ,4
Fe II ,200.3605, ,113 934.512  , 5/2 
Fe I ,200.3728, ,57 618.806  ,2
 , , , , 
Fe I ,200.38696, ,50 303.225  ,4
Fe II ,200.39104,5.00E+06,63 559.498  , 1/2 
Fe II ,200.42293, ,107 371.685  , 5/2 
Fe III ,200.4289, ,134 549.01   ,3
Fe II ,200.43221,2.60E+07,107 454.552  , 1/2 
 , , , , 
Fe II ,200.4384,4.00E+06,110 144.841  , 7/2 
Fe II ,200.4441, ,108 539.473  , 5/2 
Fe III ,200.4949,2.60E+07,119 697.69   ,2
Fe III ,200.5088,1.70E+08,116 380.24   ,1
Fe I ,200.5297, ,50 555.762  ,2
 , , , , 
Fe III ,200.5451,4.30E+07,123 697.15   ,2
Fe I ,200.5594, ,57 572.513  ,2
Fe III ,200.5712,2.00E+08,139 625.21   ,4
Fe II ,200.572, ,72 651.914  , 7/2 
Fe II ,200.576, ,72 650.698  , 9/2 
 , , , , 
Fe I ,200.62444, ,56 756.503  ,6
Fe I ,200.6245, ,56 756.704  ,4
Fe III ,200.6268,5.40E+07,116 419.72   ,2
Fe I ,200.6318, ,56 754.726  ,5
Fe I ,200.6464, ,56 751.099  ,5
 , , , , 
Fe II ,200.70128,2.00E+07,72 619.499  , 5/2 
Fe I ,200.7179, ,49 805.257  ,3
Fe II ,200.71838,4.20E+06,107 298.265  , 5/2 
Fe I ,200.72193, ,56 732.335  ,4
Fe II ,200.74417,8.00E+06,63 272.981  , 5/2 
 , , , , 
Fe II ,200.77084,1.60E+07,63 465.134  , 3/2 
Fe III ,200.7858,2.90E+08,116 380.24   ,1
Fe II ,200.79467, ,107 197.107  , 7/2 
Fe I ,200.8233, ,56 707.284  ,5
