wavelength,intensity
198.66,4.284999999999999e-22
198.67,8.803999999999999e-22
198.68,1.8e-21
198.7,7.416e-21
198.71,1.494e-20
198.72,2.9970000000000005e-20
198.73,5.981e-20
198.75,2.348e-19
198.76,4.619e-19
198.77,9.041e-19
198.78,1.761e-18
198.8,6.587e-18
198.81,1.265e-17
198.82,2.416e-17
198.83,4.594e-17
198.84,8.692e-17
198.86,3.067e-16
198.87,5.718e-16
198.88,1.061e-15
198.89,1.959e-15
198.91,6.583e-15
198.92,1.198e-14
198.93,2.169e-14
198.94,3.908e-14
198.96,1.25e-13
198.97,2.22e-13
198.98,3.922e-13
198.99,6.896e-13
199.01,2.1e-12
199.02,3.638e-12
199.03,6.271e-12
199.04,1.076e-11
199.06,3.118e-11
199.07,5.27e-11
199.08,8.862e-11
199.09,1.483e-10
199.11,4.09e-10
199.12,6.743e-10
199.13,1.106e-09
199.14,1.805e-09
199.16,4.738e-09
199.17,7.618e-09
199.18,1.219e-08
199.19,1.94e-08
199.2,3.074e-08
199.22,7.597e-08
199.23,1.185e-07
199.24,1.84e-07
199.25,2.843e-07
199.27,6.683e-07
199.28,1.017e-06
199.29,1.54e-06
199.3,2.319e-06
199.32,5.184e-06
199.33,7.693e-06
199.34,1.136e-05
199.35,1.668e-05
199.37,3.546e-05
199.38,5.13e-05
199.39,7.385e-05
199.4,0.0001058
199.42,0.0002137
199.43,0.0003015
199.44,0.0004232
199.45,0.000591
199.47,0.001135
199.48,0.001561
199.49,0.002136
199.5,0.002909
199.52,0.00531
199.53,0.007121
199.54,0.0095
199.55,0.01261
199.56,0.01665
199.58,0.02861
199.59,0.03721
199.6,0.04815
199.61,0.06199
199.63,0.1012
199.64,0.1283
199.65,0.1619
199.66,0.2031
199.68,0.3151
199.69,0.3895
199.7,0.479
199.71,0.5861
199.73,0.864
199.74,1.041
199.75,1.248
199.76,1.488
199.78,2.085
199.79,2.449
199.8,2.862
199.81,3.327
199.83,4.429
199.84,5.071
199.85,5.776
199.86,6.546
199.88,8.28
199.89,9.241
199.9,10.26
199.91,11.33
199.92,12.46
199.94,14.82
199.95,16.04
199.96,17.27
199.97,18.5
199.99,20.92
200.0,22.07
200.01,23.16
200.02,24.19
200.04,25.98
200.05,26.72
200.06,27.34
200.07,27.83
200.09,28.4
200.1,28.48
200.11,28.4
200.12,28.19
200.14,27.35
200.15,26.73
200.16,26.0
200.17,25.16
200.19,23.22
200.2,22.14
200.21,21.01
200.22,19.84
200.24,17.44
200.25,16.23
200.26,15.05
200.27,13.89
200.29,11.68
200.3,10.65
200.31,9.674
200.32,8.761
200.33,7.911
200.35,6.41
200.36,5.759
200.37,5.172
200.38,4.649
200.4,3.783
200.41,3.435
200.42,3.139
200.43,2.892
200.45,2.534
200.46,2.417
200.47,2.339
200.48,2.298
200.5,2.319
200.51,2.379
200.52,2.47
200.53,2.593
200.55,2.93
200.56,3.143
200.57,3.387
200.58,3.659
200.6,4.289
200.61,4.643
200.62,5.023
200.63,5.426
200.65,6.291
200.66,6.747
200.67,7.214
200.68,7.69
200.69,8.17
200.71,9.125
200.72,9.592
200.73,10.05
200.74,10.49
200.76,11.31
200.77,11.69
200.78,12.04
200.79,12.37
200.81,12.95
200.82,13.2
200.83,13.44
200.84,13.66
200.86,14.07
200.87,14.26
200.88,14.46
200.89,14.66
200.91,15.11
200.92,15.36
200.93,15.63
200.94,15.93
200.96,16.6
200.97,16.98
200.98,17.38
200.99,17.8
201.01,18.69
201.02,19.14
201.03,19.59
201.04,20.03
201.05,20.45
201.07,21.21
201.08,21.53
201.09,21.8
201.1,22.01
201.12,22.25
201.13,22.26
201.14,22.21
201.15,22.09
201.17,21.64
201.18,21.32
201.19,20.94
201.2,20.51
201.22,19.53
201.23,18.99
201.24,18.43
201.25,17.86
201.27,16.72
201.28,16.17
201.29,15.64
201.3,15.13
201.32,14.24
201.33,13.86
201.34,13.52
201.35,13.24
201.37,12.84
201.38,12.72
201.39,12.65
201.4,12.65
201.41,12.69
201.43,12.93
201.44,13.12
201.45,13.35
201.46,13.61
201.48,14.25
201.49,14.61
201.5,14.99
201.51,15.38
201.53,16.2
201.54,16.61
201.55,17.03
201.56,17.44
201.58,18.22
201.59,18.59
201.6,18.95
201.61,19.29
201.63,19.91
201.64,20.19
201.65,20.46
201.66,20.72
201.68,21.2
201.69,21.43
201.7,21.65
201.71,21.88
201.73,22.35
201.74,22.6
201.75,22.85
201.76,23.12
201.78,23.7
201.79,24.01
201.8,24.33
201.81,24.66
201.82,24.99
201.84,25.67
201.85,26.0
201.86,26.32
201.87,26.62
201.89,27.17
201.9,27.4
201.91,27.59
201.92,27.75
201.94,27.95
201.95,27.98
201.96,27.96
201.97,27.89
201.99,27.61
202.0,27.4
202.01,27.14
202.02,26.84
202.04,26.11
202.05,25.69
202.06,25.24
