spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,numb,ratio
03116_95,0,0,0.8071,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
03116_95,0.9834,0.9362,0,0.9219,0.9825,0.829,0,0.8325,0,0,0,0,0,0,0,6,0.545454545
03116_95,0.9834,0.9733,0.9576,0.922,0.9961,0.8126,0,0.8178,0,0,0,0,0,0,0,7,0.636363636
03116_95,0.9866,0.0172,0.9194,0.8494,0.9602,0.7226,0,0.8027,0.062,0,0,0,0,0,0,8,0.727272727
03116_95,0.9855,0,0.034,0,0,0,0.2886,0,0,0,0,0,0,0.0001,0,4,0.363636364
,,,,,,,,,,,,,,,,,
03124_95,0,0,0.8089,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
03124_95,0.9864,0.9369,0,0.9204,0.9852,0.8203,0,0.8101,0,0,0,0,0,0,0,6,0.545454545
03124_95,0.9846,0.9704,0.9532,0.9241,0.9859,0.8184,0,0.7903,0,0,0,0,0,0,0,7,0.636363636
03124_95,0.9845,0,0.9083,0.8959,0.9633,0.588,0,0.7958,0,0,0,0,0,0,0,6,0.545454545
03124_95,0.985,0,0.0433,0,0,0,0.3244,0,0,0,0,0,0,0,0,3,0.272727273
,,,,,,,,,,,,,,,,,
03130_95,0,0,0.8148,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
03130_95,0.9787,0.4709,0,0.8844,0.908,0.9013,0,0.8172,0,0,0,0,0,0,0,6,0.545454545
03130_95,0.9786,0.5047,0.9652,0.959,0.9051,0.8732,0,0.7451,0,0,0,0,0,0,0,7,0.636363636
03130_95,0.9847,0.0419,0.9919,0.7473,0.7715,0.7118,0,0.9912,0.004,0,0,0,0,0,0,8,0.727272727
03130_95,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
03134_95,0,0,0.8092,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
03134_95,0.9818,0.9292,0,0.9188,0.9769,0.8353,0,0.8273,0,0,0,0,0,0,0,6,0.545454545
03134_95,0.9834,0.974,0.9593,0.9165,0.9872,0.8382,0,0.8078,0,0,0.296,0,0,0,0,8,0.727272727
03134_95,0.9853,0.0227,0.9194,0.8535,0.9608,0.7212,0,0.8036,0.0608,0,0,0,0,0,0,8,0.727272727
03134_95,0.9844,0,0.0338,0,0,0,0.276,0,0,0,0,0,0,0,0,3,0.272727273
,,,,,,,,,,,,,,,,,
070036_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7477,0,1,0.090909091
070036_95,0.9463,0,0,0,0.858,0,0,0.0133,0.2251,0,0.4126,0,0,0,0,5,0.454545455
070036_95,0.9712,0,0,0.7295,0.9484,0.7882,0,0.0001,0.3289,0,0.1534,0,0,0,0,7,0.636363636
070036_95,0.9784,0.5046,0,0.5658,0,0.6077,0.7849,0.6852,0,0,0,0,0,0,0,6,0.545454545
070036_95,0.9647,0,0,0.6693,0,0,0,0,0,0,0,0,0,0.7888,0,3,0.272727273
,,,,,,,,,,,,,,,,,
070099_95,0,0,0.7964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
070099_95,0.9112,0,0,0,0,0.7495,0,0,0,0,0,0.917,0,0,0,3,0.272727273
070099_95,0.9748,0.9699,0.7217,0,0,0,0.7834,0,0,0,0,0,0,0,0,4,0.363636364
070099_95,0.9859,0,0.9547,0,0,0,0.6776,0.0001,0,0,0,0,0,0,0,4,0.363636364
070099_95,0.9744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
070101_95,0,0,0.7967,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
070101_95,0.8878,0.9542,0,0,0,0.7271,0,0,0,0,0,0,0,0,0,3,0.272727273
070101_95,0.9685,0.9532,0.8204,0,0,0,0,0,0,0,0,0,0,0,0.9956,4,0.363636364
070101_95,0.9855,0,0.9539,0,0,0,0.7037,0,0,0,0,0,0,0,0,3,0.272727273
070101_95,0.9742,0,0,0,0,0,0.5096,0,0,0,0,0.9998,0,0,0,3,0.272727273
,,,,,,,,,,,,,,,,,
070159_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070159_95,0.9635,0.9117,0,0,0.9291,0.9036,0,0.8232,0,0,0,0,0,0,0,5,0.454545455
070159_95,0.9609,0.9542,0.9514,0,0.9265,0.8697,0,0.8022,0,0,0,0,0,0,0,6,0.545454545
070159_95,0.9771,0.841,0.9903,0,0.7808,0.9392,0,0.7425,0.1102,0,0,0,0,0,0,7,0.636363636
070159_95,0,0,0.9665,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
070171_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8566,0,1,0.090909091
070171_95,0,0.8097,0.7326,0.4475,0,0.6113,0,0.0256,0,0,0,0,0,0,0,5,0.454545455
070171_95,0.9789,0,0,0.8659,0.9003,0.7519,0.9556,0.0001,0.3076,0,0,0,0,0,0,7,0.636363636
070171_95,0.9777,0,0,0,0,0,0.2031,0.5687,0,0,0,0,0,0,0,3,0.272727273
070171_95,0.9591,0,0,0.9779,0,0,0,0,0,0,0,0,0,0,0,2,0.181818182
,,,,,,,,,,,,,,,,,
07103_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07103_95,0.9786,0,0.5513,0.9424,0.9665,0.7765,0,0,0,0,0,0,0,0,0,5,0.454545455
07103_95,0.9787,0.9625,0.8324,0.9497,0.9636,0.7652,0,0.729,0,0,0,0,0,0,0,7,0.636363636
07103_95,0.9552,0,0.8825,0,0,0,0,0.8424,0,0,0,0,0,0,0,3,0.272727273
07103_95,0,0,0.1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07105_95,0,0,0.4388,0,0,0,0,0,0,0,0,0,0,0.8189,0,2,0.181818182
07105_95,0,0,0,0,0.7837,0.783,0,0,0.305,0,0,0,0,0,0,3,0.272727273
07105_95,0.8146,0,0,0,0.9296,0.7946,0,0.7252,0,0,0,0,0,0,0,4,0.363636364
07105_95,0.9588,0.0074,0,0,0,0.8518,0,0.4324,0,0,0,0,0,0,0,4,0.363636364
07105_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
07106_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07106_95,0.9724,0.9312,0.7065,0.981,0.9691,0.834,0,0.7121,0,0,0.5559,0,0,0,0,8,0.727272727
07106_95,0.9621,0,0.828,0.955,0.9189,0.7149,0,0.6813,0,0,0.2371,0,0,0,0,7,0.636363636
07106_95,0.9801,0,0.9116,0,0,0.5984,0,0.9562,0,0,0,0,0,0,0,4,0.363636364
07106_95,0,0,0.6641,0,0,0,0,0,0,0,0,0,0,0.0877,0,2,0.181818182
,,,,,,,,,,,,,,,,,
07107_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07107_95,0.9483,0,0.6024,0,0.8949,0.7442,0,0.5772,0,0,0,0,0,0,0,5,0.454545455
07107_95,0.9744,0.99,0.7593,0,0.9123,0.7238,0,0.6775,0,0,0,0,0,0,0,6,0.545454545
07107_95,0.9813,0,0.8053,0,0,0.5745,0,0.9138,0,0,0,0,0,0,0,4,0.363636364
07107_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
07111_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07111_95,0.922,0,0.5885,0,0.9204,0.7694,0,0,0,0,0.6028,0,0,0,0,5,0.454545455
07111_95,0.96,0.968,0.7434,0,0.9127,0.704,0,0.6775,0,0,0,0,0,0,0,6,0.545454545
07111_95,0.58,0,0.8043,0,0,0.9412,0,0.8614,0,0,0,0,0,0,0,4,0.363636364
07111_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
07121_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07121_95,0.9762,0.9331,0.7306,0.9396,0.9601,0.7689,0,0,0,0,0.5114,0,0,0,0,7,0.636363636
07121_95,0.9755,0.9772,0.874,0.9641,0.9643,0.7641,0,0.7276,0,0,0,0,0,0,0,7,0.636363636
07121_95,0.9233,0,0.878,0,0.9443,0,0,0.8489,0,0,0,0,0,0,0,4,0.363636364
07121_95,0,0,0.1035,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07122_95,0,0,0.4809,0,0,0,0,0,0,0,0,0,0,0.9558,0,2,0.181818182
07122_95,0,0,0.6051,0,0.7361,0.7953,0,0,0,0,0,0,0,0,0,3,0.272727273
07122_95,0.8112,0,0.7619,0.4603,0.908,0.7853,0,0.7042,0,0,0,0,0,0,0,6,0.545454545
07122_95,0.9641,0,0.7856,0,0,0.9948,0,0.8467,0,0,0,0,0,0,0,4,0.363636364
07122_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
07125_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07125_95,0.9723,0.8746,0.6634,0,0.9813,0.7772,0,0.5774,0,0,0.6442,0,0,0,0,7,0.636363636
07125_95,0.9723,0.8758,0.8127,0,0.9902,0.7631,0,0.5494,0,0,0,0,0,0,0,6,0.545454545
07125_95,0.9768,0.0611,0.8495,0,0,0.7151,0,0.8819,0,0,0,0,0,0,0,5,0.454545455
07125_95,0.9699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07141_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,1,0.090909091
07141_95,0,0,0.6215,0,0.7598,0.8668,0,0,0,0,0,0,0,0,0,3,0.272727273
07141_95,0.9447,0.967,0.8277,0.6145,0.8481,0.57,0,0.6612,0,0,0,0,0,0,0,7,0.636363636
07141_95,0.9745,0,0.8595,0.0011,0,0.8487,0,0.6015,0.0131,0,0,0,0,0,0,6,0.545454545
07141_95,0,0,0.2229,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07145_95,0,0,0,0,0,0,0.0009,0.9519,0,0,0,0,0,0,0,2,0.181818182
07145_95,0.9113,0,0.5892,0.6401,0.864,0.8,0,0,0,0,0,0,0,0,0,5,0.454545455
07145_95,0.9507,0.9817,0.8529,0.7457,0.9227,0.7816,0,0.7064,0,0,0,0,0,0,0,7,0.636363636
07145_95,0.7468,0,0.8796,0,0.8647,0.915,0,0.9726,0.0077,0,0,0,0,0,0,6,0.545454545
07145_95,0,0,0.0518,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07405_95,0,0,0.9432,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091
07405_95,0.8895,0.6465,0,0,0.7901,0.7051,0,0.4891,0,0,0,0,0,0,0,5,0.454545455
07405_95,0.983,0,0.6844,0,0.9055,0.754,0,0.3009,0,0,0,0,0,0,0,5,0.454545455
07405_95,0.9786,0.003,0.7528,0,0,0,0,0.7952,0,0,0,0,0,0,0,4,0.363636364
07405_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
07407_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07407_95,0,0.8329,0,0,0.7744,0.6679,0,0.0821,0.1266,0,0,0,0,0,0,5,0.454545455
07407_95,0.9896,0.9867,0,0,0.8714,0.7679,0,0.0025,0.3185,0,0,0,0,0,0,6,0.545454545
07407_95,0.9761,0,0,0,0,0,0,0.0518,0,0,0,0,0,0,0,2,0.181818182
07407_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9569,0,1,0.090909091
,,,,,,,,,,,,,,,,,
07840_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07840_95,0,0,0,0,0,0.8539,0,0.0001,0.6719,0,0,0,0.1349,0,0,4,0.363636364
07840_95,0,0,0,0,0,0.5742,0.9254,0,0,0,0,0,0,0,0,2,0.181818182
07840_95,0.9276,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0,2,0.181818182
07840_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8611,1,0.090909091
