spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,
03116_95,0.9866,0.0172,0.9194,0.8494,0.9602,0.7226,0,0.8027,0.062,0,0,0,0,0,0,0.727272727
03124_95,0.9845,0,0.9083,0.8959,0.9633,0.588,0,0.7958,0,0,0,0,0,0,0,0.545454545
03130_95,0.9847,0.0419,0.9919,0.7473,0.7715,0.7118,0,0.9912,0.004,0,0,0,0,0,0,0.727272727
03134_95,0.9853,0.0227,0.9194,0.8535,0.9608,0.7212,0,0.8036,0.0608,0,0,0,0,0,0,0.727272727
070036_95,0.9784,0.5046,0,0.5658,0,0.6077,0.7849,0.6852,0,0,0,0,0,0,0,0.545454545
070099_95,0.9859,0,0.9547,0,0,0,0.6776,0.0001,0,0,0,0,0,0,0,0.363636364
070101_95,0.9855,0,0.9539,0,0,0,0.7037,0,0,0,0,0,0,0,0,0.272727273
070159_95,0.9771,0.841,0.9903,0,0.7808,0.9392,0,0.7425,0.1102,0,0,0,0,0,0,0.636363636
070171_95,0.9777,0,0,0,0,0,0.2031,0.5687,0,0,0,0,0,0,0,0.272727273
07103_95,0.9552,0,0.8825,0,0,0,0,0.8424,0,0,0,0,0,0,0,0.272727273
07105_95,0.9588,0.0074,0,0,0,0.8518,0,0.4324,0,0,0,0,0,0,0,0.363636364
07106_95,0.9801,0,0.9116,0,0,0.5984,0,0.9562,0,0,0,0,0,0,0,0.363636364
07107_95,0.9813,0,0.8053,0,0,0.5745,0,0.9138,0,0,0,0,0,0,0,0.363636364
07111_95,0.58,0,0.8043,0,0,0.9412,0,0.8614,0,0,0,0,0,0,0,0.363636364
07121_95,0.9233,0,0.878,0,0.9443,0,0,0.8489,0,0,0,0,0,0,0,0.363636364
07122_95,0.9641,0,0.7856,0,0,0.9948,0,0.8467,0,0,0,0,0,0,0,0.363636364
07125_95,0.9768,0.0611,0.8495,0,0,0.7151,0,0.8819,0,0,0,0,0,0,0,0.454545455
07141_95,0.9745,0,0.8595,0.0011,0,0.8487,0,0.6015,0.0131,0,0,0,0,0,0,0.545454545
07145_95,0.7468,0,0.8796,0,0.8647,0.915,0,0.9726,0.0077,0,0,0,0,0,0,0.545454545
07405_95,0.9786,0.003,0.7528,0,0,0,0,0.7952,0,0,0,0,0,0,0,0.363636364
07407_95,0.9761,0,0,0,0,0,0,0.0518,0,0,0,0,0,0,0,0.181818182
07840_95,0.9276,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0,0.181818182
