wavelength,intensity
198.75,1.674e-30
198.76,4.97e-30
198.78,4.2719999999999996e-29
198.79,1.236e-28
198.81,1.01e-27
198.83,7.988e-27
198.84,2.2150000000000003e-26
198.86,1.6600000000000001e-25
198.88,1.2019999999999999e-24
198.89,3.193e-24
198.91,2.195e-23
198.93,1.459e-22
198.94,3.713e-22
198.96,2.343e-21
198.98,1.429e-20
198.99,3.484e-20
199.01,2.019e-19
199.03,1.13e-18
199.04,2.64e-18
199.06,1.404e-17
199.08,7.217e-17
199.09,1.615e-16
199.11,7.889e-16
199.12,1.721e-15
199.14,7.988e-15
199.16,3.583e-14
199.17,7.492e-14
199.19,3.194e-13
199.21,1.316e-12
199.22,2.639e-12
199.24,1.034e-11
199.26,3.917e-11
199.27,7.528e-11
199.29,2.713e-10
199.31,9.453e-10
199.32,1.743e-09
199.34,5.779e-09
199.36,1.854e-08
199.37,3.281e-08
199.39,1.002e-07
199.41,2.964e-07
199.42,5.035e-07
199.44,1.419e-06
199.46,3.871e-06
199.47,6.319e-06
199.49,1.645e-05
199.5,2.622e-05
199.52,6.51e-05
199.54,0.0001567
199.55,0.0002403
199.57,0.0005524
199.59,0.001232
199.6,0.001819
199.62,0.003875
199.64,0.008014
199.65,0.0114
199.67,0.02254
199.69,0.04325
199.7,0.05926
199.72,0.1088
199.74,0.1938
199.75,0.2558
199.77,0.4357
199.79,0.7203
199.8,0.9156
199.82,1.446
199.84,2.216
199.85,2.711
199.87,3.967
199.88,4.742
199.9,6.621
199.92,8.959
199.93,10.3
199.95,13.29
199.97,16.61
199.98,18.35
200.0,21.85
200.02,25.21
200.03,26.75
200.05,29.39
200.07,31.29
200.08,31.9
200.1,32.39
200.12,31.91
200.13,31.34
200.15,29.67
200.17,27.52
200.18,26.38
200.2,24.24
200.22,22.66
200.23,22.23
200.25,22.4
200.26,23.11
200.28,26.04
200.3,31.32
200.31,34.93
200.33,44.22
200.35,56.3
200.36,63.35
200.38,79.25
200.4,97.08
200.41,106.5
200.43,125.6
200.45,144.1
200.46,152.7
200.48,168.0
200.5,179.5
200.51,183.5
200.53,187.7
200.55,186.4
200.56,183.8
200.58,174.7
200.59,168.5
200.61,153.4
200.63,135.8
200.64,126.5
200.66,107.6
200.68,89.42
200.69,80.87
200.71,65.3
200.73,52.09
200.74,46.42
200.76,36.89
200.78,29.55
200.79,26.6
200.81,21.89
200.83,18.45
200.84,17.1
200.86,14.97
200.88,13.45
200.89,12.88
200.91,12.08
200.93,11.74
200.94,11.74
200.96,12.1
200.97,12.46
200.99,13.51
201.01,14.94
201.02,15.77
201.04,17.56
201.06,19.37
201.07,20.23
201.09,21.71
201.11,22.78
201.12,23.12
201.14,23.41
201.16,23.21
201.17,22.97
201.19,22.41
201.21,22.07
201.22,22.17
201.24,23.36
201.26,26.75
201.27,29.68
201.29,39.07
201.31,55.07
201.32,66.42
201.34,98.08
201.35,119.5
201.37,176.6
201.39,258.0
201.4,310.0
201.42,441.4
201.44,616.1
201.45,722.1
201.47,976.2
201.49,1290.0
201.5,1470.0
201.52,1876.0
201.54,2335.0
201.55,2580.0
201.57,3089.0
201.59,3600.0
201.6,3846.0
201.62,4300.0
201.64,4671.0
201.65,4815.0
201.67,5004.0
201.69,5048.0
201.7,5012.0
201.72,4830.0
201.73,4686.0
201.75,4311.0
201.77,3844.0
201.78,3588.0
201.8,3053.0
201.82,2518.0
201.83,2260.0
201.85,1779.0
201.87,1358.0
201.88,1173.0
201.9,856.6
201.92,609.0
201.93,509.0
201.95,351.1
201.97,241.2
201.98,201.3
202.0,146.0
202.02,117.4
202.03,111.4
202.05,112.8
202.06,119.6
202.08,143.4
202.1,179.2
202.11,201.1
202.13,251.0
202.15,307.1
202.16,336.3
202.18,394.5
202.2,448.8
202.21,472.9
202.23,512.7
202.25,537.9
202.26,544.2
202.28,543.3
202.3,524.8
202.31,509.4
202.33,468.1
202.35,416.0
202.36,387.3
202.38,327.5
202.4,267.9
202.41,239.3
202.43,186.3
202.44,162.4
202.46,120.5
202.48,86.65
202.49,72.66
202.51,50.03
202.53,33.61
202.54,27.35
202.56,17.96
202.58,11.8
202.59,9.625
202.61,6.588
202.63,4.777
202.64,4.18
202.66,3.389
202.68,2.939
202.69,2.792
202.71,2.593
202.73,2.474
202.74,2.435
202.76,2.39
202.78,2.384
202.79,2.395
202.81,2.445
202.82,2.483
202.84,2.581
202.86,2.701
202.87,2.765
202.89,2.893
202.91,3.01
202.92,3.059
202.94,3.134
202.96,3.172
202.97,3.178
202.99,3.167
203.01,3.143
203.02,3.135
203.04,3.149
203.06,3.239
203.07,3.327
203.09,3.62
203.11,4.1
203.12,4.42
203.14,5.23
203.16,6.259
203.17,6.847
203.19,8.134
203.2,8.814
203.22,10.19
203.24,11.5
203.25,12.09
203.27,13.1
203.29,13.79
203.3,13.99
203.32,14.11
203.34,13.85
203.35,13.59
203.37,12.85
203.39,11.9
203.4,11.39
203.42,10.33
203.44,9.331
203.45,8.881
203.47,8.123
203.49,7.595
203.5,7.426
203.52,7.281
203.53,7.303
203.55,7.523
203.57,7.942
203.58,8.21
203.6,8.827
203.62,9.492
203.63,9.819
203.65,10.42
203.67,10.88
203.68,11.04
203.7,11.19
203.72,11.1
203.73,10.96
203.75,10.51
203.77,9.876
203.78,9.506
203.8,8.716
203.82,7.934
203.83,7.576
203.85,6.989
203.87,6.647
203.88,6.593
203.9,6.766
203.91,7.004
203.93,7.807
203.95,9.05
203.96,9.829
203.98,11.67
204.0,13.81
204.01,14.95
204.03,17.27
204.05,19.51
204.06,20.53
204.08,22.28
204.1,23.48
204.11,23.83
204.13,24.01
204.15,23.46
204.16,22.93
204.18,21.4
204.2,19.39
204.21,18.26
204.23,15.87
204.25,13.46
204.26,12.3
204.28,10.16
204.29,9.211
204.31,7.572
204.33,6.309
204.34,5.816
204.36,5.08
204.38,4.627
204.39,4.484
204.41,4.321
204.43,4.261
204.44,4.251
204.46,4.239
204.48,4.208
204.49,4.178
204.51,4.079
204.53,3.929
204.54,3.837
204.56,3.622
204.58,3.381
204.59,3.256
204.61,3.004
204.62,2.882
204.64,2.654
204.66,2.458
204.67,2.375
204.69,2.243
204.71,2.161
204.72,2.139
204.74,2.134
204.76,2.176
204.77,2.213
204.79,2.315
204.81,2.45
204.82,2.527
204.84,2.703
204.86,2.908
204.87,3.025
204.89,3.293
204.91,3.626
204.92,3.826
204.94,4.307
204.96,4.922
204.97,5.287
204.99,6.142
205.0,6.632
205.02,7.729
205.04,8.953
205.05,9.596
205.07,10.9
205.09,12.14
205.1,12.7
205.12,13.66
205.14,14.32
205.15,14.51
205.17,14.58
205.19,14.24
205.2,13.91
205.22,12.99
205.24,11.78
205.25,11.1
205.27,9.652
205.29,8.188
205.3,7.484
205.32,6.193
205.34,5.121
205.35,4.687
205.37,4.048
205.38,3.85
205.4,3.712
205.42,3.931
205.43,4.181
205.45,4.989
205.47,6.279
205.48,7.15
205.5,9.494
205.52,12.97
205.53,15.32
205.55,21.72
205.57,31.38
205.58,37.87
205.6,55.31
205.62,80.47
205.63,96.66
205.65,137.8
205.67,192.4
205.68,225.3
205.7,302.8
205.72,395.7
205.73,447.4
205.75,559.1
205.76,617.8
205.78,736.7
205.8,851.2
205.81,904.1
205.83,995.8
205.85,1062.0
205.86,1084.0
205.88,1102.0
205.9,1084.0
205.91,1063.0
205.93,997.7
205.95,907.6
205.96,855.9
205.98,744.7
206.0,631.0
206.01,575.9
206.03,474.0
206.05,388.0
206.06,352.2
206.08,296.8
206.09,277.4
206.11,255.1
206.13,253.3
206.14,259.3
206.16,283.0
206.18,318.7
206.19,339.7
206.21,384.8
206.23,429.9
206.24,451.0
206.26,487.5
206.28,513.1
206.29,521.0
206.31,525.8
206.33,515.6
206.34,505.1
206.36,474.2
206.38,432.4
206.39,408.5
206.41,356.6
206.43,302.6
206.44,275.7
206.46,224.1
206.47,200.0
206.49,156.0
206.51,118.5
206.52,102.4
206.54,75.14
206.56,54.22
206.57,45.9
206.59,32.96
206.61,24.2
206.62,21.12
206.64,17.07
206.66,15.31
206.67,15.12
206.69,15.87
206.71,17.86
206.72,19.24
206.74,22.68
206.76,26.91
206.77,29.33
206.79,34.87
206.81,41.84
206.82,46.19
206.84,57.95
206.85,66.2
206.87,90.82
206.89,133.5
206.9,165.5
206.92,262.6
206.94,426.5
206.95,544.6
206.97,883.4
206.99,1411.0
207.0,1769.0
207.02,2731.0
207.04,4105.0
207.05,4981.0
207.07,7178.0
207.09,10050.0
207.1,11770.0
207.12,15780.0
207.14,20560.0
207.15,23210.0
207.17,28960.0
207.19,35110.0
207.2,38250.0
207.22,44440.0
207.23,47390.0
207.25,52770.0
207.27,57130.0
207.28,58830.0
207.3,61090.0
207.32,61720.0
207.33,61400.0
207.35,59560.0
207.37,56250.0
207.38,54130.0
207.4,49150.0
207.42,43520.0
207.43,40560.0
207.45,34610.0
207.47,28840.0
207.48,26100.0
207.5,21020.0
207.52,16570.0
207.53,14600.0
207.55,11160.0
207.56,9684.0
207.58,7187.0
207.6,5233.0
207.61,4433.0
207.63,3137.0
207.65,2177.0
207.66,1800.0
207.68,1213.0
207.7,801.2
207.71,646.4
207.73,415.1
207.75,262.9
207.76,208.7
207.78,132.2
207.8,86.56
207.81,71.82
207.83,53.53
207.85,45.35
207.86,43.72
207.88,43.5
207.9,45.61
207.91,47.05
207.93,50.09
207.94,51.51
207.96,53.87
207.98,55.47
207.99,55.99
208.01,56.61
208.03,56.96
208.04,57.18
208.06,58.02
208.08,59.78
208.09,61.13
208.11,64.92
208.13,70.23
208.14,73.43
208.16,80.68
208.18,88.67
208.19,92.75
208.21,100.7
208.23,107.7
208.24,110.8
208.26,115.7
208.28,118.9
208.29,119.9
208.31,120.8
208.32,120.9
208.34,120.6
208.36,120.1
208.37,120.0
208.39,120.1
208.41,120.7
208.42,121.2
208.44,122.2
208.46,122.8
208.47,122.8
208.49,121.8
208.51,118.9
208.52,116.7
208.54,110.6
208.56,102.6
208.57,97.9
208.59,87.58
208.61,76.56
208.62,71.0
208.64,60.21
208.66,50.31
208.67,45.84
208.69,38.01
208.7,34.68
208.72,29.18
208.74,25.11
208.75,23.53
208.77,21.12
208.79,19.46
208.8,18.83
208.82,17.79
208.84,16.92
208.85,16.51
208.87,15.68
208.89,14.85
208.9,14.43
208.92,13.62
208.94,12.88
208.95,12.55
208.97,12.01
208.99,11.65
209.0,11.55
209.02,11.58
209.03,11.74
209.05,12.49
209.07,14.19
209.08,15.6
209.1,20.21
209.12,28.6
209.13,34.94
209.15,54.01
209.17,85.49
209.18,107.8
209.2,170.2
209.22,264.6
209.23,327.4
209.25,491.9
209.27,720.0
209.28,862.2
209.3,1211.0
209.32,1654.0
209.33,1912.0
209.35,2502.0
209.37,3183.0
209.38,3552.0
209.4,4330.0
209.41,4730.0
209.43,5527.0
209.45,6279.0
209.46,6623.0
209.48,7214.0
209.5,7640.0
209.51,7781.0
209.53,7903.0
209.55,7805.0
209.56,7676.0
209.58,7269.0
209.6,6695.0
209.61,6357.0
209.63,5614.0
209.65,4820.0
209.66,4419.0
209.68,3638.0
209.7,2912.0
209.71,2578.0
209.73,1979.0
209.75,1478.0
209.76,1264.0
209.78,906.1
209.79,759.8
209.81,524.2
209.83,353.2
209.84,287.6
209.86,188.0
209.88,121.1
209.89,96.79
209.91,61.71
209.93,39.54
209.94,31.83
209.96,21.04
209.98,14.51
209.99,12.32
210.01,9.451
210.03,8.093
210.04,7.876
210.06,8.309
210.08,9.974
210.09,11.34
210.11,15.34
210.13,21.41
210.14,25.36
210.16,35.43
210.17,41.65
210.19,56.68
210.21,75.3
210.22,85.93
210.24,109.6
210.26,135.7
210.27,149.3
210.29,176.8
210.31,203.1
210.32,215.2
210.34,236.1
210.36,251.2
210.37,256.1
210.39,260.1
210.41,256.2
210.42,251.3
210.44,236.3
210.46,215.5
210.47,203.4
210.49,177.2
210.5,163.5
210.52,136.1
210.54,109.9
210.55,97.76
210.57,75.7
210.59,57.12
210.6,49.19
210.62,35.98
210.64,26.04
210.65,22.16
210.67,16.25
210.69,12.36
210.7,11.01
210.72,9.227
210.74,8.332
210.75,8.115
210.77,7.978
210.79,8.075
210.8,8.167
210.82,8.374
210.84,8.57
210.85,8.655
210.87,8.803
210.88,8.872
210.9,9.03
210.92,9.274
210.93,9.46
210.95,10.05
210.97,11.09
210.98,11.86
211.0,14.13
211.02,17.76
211.03,20.26
211.05,27.11
211.07,37.1
211.08,43.56
211.1,60.06
211.12,82.08
211.13,95.41
211.15,127.1
211.17,165.4
211.18,187.0
211.2,234.3
211.22,285.5
211.23,311.8
211.25,363.9
211.26,388.9
211.28,434.5
211.3,471.2
211.31,485.4
211.33,503.8
211.35,508.0
211.36,504.8
211.38,488.7
211.4,461.7
211.41,445.4
211.43,409.6
211.45,374.2
211.46,358.2
211.48,333.1
211.5,320.8
211.51,320.7
211.53,334.2
211.55,367.0
211.56,390.6
211.58,451.3
211.6,526.9
211.61,568.9
211.63,657.4
211.64,702.1
211.66,788.0
211.68,863.0
211.69,894.4
211.71,941.3
211.73,964.0
211.74,965.7
211.76,949.4
211.78,909.1
211.79,881.0
211.81,812.1
211.83,730.9
211.84,687.6
211.86,598.7
211.88,511.1
211.89,469.0
211.91,389.9
211.93,319.3
211.94,287.5
211.96,231.1
211.97,206.5
211.99,164.4
212.01,131.7
212.02,118.9
212.04,100.7
212.06,93.68
212.07,95.08
212.09,110.1
212.11,146.0
212.12,174.2
212.14,257.1
212.16,386.1
212.17,472.7
212.19,701.3
212.21,1021.0
212.22,1221.0
212.24,1716.0
212.26,2352.0
212.27,2726.0
212.29,3593.0
212.31,4608.0
212.32,5167.0
212.34,6361.0
212.35,6986.0
212.37,8249.0
212.39,9469.0
212.4,10040.0
212.42,11040.0
212.44,11800.0
212.45,12060.0
212.47,12340.0
212.49,12260.0
212.5,12090.0
212.52,11500.0
212.54,10620.0
212.55,10100.0
212.57,8935.0
212.59,7684.0
212.6,7051.0
212.62,5819.0
212.64,4679.0
212.65,4158.0
212.67,3228.0
212.69,2457.0
212.7,2131.0
212.72,1588.0
212.73,1367.0
212.75,1012.0
212.77,753.5
212.78,653.1
212.8,498.0
212.82,390.0
212.83,349.3
212.85,288.2
212.87,247.7
212.88,233.3
212.9,213.5
212.92,203.0
212.93,200.3
212.95,198.5
212.97,199.6
212.98,200.5
213.0,202.0
213.02,201.6
213.03,200.4
213.05,195.4
213.06,191.5
213.08,181.2
213.1,167.8
213.11,160.3
213.13,144.0
213.15,127.3
213.16,119.0
213.18,103.4
213.2,89.86
213.21,84.07
213.23,74.88
213.25,69.36
213.26,68.14
213.28,69.09
213.3,74.91
213.31,79.78
213.33,93.62
213.35,113.0
213.36,124.8
213.38,152.1
213.4,183.8
213.41,200.8
213.43,236.1
213.44,253.8
213.46,287.8
213.48,317.7
213.49,330.4
213.51,349.8
213.53,359.8
213.54,360.9
213.56,355.3
213.58,339.6
213.59,328.4
213.61,300.3
213.63,266.6
213.64,248.5
213.66,211.2
213.68,174.3
213.69,156.7
213.71,124.0
213.73,95.4
213.74,82.85
213.76,61.27
213.78,44.21
213.79,37.23
213.81,25.99
213.82,21.56
213.84,14.67
213.86,9.872
213.87,8.08
213.89,5.414
213.91,3.655
213.92,3.021
213.94,2.1
213.96,1.507
213.97,1.296
213.99,0.9913
214.01,0.799
214.02,0.7327
214.04,0.6443
214.06,0.6013
214.07,0.5933
214.09,0.6004
214.11,0.6351
214.12,0.6627
214.14,0.7397
214.16,0.8527
214.17,0.9271
214.19,1.127
214.2,1.262
214.22,1.636
214.24,2.219
214.25,2.626
214.27,3.769
214.29,5.535
214.3,6.738
214.32,9.994
214.34,14.72
214.35,17.78
214.37,25.58
214.39,36.01
214.4,42.34
214.42,57.42
214.44,75.8
214.45,86.18
214.47,109.1
214.49,134.1
214.5,147.1
214.52,173.1
214.53,185.8
214.55,209.2
214.57,228.8
214.58,236.6
214.6,247.5
214.62,251.3
214.63,250.5
214.65,243.4
214.67,229.7
214.68,220.8
214.7,199.7
214.72,175.6
214.73,163.1
214.75,138.2
214.77,114.8
214.78,104.2
