文件名,iteration,brute_force,,
03116_95.csv,18405.500840528453,17250,1001.500841,154
03124_95.csv,18417.495532353456,13250,1013.495532,4154
03130_95.csv,15101.331663177849,17000,2302.668337,404
03134_95.csv,18448.152704792687,17250,1044.152705,154
070036_95.csv,20000,19750,2596,2346
070099_95.csv,15567.864179553391,17250,1836.13582,154
070101_95.csv,15288.861457249564,17500,2115.138543,96
070159_95.csv,13824.691118348348,17000,3579.308882,404
070171_95.csv,15229.655038554152,19750,2174.344961,2346
07103_95.csv,19205.95856950997,17250,1801.95857,154
07105_95.csv,16586.01443308689,17250,817.9855669,154
07106_95.csv,17465.601553224624,17750,61.60155322,346
07107_95.csv,14277.842675777363,18000,3126.157324,596
07111_95.csv,13599.964718455278,17250,3804.035282,154
07121_95.csv,18786.23656110046,9750,1382.236561,7654
07122_95.csv,16198.135621032769,17250,1205.864379,154
07125_95.csv,19886.541771777964,18250,2482.541772,846
07141_95.csv,17294.122317984715,17250,109.877682,154
07145_95.csv,17235.118953489568,17250,168.8810465,154
07405_95.csv,12348.179203855201,20000,5055.820796,2596
07407_95.csv,11732.26600530648,20000,5671.733995,2596
07840_95.csv,10659.795071591721,14000,6744.204928,3404
算法运算时间(秒),610.116099,112.052764,2277.074776,1326.090909
