wavelength,intensity
198.28,1.5980000000000002e-34
198.3,4.486e-30
198.32,2.132e-29
198.33,4.6159999999999997e-29
198.35,2.134e-28
198.37,1.1e-27
198.38,2.337e-27
198.4,1.0410000000000001e-26
198.41,2.1820000000000002e-26
198.43,9.464e-26
198.45,4.033e-25
198.46,8.2700000000000005e-25
198.48,3.432e-24
198.5,1.399e-23
198.51,2.807e-23
198.53,1.1149999999999998e-22
198.55,4.351e-22
198.56,8.538999999999999e-22
198.58,3.246e-21
198.6,1.213e-20
198.61,2.3280000000000002e-20
198.63,8.473000000000001e-20
198.65,3.03e-19
198.66,5.693e-19
198.68,1.983e-18
198.7,6.792e-18
198.71,1.249e-17
198.73,4.166e-17
198.75,1.366e-16
198.76,2.458e-16
198.78,7.853e-16
198.79,1.395e-15
198.81,4.342e-15
198.83,1.329e-14
198.84,2.31e-14
198.86,6.889e-14
198.88,2.02e-13
198.89,3.436e-13
198.91,9.816e-13
198.93,2.757e-12
198.94,4.591e-12
198.96,1.257e-11
198.98,3.381e-11
198.99,5.51e-11
199.01,1.445e-10
199.03,3.725e-10
199.04,5.943e-10
199.06,1.493e-09
199.08,3.688e-09
199.09,5.758e-09
199.11,1.386e-08
199.12,2.137e-08
199.14,5.013e-08
199.16,1.156e-07
199.17,1.744e-07
199.19,3.919e-07
199.21,8.658e-07
199.22,1.279e-06
199.24,2.752e-06
199.26,5.824e-06
199.27,8.417e-06
199.29,1.735e-05
199.31,3.517e-05
199.32,4.974e-05
199.34,9.82e-05
199.36,0.0001906
199.37,0.0002637
199.39,0.0004986
199.41,0.0009265
199.42,0.001255
199.44,0.002271
199.46,0.004039
199.47,0.005352
199.49,0.009273
199.5,0.01213
199.52,0.02046
199.54,0.03394
199.55,0.04341
199.57,0.07012
199.59,0.1113
199.6,0.1393
199.62,0.2152
199.64,0.3268
199.65,0.4
199.67,0.5915
199.69,0.8593
199.7,1.029
199.72,1.455
199.74,2.023
199.75,2.368
199.77,3.205
199.79,4.26
199.8,4.878
199.82,6.314
199.84,8.026
199.85,8.989
199.87,11.13
199.88,12.3
199.9,14.81
199.92,17.53
199.93,18.95
199.95,21.83
199.97,24.71
199.98,26.11
200.0,28.77
200.02,31.14
200.03,32.17
200.05,33.9
200.07,35.08
200.08,35.45
200.1,35.71
200.12,35.35
200.13,34.93
200.15,33.67
200.17,31.88
200.18,30.82
200.2,28.43
200.22,25.79
200.23,24.4
200.25,21.59
200.26,20.19
200.28,17.44
200.3,14.86
200.31,13.65
200.33,11.42
200.35,9.473
200.36,8.61
200.38,7.11
200.4,5.903
200.41,5.405
200.43,4.609
200.45,4.061
200.46,3.873
200.48,3.657
200.5,3.639
200.51,3.699
200.53,3.949
200.55,4.363
200.56,4.628
200.58,5.266
200.59,5.637
200.61,6.471
200.63,7.415
200.64,7.921
200.66,8.985
200.68,10.1
200.69,10.66
200.71,11.78
200.73,12.88
200.74,13.4
200.76,14.41
200.78,15.33
200.79,15.76
200.81,16.55
200.83,17.27
200.84,17.61
200.86,18.27
200.88,18.91
200.89,19.24
200.91,19.92
200.93,20.67
200.94,21.07
200.96,21.93
200.97,22.38
200.99,23.34
201.01,24.32
201.02,24.8
201.04,25.74
201.06,26.57
201.07,26.93
201.09,27.5
201.11,27.84
201.12,27.91
201.14,27.84
201.16,27.49
201.17,27.21
201.19,26.46
201.21,25.5
201.22,24.96
201.24,23.79
201.26,22.56
201.27,21.95
201.29,20.77
201.31,19.69
201.32,19.21
201.34,18.39
201.35,18.06
201.37,17.57
201.39,17.32
201.4,17.29
201.42,17.39
201.44,17.71
201.45,17.95
201.47,18.54
201.49,19.28
201.5,19.69
201.52,20.56
201.54,21.48
201.55,21.95
201.57,22.87
201.59,23.77
201.6,24.2
201.62,25.03
201.64,25.8
201.65,26.17
201.67,26.88
201.69,27.56
201.7,27.9
201.72,28.58
201.73,28.93
201.75,29.64
201.77,30.38
201.78,30.77
201.8,31.55
201.82,32.35
201.83,32.74
201.85,33.5
201.87,34.19
201.88,34.5
201.9,35.02
201.92,35.39
201.93,35.5
201.95,35.58
201.97,35.44
201.98,35.28
202.0,34.79
202.02,34.08
202.03,33.64
202.05,32.6
202.06,32.01
202.08,30.7
202.1,29.23
202.11,28.44
202.13,26.8
202.15,25.08
202.16,24.21
202.18,22.46
202.2,20.75
202.21,19.93
202.23,18.37
202.25,16.99
202.26,16.38
202.28,15.37
202.3,14.66
202.31,14.43
202.33,14.27
202.35,14.5
202.36,14.77
202.38,15.62
202.4,16.85
202.41,17.6
202.43,19.34
202.44,20.31
202.46,22.39
202.48,24.59
202.49,25.69
202.51,27.85
202.53,29.83
202.54,30.73
202.56,32.26
202.58,33.36
202.59,33.74
202.61,34.11
202.63,33.95
202.64,33.67
202.66,32.74
202.68,31.36
202.69,30.52
202.71,28.6
202.73,26.44
202.74,25.3
202.76,22.96
202.78,20.63
202.79,19.49
202.81,17.31
202.82,16.28
202.84,14.39
202.86,12.73
202.87,12.0
202.89,10.72
202.91,9.703
202.92,9.287
202.94,8.636
202.96,8.215
202.97,8.088
202.99,7.992
203.01,8.102
203.02,8.232
203.04,8.641
203.06,9.242
203.07,9.613
203.09,10.49
203.11,11.52
203.12,12.1
203.14,13.33
203.16,14.65
203.17,15.32
203.19,16.67
203.2,17.34
203.22,18.59
203.24,19.7
203.25,20.19
203.27,21.0
203.29,21.55
203.3,21.72
203.32,21.84
203.34,21.68
203.35,21.5
203.37,20.97
203.39,20.23
203.4,19.81
203.42,18.89
203.44,17.93
203.45,17.45
203.47,16.54
203.49,15.73
203.5,15.37
203.52,14.78
203.53,14.54
203.55,14.2
203.57,14.01
203.58,13.96
203.6,13.97
203.62,14.06
203.63,14.12
203.65,14.27
203.67,14.41
203.68,14.48
203.7,14.57
203.72,14.63
203.73,14.64
203.75,14.65
203.77,14.66
203.78,14.68
203.8,14.78
203.82,15.01
203.83,15.19
203.85,15.71
203.87,16.49
203.88,16.99
203.9,18.22
203.91,18.94
203.93,20.62
203.95,22.57
203.96,23.63
203.98,25.86
204.0,28.17
204.01,29.33
204.03,31.56
204.05,33.58
204.06,34.49
204.08,36.0
204.1,37.05
204.11,37.39
204.13,37.64
204.15,37.32
204.16,36.95
204.18,35.82
204.2,34.21
204.21,33.24
204.23,31.07
204.25,28.66
204.26,27.39
204.28,24.79
204.29,23.49
204.31,20.94
204.33,18.51
204.34,17.36
204.36,15.21
204.38,13.27
204.39,12.39
204.41,10.79
204.43,9.406
204.44,8.787
204.46,7.682
204.48,6.732
204.49,6.308
204.51,5.547
204.53,4.887
204.54,4.591
204.56,4.057
204.58,3.597
204.59,3.394
204.61,3.037
204.62,2.884
204.64,2.63
204.66,2.446
204.67,2.38
204.69,2.304
204.71,2.302
204.72,2.33
204.74,2.443
204.76,2.638
204.77,2.767
204.79,3.093
204.81,3.514
204.82,3.763
204.84,4.344
204.86,5.045
204.87,5.443
204.89,6.342
204.91,7.381
204.92,7.954
204.94,9.205
204.96,10.59
204.97,11.32
204.99,12.86
205.0,13.66
205.02,15.27
205.04,16.88
205.05,17.66
205.07,19.14
205.09,20.47
205.1,21.05
205.12,22.03
205.14,22.71
205.15,22.94
205.17,23.14
205.19,23.02
205.2,22.84
205.22,22.27
205.24,21.48
205.25,21.01
205.27,20.02
205.29,19.01
205.3,18.53
205.32,17.72
205.34,17.22
205.35,17.13
205.37,17.38
205.38,17.77
205.4,19.21
205.42,21.73
205.43,23.49
205.45,28.21
205.47,34.86
205.48,39.05
205.5,49.47
205.52,63.06
205.53,71.22
205.55,90.67
205.57,114.7
205.58,128.7
205.6,160.6
205.62,198.2
205.63,219.2
205.65,265.3
205.67,316.5
205.68,343.9
205.7,401.4
205.72,461.2
205.73,491.5
205.75,551.6
205.76,580.8
205.78,636.0
205.8,685.2
205.81,706.8
205.83,742.8
205.85,767.6
205.86,775.4
205.88,781.5
205.9,774.5
205.91,766.1
205.93,740.4
205.95,703.6
205.96,681.7
205.98,631.9
206.0,576.2
206.01,546.8
206.03,486.7
206.05,426.5
206.06,397.0
206.08,340.2
206.09,313.3
206.11,263.1
206.13,218.4
206.14,198.3
206.16,162.4
206.18,132.4
206.19,119.4
206.21,97.37
206.23,79.88
206.24,72.64
206.26,60.75
206.28,51.74
206.29,48.13
206.31,42.31
206.33,37.96
206.34,36.2
206.36,33.31
206.38,31.02
206.39,30.03
206.41,28.26
206.43,26.68
206.44,25.93
206.46,24.51
206.47,23.83
206.49,22.51
206.51,21.27
206.52,20.68
206.54,19.57
206.56,18.56
206.57,18.1
206.59,17.29
206.61,16.6
206.62,16.31
206.64,15.82
206.66,15.46
206.67,15.33
206.69,15.13
206.71,15.03
206.72,15.01
