Wavelength (nm),Sum(calc),Na I (5.4e-5),Na II (1.1e-3),Na III (4.1e-22),Mg I (1.8e-3),Mg II (1.5e-2),Mg III (8.9e-6),Al I (1.8e-2),Al II (1.2e-1),Al III (3.4e-6),Si I (1.3e-1),Si II (2.4e-1),Si III (1.1e-5),K I (9.0e-4),K II (2.8e-2),K III (8.0e-13),Ca I (5.4e-4),Ca II (1.3e-2),Ca III (1.8e-4),Mn I (3.3e-2),Mn II (2.6e-1),Fe I (1.3e-2),Fe II (7.2e-2),Fe III (9.7e-6),Y I (1.2e-4),Y II (3.4e-3),La I (7.6e-5),La II (3.4e-3),Ce I (6.3e-5),Ce II (3.4e-3),Pr II (3.3e-3),Nd I (4.3e-5),Nd II (3.5e-3),Sm I (4.8e-5),Sm II (3.4e-3),Eu I (7.9e-5),Eu II (3.4e-3),Tb II (3.3e-3),Dy I (8.9e-5),Dy II (3.5e-3),Ho I (1.8e-4),Ho II (3.3e-3),Er I (1.2e-4),Er II (3.4e-3),Tm I (1.1e-4),Tm II (3.4e-3),Yb I (1.1e-4),Yb II (3.4e-3),Lu I (1.8e-4),Lu II (3.4e-3)
198.78,6.193e-29,,,,,,,,,,,,,,,,,,,,,,,6.193e-29,,,,,,,,,,,,,,,,,,,,,,,,,,
198.8,4.568e-22,,,,,,,,,,,,,,,,,,,,,,4.568e-22,3.397e-28,,,,,,,,,,,,,,,,,,,,,,,,,,
198.83,6.050e-21,,,,,,,,,,,,,,,,,,,,,,6.050e-21,4.138e-27,,,,,,,,,,,,,,,,,,,,,,,,,,
198.85,3.270e-20,,,,,,,,,,,,,,,,,,4.401e-39,,,,3.270e-20,2.116e-26,,,,,,,,,,,,,,,,,,,,,,,,,,
198.88,3.898e-19,,,,,,,,,,,,1.043e-35,,,,,,5.822e-38,,,,3.898e-19,2.320e-25,,,,,,,,,,,,,,,,,,,,,,,,,,
198.9,1.964e-18,,,,,,,,,,,,5.791e-35,,,,,,3.144e-37,,,,1.964e-18,1.106e-24,,,,,,,,,,,,,,,,,,,,,,,,,,
198.93,2.106e-17,,,,,,,,,,,,7.187e-34,,,,,,3.743e-36,,,,2.106e-17,1.091e-23,,,,,,,,,,,,,,,,,,,,,,,,,,
198.95,9.891e-17,,,,,,,,,,,,3.720e-33,,,,,,1.884e-35,,5.006e-23,,9.891e-17,4.845e-23,,,,,,,,,,,,,,,,,,,,,,,,,,
198.98,9.548e-16,,,,,,,,,,,,4.155e-32,,,,,,2.018e-34,,6.604e-22,,9.548e-16,4.302e-22,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4.179e-15,,,,,,,,,,,,2.005e-31,,,,,,9.470e-34,,3.560e-21,,4.179e-15,1.781e-21,,,,,,,,,,,,,,,,,,,,,,,,,,
199.03,3.631e-14,,,,,,,,,,,,2.015e-30,,,,,,9.131e-33,,4.228e-20,,3.631e-14,1.423e-20,,,,,,,,,,,,,,,,,,,,,,,,,,
199.05,1.481e-13,,,,,,,,,,,,9.063e-30,,,,,,3.993e-32,,2.125e-19,,1.481e-13,5.493e-20,,,,,,,,,,,,,,,,,,,,,,,,,,
199.08,1.158e-12,,,,,,,,,,,,8.199e-29,,,,,,3.465e-31,,2.271e-18,,1.158e-12,3.951e-19,,,,,,,,,,,,,,,,,,,,,,,,,,
199.1,4.404e-12,,,,,,,,,,,,3.437e-28,,,,,,1.413e-30,,1.064e-17,,4.403e-12,1.421e-18,,,,,,,,,,,,,,,,,,,,,,,,,,
199.12,1.628e-11,,,,,,,,,,,,1.401e-27,,,,,,5.600e-30,,4.846e-17,,1.628e-11,4.971e-18,,,,,,,,,,,,,,,,,,,,,,,,,,
199.15,1.098e-10,,,,,,,,,,,,1.094e-26,,,,,,4.193e-29,,4.470e-16,,1.098e-10,3.085e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
199.17,3.785e-10,,,,,,,,,,,,4.155e-26,,,,,,1.549e-28,,1.898e-15,,3.785e-10,1.006e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
199.2,2.297e-9,,,2.778e-65,,,,,,,,,2.919e-25,,,,,,1.044e-27,,1.576e-14,,2.297e-9,5.620e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
199.22,7.379e-9,,,1.513e-64,,,,,,,,,1.034e-24,,,,,,3.595e-27,,6.237e-14,,7.379e-9,1.709e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
199.25,4.031e-8,,,1.824e-63,,,2.148e-50,,,,,,6.537e-24,,,,,,2.180e-26,,4.660e-13,,4.031e-8,8.594e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
199.27,1.207e-7,,,9.260e-63,,,1.202e-49,,,,,3.211e-25,2.158e-23,,,,,,6.999e-26,,1.720e-12,,1.207e-7,2.436e-14,,,,,,,,,,,,,,,,,,,,,,,,,,
199.3,5.932e-7,,,1.174e-61,,,1.509e-48,,,,,4.116e-24,1.228e-22,,,,,,3.819e-25,,1.156e-11,,5.932e-7,1.103e-13,,,,,,,,,,,,,,,,,,,,,,,,,,
199.32,1.656e-6,,,5.677e-61,,,7.871e-48,,,,,2.177e-23,3.779e-22,,,,,,1.143e-24,,3.978e-11,,1.656e-6,2.917e-13,,,,,,,,,,,,,,,,,,,,,,,,,,
199.35,7.324e-6,,,5.755e-60,,,8.897e-47,,,,,2.512e-22,1.935e-21,,,,,,5.614e-24,,2.408e-10,,7.324e-6,1.190e-12,,,,,,,,,,,,,,,,,,,,,,,,,,
199.37,1.906e-5,,,2.613e-59,,,4.327e-46,,,,,1.239e-21,5.552e-21,,,,,,1.566e-23,,7.722e-10,,1.905e-5,2.936e-12,,,,,,,,,,,,,,,,,,,,,,,,,,
199.4,7.585e-5,,,2.412e-58,,,4.404e-45,,,,,1.287e-20,2.559e-20,,,,,,6.922e-23,,4.207e-9,,7.585e-5,1.080e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
199.42,1.839e-4,,,1.030e-57,,,1.997e-44,,,,,5.919e-20,6.843e-20,,,,,,1.800e-22,,1.258e-8,,1.839e-4,2.486e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
199.45,6.590e-4,,,8.681e-57,,,1.830e-43,,,,,5.538e-19,2.838e-19,,,,,,7.160e-22,,6.166e-8,,6.589e-4,8.249e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
199.47,1.490e-3,,,3.490e-56,,,7.736e-43,,,,,2.374e-18,7.075e-19,,,,,,1.735e-21,,1.718e-7,,1.489e-3,1.774e-10,,,,,,,,,,,,,,,,,,,,,,,,,,
199.5,4.802e-3,,,2.692e-55,,,6.382e-42,,,,,2.000e-17,2.641e-18,,,,,,6.213e-21,,7.584e-7,,4.801e-3,5.315e-10,,,,,,,,,,,,,,,,,,,,,,,,,,
199.52,1.012e-2,,,1.021e-54,,,2.516e-41,,,,,7.994e-17,6.137e-18,,,,,,1.404e-20,,1.970e-6,,1.012e-2,1.069e-9,,,,,,,,,,,,,,,,,,,,,,,,,,
199.54,2.073e-2,,,3.780e-54,,,9.646e-41,,,,,3.107e-16,1.386e-17,,,,,,3.084e-20,,4.977e-6,,2.072e-2,2.092e-9,,,,,,,,,,,,,,,,,,,,,,,,,,
199.57,5.765e-2,,,2.580e-53,,,6.870e-40,,,,,2.260e-15,4.466e-17,,,,,,9.525e-20,,1.895e-5,,5.763e-2,5.454e-9,,,,,,,,,,,,,,,,,,,,,,,,,,
199.59,1.101e-1,,,9.016e-53,,,2.456e-39,,,,,8.190e-15,9.404e-17,,,,,,1.950e-19,,4.463e-5,,1.100e-1,1.000e-8,,,,,,,,,,,,,,,,,,,,,,,,,,
199.62,2.756e-1,,,5.640e-52,,,1.575e-38,,,,,5.362e-14,2.726e-16,,,,,,5.422e-19,,1.530e-4,,2.754e-1,2.370e-8,,,,,,,,,,,,,,,,,,,,,,,,,,
199.64,4.906e-1,,,1.859e-51,,,5.248e-38,,,,,1.812e-13,5.351e-16,,,,,,1.035e-18,,3.358e-4,,4.902e-1,4.081e-8,,,,,,,,,,,,,,,,,,,,,,,,,,
199.67,1.105e+0,,,1.065e-50,,,3.030e-37,,,,,1.068e-12,1.396e-15,,,,,,2.589e-18,,1.036e-3,,1.104e+0,8.815e-8,,,,,,,,,,,,,,,,,,,,,,,,,,
199.69,1.834e+0,,,3.310e-50,,,9.414e-37,,,,,3.366e-12,2.555e-15,,,,,,4.607e-18,,2.120e-3,,1.832e+0,1.430e-7,,,,,,,,,,,,,,,,,,,,,,,,,,
199.72,3.719e+0,,,1.733e-49,,,4.894e-36,,,,,1.786e-11,5.998e-15,,,,,,1.037e-17,,5.887e-3,,3.713e+0,2.829e-7,,,,,,,,,,,,,,,,,,,,,,,,,,
199.74,5.753e+0,,,5.069e-49,,,1.418e-35,,,,,5.248e-11,1.023e-14,,,,,,1.721e-17,,1.123e-2,,5.741e+0,4.335e-7,,,,,,,,,,,,,,,,,,,,,,,,,,
199.77,1.050e+1,,,2.420e-48,,,6.635e-35,,,,,2.508e-10,2.162e-14,,,,,,3.487e-17,,2.807e-2,,1.047e+1,7.896e-7,,,,,,,,,,,,,,,,,,,,,,,,,,
199.79,1.515e+1,,,6.652e-48,,,1.793e-34,,,,,6.870e-10,3.437e-14,,,,,,5.392e-17,,4.991e-2,,1.510e+1,1.147e-6,,,,,,,,,,,,,,,,,,,,,,,,,,
199.82,2.489e+1,,,2.890e-47,,,7.553e-34,,,,,2.956e-9,6.537e-14,,,,,,9.836e-17,,1.123e-1,,2.478e+1,1.933e-6,,,,,,,,,,,,,,,,,,,,,,,,,,
199.84,3.348e+1,,,7.454e-47,,,1.903e-33,,,,,7.550e-9,9.689e-14,,,,,,1.418e-16,,1.861e-1,,3.329e+1,2.669e-6,,,,,,,,,,,,,,,,,,,,,,,,,,
