Wavelength (nm),Sum(calc),Na I (6.8e-3),Na II (1.4e-1),Na III (5.1e-20),Al I (2.6e-2),Al II (1.8e-1),Al III (5.1e-6),Si I (1.8e-1),Si II (3.4e-1),Si III (1.6e-5),K I (1.7e-3),K II (5.4e-2),K III (1.5e-12),Ca I (1.8e-4),Ca II (4.6e-3),Ca III (6.2e-5),Ti I (4.2e-5),Ti II (7.4e-4),Ti III (1.5e-6),Mn I (4.1e-5),Mn II (3.2e-4),Fe I (1.7e-3),Fe II (9.2e-3),Fe III (1.2e-6),Y I (1.6e-4),Y II (4.3e-3),La I (9.7e-5),La II (4.3e-3),Pr II (4.3e-3),Sm I (6.1e-5),Sm II (4.4e-3),Eu I (1.0e-4),Eu II (4.3e-3),Tb II (4.2e-3),Ho I (2.3e-4),Ho II (4.2e-3),Er I (1.5e-4),Er II (4.3e-3),Tm I (1.4e-4),Tm II (4.4e-3),Yb I (1.4e-4),Yb II (4.4e-3),Lu I (2.3e-4),Lu II (4.3e-3)
198.81,1.817e-27,,,,,,,,,,,,,,,,,,,,,,,1.817e-27,,,,,,,,,,,,,,,,,,,,
198.82,4.092e-27,,,,,,,,,,,,,,,2.503e-35,,,,,,,,4.092e-27,,,,,,,,,,,,,,,,,,,,
198.83,9.155e-27,,,,,,,,,,,,,,,5.637e-35,,,,,,,,9.155e-27,,,,,,,,,,,,,,,,,,,,
198.84,2.034e-26,,,,,,,,,,,,,,,1.261e-34,,,,,,,,2.034e-26,,,,,,,,,,,,,,,,,,,,
198.85,4.490e-26,,,,,,,,,,,,,,,2.802e-34,,,,,,,,4.490e-26,,,,,,,,,,,,,,,,,,,,
198.86,9.861e-26,,,,,,,,,,,,,,,6.184e-34,,,,,,,,9.861e-26,,,,,,,,,,,,,,,,,,,,
198.88,4.645e-25,,,,,,,,,,,,,,,2.952e-33,,,,,,,,4.645e-25,,,,,,,,,,,,,,,,,,,,
198.89,6.704e-21,,,,,,,,,,,,,,,6.385e-33,,,,,,,6.703e-21,9.981e-25,,,,,,,,,,,,,,,,,,,,
198.9,1.509e-20,,,,,,,,,,,,,,,1.372e-32,,,,,,,1.509e-20,2.130e-24,,,,,,,,,,,,,,,,,,,,
198.91,3.374e-20,,,,,,,,,,,,,,,2.927e-32,,,,,,,3.373e-20,4.516e-24,,,,,,,,,,,,,,,,,,,,
198.92,7.492e-20,,,,,,,,,,,,,,,6.205e-32,,,,,,,7.491e-20,9.508e-24,,,,,,,,,,,,,,,,,,,,
198.93,1.653e-19,,,,,,,,,,,,,,,1.306e-31,,,,,,,1.652e-19,1.989e-23,,,,,,,,,,,,,,,,,,,,
198.95,7.880e-19,,,,,,,,,,,,,,,5.675e-31,,,,,,,7.879e-19,8.525e-23,,,,,,,,,,,,,,,,,,,,
198.96,1.703e-18,,,,,,,,,7.060e-34,,,,,,1.171e-30,,,,,,,1.703e-18,1.747e-22,,,,,,,,,,,,,,,,,,,,
198.97,3.657e-18,,,,,,,,,1.588e-33,,,,,,2.399e-30,,,,,,,3.657e-18,3.557e-22,,,,,,,,,,,,,,,,,,,,
198.98,7.800e-18,,,,,,,,,3.549e-33,,,,,,4.884e-30,,,,,,,7.800e-18,7.194e-22,,,,,,,,,,,,,,,,,,,,
198.99,1.652e-17,,,,,,,,,7.876e-33,,,,,,9.876e-30,,,,,,,1.652e-17,1.445e-21,,,,,,,,,,,,,,,,,,,,
199,3.477e-17,,,,,,,,,1.736e-32,,,,,,1.983e-29,,,,,,,3.477e-17,2.883e-21,,,,,,,,,,,,,,,,,,,,
199.02,1.509e-16,,,,,,,,,8.271e-32,,,,,,7.841e-29,,,,,,,1.509e-16,1.125e-20,,,,,,,,,,,,,,,,,,,,
199.03,3.112e-16,,,,,,,,,1.787e-31,,,,,,1.543e-28,,,,,,,3.111e-16,2.199e-20,,,,,,,,,,,,,,,,,,,,
199.04,6.374e-16,,,,,,,,,3.835e-31,,,,,,3.017e-28,,,,,7.025e-24,,6.373e-16,4.271e-20,,,,,,,,,,,,,,,,,,,,
199.05,1.297e-15,,,,,,,,,8.174e-31,,,,,,5.858e-28,,,,,1.579e-23,,1.297e-15,8.240e-20,,,,,,,,,,,,,,,,,,,,
199.06,2.621e-15,,,,,,,,,1.731e-30,,,,,,1.130e-27,,,,,3.526e-23,,2.621e-15,1.579e-19,,,,,,,,,,,,,,,,,,,,
199.07,5.261e-15,,,,,,,,,3.640e-30,,,,,,2.165e-27,,,,,7.821e-23,,5.260e-15,3.005e-19,,,,,,,,,,,,,,,,,,,,
199.09,2.077e-14,,,,,,,,,1.578e-29,,,,,,7.787e-27,,,,,3.771e-22,,2.077e-14,1.067e-18,,,,,,,,,,,,,,,,,,,,
199.1,4.087e-14,,,,,,,,,3.253e-29,,,,,,1.462e-26,,,,,8.197e-22,,4.087e-14,1.990e-18,,,,,,,,,,,,,,,,,,,,
199.11,7.986e-14,,,,,,,,,6.659e-29,,,,,,2.727e-26,,,,,1.770e-21,,7.986e-14,3.687e-18,,,,,,,,,,,,,,,,,,,,
199.12,1.550e-13,,,,,,,,,1.354e-28,,,,,,5.051e-26,,,,,3.796e-21,,1.550e-13,6.785e-18,,,,,,,,,,,,,,,,,,,,
199.13,2.988e-13,,,,,,,,,2.735e-28,,,,,,9.294e-26,,,,,8.086e-21,,2.988e-13,1.240e-17,,,,,,,,,,,,,,,,,,,,
199.14,5.723e-13,,,,,,,,,5.488e-28,,,,,,1.699e-25,,,,,1.711e-20,,5.722e-13,2.252e-17,,,,,,,,,,,,,,,,,,,,
199.16,2.057e-12,,,,,,,,,2.165e-27,,,,,,5.560e-25,,,,,7.509e-20,,2.056e-12,7.275e-17,,,,,,,,,,,,,,,,,,,,
199.17,3.859e-12,,,,,,,,,4.258e-27,,,,,,9.958e-25,,,,,1.557e-19,,3.859e-12,1.294e-16,,,,,,,,,,,,,,,,,,,,
199.18,7.194e-12,,,,,,,,,8.316e-27,,,,,,1.772e-24,,,,,3.208e-19,,7.194e-12,2.288e-16,,,,,,,,,,,,,,,,,,,,
199.19,1.332e-11,,,,,,,,,1.613e-26,,,,,,3.130e-24,,,,,6.563e-19,,1.332e-11,4.017e-16,,,,,,,,,,,,,,,,,,,,
199.2,2.450e-11,,,,,,,,,3.109e-26,,,,,,5.495e-24,,,,,1.334e-18,,2.450e-11,7.004e-16,,,,,,,,,,,,,,,,,,,,
199.21,4.476e-11,,,,,,,,,5.951e-26,,,,,,9.579e-24,,,,,2.693e-18,,4.476e-11,1.213e-15,,,,,,,,,,,,,,,,,,,,
199.23,1.464e-10,,,,,,,,,2.137e-25,,,,,,2.853e-23,,,,,1.076e-17,,1.464e-10,3.567e-15,,,,,,,,,,,,,,,,,,,,
199.24,2.621e-10,,,,,,,,,4.008e-25,,,,,,4.875e-23,,,,,2.128e-17,,2.621e-10,6.055e-15,,,,,,,,,,,,,,,,,,,,
