wavelength,intensity
198.92,3.926e-27
198.93,1.095e-26
198.94,3.025e-26
198.95,8.286000000000001e-26
198.96,2.25e-25
198.97,6.058e-25
198.98,1.617e-24
198.99,4.278e-24
199.0,1.122e-23
199.01,2.918e-23
199.019,6.844e-23
199.029,1.7499999999999998e-22
199.039,4.437e-22
199.049,1.115e-21
199.059,2.7790000000000002e-21
199.069,6.864e-21
199.079,1.681e-20
199.089,4.0800000000000006e-20
199.099,9.818000000000001e-20
199.109,2.342e-19
199.119,5.539e-19
199.129,1.298e-18
199.139,3.018e-18
199.149,6.953e-18
199.159,1.588e-17
199.169,3.595e-17
199.179,8.07e-17
199.189,1.796e-16
199.198,3.661e-16
199.208,8.013e-16
199.218,1.738e-15
199.228,3.739e-15
199.238,7.973e-15
199.248,1.685e-14
199.258,3.531e-14
199.268,7.335e-14
199.278,1.511e-13
199.288,3.084e-13
199.298,6.241e-13
199.308,1.252e-12
199.318,2.49e-12
199.328,4.909e-12
199.338,9.595e-12
199.348,1.859e-11
199.358,3.571e-11
199.368,6.799e-11
199.378,1.283e-10
199.387,2.257e-10
199.397,4.19e-10
199.407,7.712e-10
199.417,1.407e-09
199.427,2.545e-09
199.437,4.564e-09
199.447,8.113e-09
199.457,1.43e-08
199.467,2.498e-08
199.477,4.325e-08
199.487,7.426e-08
199.497,1.264e-07
199.507,2.132e-07
199.517,3.566e-07
199.527,5.913e-07
199.537,9.72e-07
199.547,1.584e-06
199.557,2.558e-06
199.566,3.91e-06
199.576,6.212e-06
199.586,9.784e-06
199.596,1.528e-05
199.606,2.365e-05
199.616,3.629e-05
199.626,5.52e-05
199.636,8.324e-05
199.646,0.0001244
199.656,0.0001844
199.666,0.0002709
199.676,0.0003946
199.686,0.0005697
199.696,0.0008154
199.706,0.001157
199.716,0.001627
199.726,0.002269
199.736,0.003137
199.746,0.004298
199.755,0.005665
199.765,0.007636
199.775,0.0102
199.785,0.01351
199.795,0.01775
199.805,0.0231
199.815,0.02981
199.825,0.03814
199.835,0.04836
199.845,0.0608
199.855,0.07578
199.865,0.09363
199.875,0.1147
199.885,0.1392
199.895,0.1676
199.905,0.2
199.915,0.2366
199.925,0.2774
199.934,0.3178
199.944,0.3665
199.954,0.4191
199.964,0.4751
199.974,0.5338
199.984,0.5947
199.994,0.6567
200.004,0.7189
200.014,0.7802
200.024,0.8394
200.034,0.8952
200.044,0.9465
200.054,0.992
200.064,1.031
200.074,1.062
200.084,1.084
200.094,1.098
200.104,1.101
200.114,1.096
200.123,1.083
200.133,1.059
200.143,1.028
200.153,0.9887
200.163,0.9428
200.173,0.8914
200.183,0.8356
200.193,0.7767
200.203,0.7159
200.213,0.6545
200.223,0.5935
200.233,0.5341
200.243,0.4769
200.253,0.4229
200.263,0.3726
200.273,0.3264
200.283,0.2846
200.293,0.2474
200.302,0.2178
200.312,0.1892
200.322,0.165
200.332,0.1448
200.342,0.1284
200.352,0.1155
200.362,0.1057
200.372,0.0985
200.382,0.09368
200.392,0.09083
200.402,0.0896
200.412,0.08968
200.422,0.09076
200.432,0.09259
200.442,0.09494
200.452,0.09761
200.462,0.1004
200.472,0.1033
200.482,0.1062
200.491,0.1086
200.501,0.1113
200.511,0.1139
200.521,0.1164
200.531,0.1189
200.541,0.1216
200.551,0.1246
200.561,0.128
200.571,0.132
200.581,0.1368
200.591,0.1426
200.601,0.1494
200.611,0.1576
200.621,0.1671
200.631,0.1781
200.641,0.1906
200.651,0.2047
200.661,0.2203
200.67,0.2355
200.68,0.2535
200.69,0.2725
200.7,0.2923
200.71,0.3124
200.72,0.3326
200.73,0.3523
200.74,0.3713
200.75,0.389
200.76,0.4051
200.77,0.4192
200.78,0.431
200.79,0.4403
200.8,0.4468
200.81,0.4505
200.82,0.4515
200.83,0.4498
200.84,0.4457
200.85,0.4396
200.859,0.4327
200.869,0.4239
200.879,0.4145
200.889,0.4052
200.899,0.3965
200.909,0.3892
200.919,0.3839
200.929,0.3812
200.939,0.3815
200.949,0.3854
200.959,0.3931
200.969,0.4049
200.979,0.4208
200.989,0.4407
200.999,0.4644
201.009,0.4914
201.019,0.5213
201.029,0.5533
201.038,0.5834
201.048,0.6173
201.058,0.651
201.068,0.6835
201.078,0.7138
201.088,0.7411
201.098,0.7646
201.108,0.7835
201.118,0.7973
201.128,0.8057
201.138,0.8082
201.148,0.8049
201.158,0.7959
201.168,0.7816
201.178,0.7622
201.188,0.7385
201.198,0.7112
201.208,0.6809
201.218,0.6486
201.227,0.6185
201.237,0.5847
201.247,0.5512
201.257,0.5189
201.267,0.4883
201.277,0.46
201.287,0.4346
201.297,0.4123
201.307,0.3935
201.317,0.3784
201.327,0.367
201.337,0.3596
201.347,0.356
201.357,0.3563
201.367,0.3606
201.377,0.3689
201.387,0.3813
201.397,0.3978
201.406,0.4163
201.416,0.4412
201.426,0.4707
201.436,0.505
201.446,0.5444
201.456,0.589
201.466,0.639
201.476,0.6944
201.486,0.7554
201.496,0.8217
201.506,0.8931
201.516,0.9692
201.526,1.05
201.536,1.134
201.546,1.22
201.556,1.309
201.566,1.398
201.576,1.487
201.586,1.573
201.595,1.649
201.605,1.728
201.615,1.802
201.625,1.868
201.635,1.927
201.645,1.976
201.655,2.015
201.665,2.043
201.675,2.061
201.685,2.067
201.695,2.062
201.705,2.046
201.715,2.02
201.725,1.985
201.735,1.943
201.745,1.893
201.755,1.838
201.765,1.779
201.775,1.718
201.784,1.662
201.794,1.599
201.804,1.538
201.814,1.479
201.824,1.424
201.834,1.372
201.844,1.324
201.854,1.281
201.864,1.241
201.874,1.206
201.884,1.175
201.894,1.147
201.904,1.122
201.914,1.099
201.924,1.078
201.934,1.059
201.944,1.04
201.954,1.021
201.963,1.005
201.973,0.9872
201.983,0.9693
201.993,0.9515
202.003,0.9339
202.013,0.9166
202.023,0.8998
202.033,0.8836
202.043,0.8683
202.053,0.8539
202.063,0.8404
202.073,0.8278
202.083,0.8162
202.093,0.8053
202.103,0.795
202.113,0.7851
202.123,0.7753
202.133,0.7653
202.143,0.7548
202.152,0.7448
202.162,0.7329
202.172,0.7198
202.182,0.7055
202.192,0.6899
202.202,0.673
202.212,0.6547
202.222,0.6352
202.232,0.6147
202.242,0.5934
202.252,0.5716
202.262,0.5498
202.272,0.5284
202.282,0.5079
202.292,0.4891
202.302,0.4727
202.312,0.4596
202.322,0.4507
202.331,0.4474
202.341,0.4501
202.351,0.4608
202.361,0.4812
202.371,0.513
202.381,0.558
202.391,0.6182
202.401,0.6956
202.411,0.7923
202.421,0.91
202.431,1.051
202.441,1.216
202.451,1.407
202.461,1.624
202.471,1.868
202.481,2.137
202.491,2.432
202.501,2.75
202.511,3.087
202.52,3.404
202.53,3.768
202.54,4.138
202.55,4.509
202.56,4.873
202.57,5.223
202.58,5.553
202.59,5.854
202.6,6.121
202.61,6.347
202.62,6.525
202.63,6.653
202.64,6.727
202.65,6.744
202.66,6.705
202.67,6.61
202.68,6.462
202.69,6.265
202.699,6.048
202.709,5.771
202.719,5.461
202.729,5.124
202.739,4.769
202.749,4.402
202.759,4.031
202.769,3.661
202.779,3.299
202.789,2.95
202.799,2.618
202.809,2.306
202.819,2.017
202.829,1.753
202.839,1.514
202.849,1.301
202.859,1.112
202.869,0.9476
202.879,0.8054
202.888,0.6952
202.898,0.5906
202.908,0.503
202.918,0.4303
202.928,0.3706
202.938,0.3219
202.948,0.2825
202.958,0.2508
202.968,0.2256
202.978,0.2055
202.988,0.1897
202.998,0.1774
203.008,0.1679
203.018,0.1608
203.028,0.1558
203.038,0.1528
203.048,0.1517
203.058,0.1526
203.067,0.1551
203.077,0.16
203.087,0.1672
203.097,0.1769
203.107,0.1892
203.117,0.2043
203.127,0.2222
203.137,0.243
203.147,0.2665
203.157,0.2926
203.167,0.321
203.177,0.3514
203.187,0.3833
203.197,0.4163
203.207,0.4497
203.217,0.4828
203.227,0.5151
203.237,0.5457
203.247,0.574
203.256,0.597
203.266,0.619
203.276,0.637
203.286,0.6504
203.296,0.659
203.306,0.6624
203.316,0.6607
203.326,0.6538
203.336,0.6421
203.346,0.6258
203.356,0.6054
203.366,0.5814
203.376,0.5544
203.386,0.5252
203.396,0.4944
203.406,0.4627
203.416,0.4308
203.426,0.3994
203.435,0.372
203.445,0.3431
203.455,0.3163
203.465,0.292
203.475,0.2704
203.485,0.2519
203.495,0.2365
203.505,0.2245
203.515,0.2157
203.525,0.2102
203.535,0.2077
203.545,0.2083
203.555,0.2115
203.565,0.2172
203.575,0.2251
203.585,0.2347
203.595,0.2457
203.605,0.2577
203.615,0.2703
203.624,0.2817
203.634,0.2941
203.644,0.3059
203.654,0.3166
203.664,0.3259
203.674,0.3334
203.684,0.3388
203.694,0.342
203.704,0.3428
203.714,0.3411
203.724,0.337
203.734,0.3305
203.744,0.3218
203.754,0.3111
203.764,0.2987
203.774,0.2851
203.784,0.2704
203.794,0.2554
203.803,0.2417
203.813,0.227
203.823,0.2133
203.833,0.2009
203.843,0.1905
203.853,0.1826
203.863,0.1775
203.873,0.1758
203.883,0.1778
203.893,0.184
203.903,0.1948
203.913,0.2103
203.923,0.2309
203.933,0.2566
203.943,0.2877
203.953,0.3241
203.963,0.3655
203.973,0.4119
203.983,0.4627
203.992,0.5119
204.002,0.5697
204.012,0.6301
204.022,0.6922
204.032,0.7548
204.042,0.817
204.052,0.8774
204.062,0.9349
204.072,0.9882
204.082,1.036
204.092,1.077
204.102,1.111
204.112,1.137
204.122,1.154
204.132,1.161
204.142,1.159
204.152,1.148
204.162,1.127
204.171,1.101
204.181,1.065
204.191,1.022
204.201,0.9728
204.211,0.9189
204.221,0.8616
204.231,0.8018
204.241,0.741
204.251,0.6803
204.261,0.6207
204.271,0.5631
204.281,0.5083
204.291,0.457
204.301,0.4096
204.311,0.3665
204.321,0.3278
204.331,0.2935
204.341,0.2635
204.351,0.2376
204.36,0.2176
204.37,0.1986
204.38,0.1828
204.39,0.1696
204.4,0.1586
204.41,0.1495
204.42,0.1418
204.43,0.1351
204.44,0.1292
204.45,0.1238
204.46,0.1186
204.47,0.1134
204.48,0.1083
204.49,0.1029
204.5,0.09745
204.51,0.09179
204.52,0.08597
204.53,0.08006
204.539,0.07469
204.549,0.06876
204.559,0.06294
204.569,0.05731
204.579,0.05194
204.589,0.0469
204.599,0.04227
204.609,0.0381
204.619,0.03443
204.629,0.03128
204.639,0.0287
204.649,0.02667
204.659,0.02522
204.669,0.02433
204.679,0.024
204.689,0.02419
204.699,0.02489
204.709,0.02606
204.719,0.02768
204.728,0.02949
204.738,0.03184
204.748,0.03453
204.758,0.0375
204.768,0.04072
204.778,0.04416
204.788,0.04777
204.798,0.05153
204.808,0.05541
204.818,0.05942
204.828,0.06355
204.838,0.06782
204.848,0.07228
204.858,0.077
204.868,0.08205
204.878,0.08756
204.888,0.09366
204.898,0.1005
204.907,0.1075
204.917,0.1163
204.927,0.1265
204.937,0.1382
204.947,0.1518
204.957,0.1673
204.967,0.1851
204.977,0.2051
204.987,0.2277
204.997,0.2527
205.007,0.2801
205.017,0.3098
205.027,0.3417
205.037,0.3753
205.047,0.4104
205.057,0.4464
205.067,0.4827
205.077,0.5187
205.087,0.5537
205.096,0.5838
205.106,0.6149
205.116,0.643
205.126,0.6672
205.136,0.6872
205.146,0.7022
205.156,0.712
205.166,0.7163
205.176,0.7148
205.186,0.7077
205.196,0.6951
205.206,0.6774
205.216,0.6548
205.226,0.628
