Wavelength (nm),Sum(calc),Na I (1.4e-5),Na II (2.9e-4),Na III (1.0e-22),Mg I (4.8e-2),Mg II (4.0e-1),Mg III (2.4e-4),Al I (5.4e-4),Al II (3.7e-3),Al III (1.1e-7),Si I (1.1e-2),Si II (2.0e-2),Si III (9.3e-7),K I (1.5e-5),K II (4.7e-4),K III (1.3e-14),Ca I (1.8e-2),Ca II (4.4e-1),Ca III (6.0e-3),Ti I (6.9e-6),Ti II (1.2e-4),Ti III (2.4e-7),Mn I (2.1e-5),Mn II (1.7e-4),Fe I (4.1e-4),Fe II (2.3e-3),Fe III (3.0e-7),Y I (1.6e-4),Y II (4.3e-3),La I (9.7e-5),La II (4.3e-3),Pr II (4.3e-3),Sm I (6.1e-5),Sm II (4.4e-3),Eu I (1.0e-4),Eu II (4.3e-3),Tb II (4.2e-3),Ho I (2.3e-4),Ho II (4.2e-3),Er I (1.5e-4),Er II (4.3e-3),Tm I (1.4e-4),Tm II (4.4e-3),Yb I (1.4e-4),Yb II (4.4e-3),Lu I (2.3e-4),Lu II (4.3e-3)
198.66,8.477e-27,,,,,,,,,,,,,,,,,,2.328e-32,,,,,,,,8.477e-27,,,,,,,,,,,,,,,,,,,,
198.71,2.392e-25,,,,,,,,,,,,,,,,,,6.711e-31,,,,,,,,2.392e-25,,,,,,,,,,,,,,,,,,,,
198.75,6.138e-20,,,,,,,,,,,,,,,,,,9.028e-30,,,,,,,6.138e-20,3.156e-24,,,,,,,,,,,,,,,,,,,,
198.8,1.679e-18,,,,,,,,,,,,4.010e-34,,,,,,2.079e-28,,,,,,,1.679e-18,7.091e-23,,,,,,,,,,,,,,,,,,,,
198.84,2.167e-17,,,,,,,,,,,,5.939e-33,,,,,,2.336e-27,,,,,,,2.167e-17,7.816e-22,,,,,,,,,,,,,,,,,,,,
198.89,4.735e-16,,,,,,,,,,,,1.542e-31,,,,,,4.295e-26,,,,,6.843e-23,,4.735e-16,1.403e-20,,,,,,,,,,,,,,,,,,,,
198.93,5.104e-15,,,,,,,,,,,,1.909e-30,,,,,,4.032e-25,,,,,9.913e-22,,5.104e-15,1.292e-19,,,,,,,,,,,,,,,,,,,,
198.98,8.908e-14,,,,,,,,,,,,3.959e-29,,,,,,5.920e-24,,,,,2.504e-20,,8.908e-14,1.851e-18,,,,,,,,,,,,,,,,,,,,
199.03,1.372e-12,,,,,,,,,,,,7.250e-28,,,,,,7.671e-23,,,,,5.584e-19,,1.372e-12,2.342e-17,,,,,,,,,,,,,,,,,,,,
199.07,1.118e-11,,,,,,,,,,,,6.784e-27,,,,,,5.442e-22,,,,,6.118e-18,,1.118e-11,1.630e-16,,,,,,,,,,,,,,,,,,,,
199.12,1.376e-10,,,1.326e-63,,,,,,,,1.145e-23,9.923e-26,,,,,,5.632e-21,,,,,1.090e-16,,1.376e-10,1.648e-15,,,,,,,,,,,,,,,,,,,,
199.16,9.366e-10,,,1.948e-62,,,,,,,,1.649e-22,7.758e-25,,,,,,3.338e-20,,,,,9.980e-16,,9.366e-10,9.582e-15,,,,,,,,,,,,,,,,,,,,
199.21,9.204e-9,,,9.055e-61,,,4.686e-45,,,,,4.181e-21,9.065e-24,,,,,,2.758e-19,,,,,1.421e-14,,9.204e-9,7.735e-14,,,,,,,,,,,,,,,,,,,,
199.25,5.235e-8,,,1.220e-59,,,6.473e-44,,,,,5.042e-20,5.922e-23,,,,,,1.366e-18,,,,,1.087e-13,,5.235e-8,3.759e-13,,,,,,,,,,,,,,,,,,,,
199.3,4.109e-7,,,2.852e-58,,,1.541e-42,,,,,1.014e-18,5.527e-22,,,,,,9.012e-18,,,,,1.236e-12,,4.109e-7,2.424e-12,,,,,,,,,,,,,,,,,,,,
199.34,1.952e-6,,,3.282e-57,,,1.780e-41,,,,,1.023e-17,3.017e-21,,,,,,3.727e-17,,,,,7.904e-12,,1.952e-6,9.844e-12,,,,,,,,,,,,,,,,,,,,
199.39,1.224e-5,,,6.299e-56,,,3.387e-40,,,,,1.646e-16,2.249e-20,,,,,,1.965e-16,,,,,7.183e-11,,1.224e-5,5.073e-11,,,,,,,,,,,,,,,,,,,,
199.44,6.771e-5,,,1.082e-54,,,5.694e-39,,,,,2.340e-15,1.480e-19,,,,,,9.140e-16,,,2.332e-27,,5.762e-10,,6.771e-5,2.309e-10,,,,,,,,,,,,,,,,,,,,
199.48,2.432e-4,,,9.714e-54,,,4.977e-38,,,,,1.790e-14,6.110e-19,,,,,,2.858e-15,,,3.340e-26,,2.786e-9,,2.432e-4,7.095e-10,,,,,,,,,,,,,,,,,,,,
199.53,1.075e-3,,,1.363e-52,,,6.688e-37,,,,,2.039e-13,3.212e-18,,,,,,1.062e-14,,,8.327e-25,,1.786e-8,,1.075e-3,2.582e-9,,,,,,,,,,,,,,,,,,,,
199.57,3.226e-3,,,1.038e-51,,,4.888e-36,,,,,1.307e-12,1.108e-17,,,,,,2.775e-14,,,9.981e-24,,7.216e-8,,3.225e-3,6.639e-9,,,,,,,,,,,,,,,,,,,,
199.62,1.139e-2,,,1.185e-50,,,5.252e-35,,,,,1.193e-11,4.652e-17,,,,,,8.242e-14,,,1.991e-22,,3.695e-7,,1.138e-2,1.935e-8,,,,,,,,,,,,,,,,,,,,
199.66,2.854e-2,,,7.635e-50,,,3.209e-34,,,,,6.408e-11,1.340e-16,,,,,,1.801e-13,,,1.997e-21,,1.248e-6,,2.854e-2,4.166e-8,,,,,,,,,,,,,,,,,,,,
199.71,8.047e-2,,,7.051e-49,,,2.757e-33,,,,,4.694e-10,4.496e-16,,,,,,4.278e-13,,,3.188e-20,,5.106e-6,,8.046e-2,9.741e-8,,,,,,,,,,,,,,,,,,,,
199.75,1.685e-1,,,3.832e-48,,,1.408e-32,,,,,2.115e-9,1.082e-15,,,,,,7.822e-13,,,2.675e-19,,1.441e-5,,1.685e-1,1.761e-7,,,,,,,,,,,,,,,,,,,,
199.8,3.795e-1,,,2.854e-47,,,9.673e-32,,,,,1.245e-8,2.901e-15,,,,,,1.490e-12,,,3.418e-18,,4.710e-5,,3.794e-1,3.318e-7,,,,,,,,,,,,,,,,,,,,
199.85,7.542e-1,,,1.884e-46,,,5.867e-31,,,,,6.497e-8,6.862e-15,,,,,,2.513e-12,,,3.859e-17,,1.359e-4,,7.541e-1,5.563e-7,,,,,,,,,,,,,,,,,,,,
199.89,1.194e+0,,,7.815e-46,,,2.269e-30,,,,,2.234e-7,1.249e-14,,,,,,3.504e-12,,,2.454e-16,,2.900e-4,,1.194e+0,7.752e-7,,,,,,,,,,,,,,,,,,,,
199.94,1.896e+0,,,4.145e-45,,,1.100e-29,,,,,9.393e-7,2.360e-14,,,,,,4.778e-12,,,2.218e-15,,6.688e-4,,1.895e+0,1.065e-6,,,,,,,,,,,,,,,,,,,,
199.98,2.508e+0,,,1.442e-44,,,3.557e-29,,,,,2.720e-6,3.590e-14,,,,,,5.644e-12,,,1.180e-14,,1.193e-3,,2.507e+0,1.278e-6,,,,,,,,,,,,,,,,,,,,
200.03,3.181e+0,,,6.137e-44,,,1.379e-28,,,,,9.237e-6,5.419e-14,,,,,,6.303e-12,,,8.534e-14,,2.197e-3,,3.179e+0,1.481e-6,,,,,,,,,,,,,,,,,,,,
200.07,3.518e+0,,,1.789e-43,,,3.728e-28,,,,,2.257e-5,6.886e-14,,,,,,6.394e-12,,,3.801e-13,,3.274e-3,,3.514e+0,1.581e-6,,,,,,,,,,,,,,,,,,,,
200.12,3.567e+0,,,6.099e-43,,,1.156e-27,,,,,6.205e-5,8.303e-14,,,,,,5.975e-12,,,2.200e-12,,4.819e-3,,3.562e+0,1.646e-6,,,,,,,,,,,,,,,,,,,,
200.16,3.300e+0,,,1.489e-42,,,2.612e-27,,,,,1.282e-4,8.816e-14,,,,,,5.312e-12,,,8.198e-12,,6.002e-3,,3.294e+0,1.681e-6,,,,,,,,,,,,,,,,,,,,
200.21,2.685e+0,,,4.063e-42,,,6.473e-27,,,,,2.860e-4,8.492e-14,,,,,,4.265e-12,,,3.798e-11,,7.058e-3,,2.678e+0,1.755e-6,,,,,,,,,,,,,,,,,,,,
200.26,1.943e+0,,,9.800e-42,,,1.417e-26,,,,,5.686e-4,7.220e-14,,,,,,3.175e-12,,,1.555e-10,,7.327e-3,,1.935e+0,1.905e-6,,,,,,,,,,,,,,,,,,,,
200.3,1.388e+0,,,1.813e-41,,,2.424e-26,,7.939e-23,,,9.073e-4,5.797e-14,,,,,,2.377e-12,,,4.393e-10,,6.901e-3,,1.381e+0,2.085e-6,,,,,,,,,,,,,,,,,,,,
200.35,8.466e-1,,,3.499e-41,,,4.241e-26,,2.324e-21,,,1.468e-3,3.937e-14,,,,,,1.544e-12,,,1.439e-9,,5.724e-3,,8.394e-1,2.348e-6,,,,,,,,,,,,,,,,,,,,
