spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95,0.9834,0.9733,0.9576,0.9220,0.9961,0.8126,0.0000,0.8178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03124_95,0.9846,0.9704,0.9532,0.9241,0.9859,0.8184,0.0000,0.7903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03130_95,0.9786,0.5047,0.9652,0.9590,0.9051,0.8732,0.0000,0.7451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95,0.9834,0.9740,0.9593,0.9165,0.9872,0.8382,0.0000,0.8078,0.0000,0.0000,0.2960,0.0000,0.0000,0.0000,0.0000
070036_95,0.9712,0.0000,0.0000,0.7295,0.9484,0.7882,0.0000,0.0001,0.3289,0.0000,0.1534,0.0000,0.0000,0.0000,0.0000
070099_95,0.9748,0.9699,0.7217,0.0000,0.0000,0.0000,0.7834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95,0.9685,0.9532,0.8204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9956
070159_95,0.9609,0.9542,0.9514,0.0000,0.9265,0.8697,0.0000,0.8022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95,0.9789,0.0000,0.0000,0.8659,0.9003,0.7519,0.9556,0.0001,0.3076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95,0.9787,0.9625,0.8324,0.9497,0.9636,0.7652,0.0000,0.7290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95,0.8146,0.0000,0.0000,0.0000,0.9296,0.7946,0.0000,0.7252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95,0.9621,0.0000,0.8280,0.9550,0.9189,0.7149,0.0000,0.6813,0.0000,0.0000,0.2371,0.0000,0.0000,0.0000,0.0000
07107_95,0.9744,0.9900,0.7593,0.0000,0.9123,0.7238,0.0000,0.6775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95,0.9600,0.9680,0.7434,0.0000,0.9127,0.7040,0.0000,0.6775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07121_95,0.9755,0.9772,0.8740,0.9641,0.9643,0.7641,0.0000,0.7276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95,0.8112,0.0000,0.7619,0.4603,0.9080,0.7853,0.0000,0.7042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95,0.9723,0.8758,0.8127,0.0000,0.9902,0.7631,0.0000,0.5494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95,0.9447,0.9670,0.8277,0.6145,0.8481,0.5700,0.0000,0.6612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95,0.9507,0.9817,0.8529,0.7457,0.9227,0.7816,0.0000,0.7064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95,0.9830,0.0000,0.6844,0.0000,0.9055,0.7540,0.0000,0.3009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95,0.9896,0.9867,0.0000,0.0000,0.8714,0.7679,0.0000,0.0025,0.3185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07840_95,0.0000,0.0000,0.0000,0.0000,0.0000,0.5742,0.9254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
