文件名,iteration,brute_force,,,
03116_95.csv,8762.968866645238,7750,,62.96886665,950
03124_95.csv,9250.219571370031,7750,,550.2195714,950
03130_95.csv,9536.781413854495,15000,,836.7814139,6300
03134_95.csv,8980.303367893985,18250,,280.3033679,9550
070036_95.csv,7818.918158473261,9250,,881.0818415,550
070099_95.csv,7918.759814078239,7750,,781.2401859,950
070101_95.csv,8222.747042444393,7500,,477.2529576,1200
070159_95.csv,9331.032776779093,15500,,631.0327768,6800
070171_95.csv,9850.788804925276,9250,,1150.788805,550
07103_95.csv,8798.239396624173,7750,,98.23939662,950
07105_95.csv,8882.648660923001,15250,,182.6486609,6550
07106_95.csv,8364.013019034728,7000,,335.986981,1700
07107_95.csv,9397.466424562524,19000,,697.4664246,10300
07111_95.csv,9418.058080597919,16750,,718.0580806,8050
07121_95.csv,9105.056726553485,7750,,405.0567266,950
07122_95.csv,9807.996649637023,12500,,1107.99665,3800
07125_95.csv,8097.264621954983,7750,,602.735378,950
07141_95.csv,9662.199002249856,7500,,962.1990022,1200
07145_95.csv,9821.84574324522,10750,,1121.845743,2050
07405_95.csv,8911.634763767976,11250,,211.6347638,2550
07407_95.csv,9752.66755071935,7000,,1052.667551,1700
07840_95.csv,10120.784422539913,9500,,1420.784423,800
算法运算时间(秒),616.410968,109.129028,,662.2267985,3152.272727
