wavelength,intensity
198.24,3.546e-30
198.25,1.913e-29
198.27,8.637999999999999e-29
198.28,1.8240000000000002e-28
198.3,8.036000000000001e-28
198.32,4.936e-27
198.33,1.0300000000000001e-26
198.35,4.4260000000000006e-26
198.37,1.872e-25
198.38,3.826e-25
198.4,1.579e-24
198.42,6.415e-24
198.43,1.2849999999999999e-23
198.45,5.095e-23
198.47,1.9869999999999997e-22
198.48,3.9009999999999996e-22
198.5,1.485e-21
198.52,5.566e-21
198.53,1.0710000000000001e-20
198.55,3.9160000000000005e-20
198.57,1.409e-19
198.58,2.658e-19
198.6,9.336e-19
198.61,1.739e-18
198.63,5.964e-18
198.65,2.013e-17
198.66,3.675e-17
198.68,1.21e-16
198.7,3.923e-16
198.71,7.02e-16
198.73,2.221e-15
198.75,6.914e-15
198.76,1.212e-14
198.78,3.684e-14
198.8,1.101e-13
198.81,1.893e-13
198.83,5.524e-13
198.85,1.586e-12
198.86,2.671e-12
198.88,7.485e-12
198.9,2.063e-11
198.91,3.405e-11
198.93,9.161e-11
198.95,2.425e-10
198.96,3.921e-10
198.98,1.013e-09
198.99,1.617e-09
199.01,4.076e-09
199.03,1.01e-08
199.04,1.581e-08
199.06,3.824e-08
199.08,9.098e-08
199.09,1.395e-07
199.11,3.237e-07
199.13,7.391e-07
199.14,1.11e-06
199.16,2.472e-06
199.18,5.414e-06
199.19,7.964e-06
199.21,1.702e-05
199.23,3.576e-05
199.24,5.151e-05
199.26,0.0001056
199.28,0.0002128
199.29,0.0003003
199.31,0.0005903
199.33,0.001141
199.34,0.001577
199.36,0.002973
199.37,0.004057
199.39,0.007458
199.41,0.01348
199.42,0.01802
199.44,0.03177
199.46,0.05507
199.47,0.07206
199.49,0.1218
199.51,0.2025
199.52,0.2594
199.54,0.4204
199.56,0.6699
199.57,0.8403
199.59,1.306
199.61,1.995
199.62,2.45
199.64,3.649
199.66,5.344
199.67,6.426
199.69,9.175
199.71,12.88
199.72,15.16
199.74,20.75
199.75,24.12
199.77,32.19
199.79,42.22
199.8,48.06
199.82,61.46
199.84,77.27
199.85,86.1
199.87,105.5
199.89,127.2
199.9,138.7
199.92,163.0
199.94,188.3
199.95,201.1
199.97,226.4
199.99,250.7
200.0,262.2
200.02,283.0
200.04,300.4
200.05,307.5
200.07,318.3
200.08,321.8
200.1,324.8
200.12,322.5
200.13,319.3
200.15,309.3
200.17,294.9
200.18,286.3
200.2,266.6
200.22,244.7
200.23,233.2
200.25,209.6
200.27,186.2
200.28,174.8
200.3,153.0
200.32,133.1
200.33,124.0
200.35,107.7
200.37,93.92
200.38,88.01
200.4,78.09
200.42,70.59
200.43,67.67
200.45,63.38
200.46,61.93
200.48,60.3
200.5,60.14
200.51,60.55
200.53,62.24
200.55,64.94
200.56,66.64
200.58,70.63
200.6,75.34
200.61,77.92
200.63,83.5
200.65,89.5
200.66,92.63
200.68,99.03
200.7,105.5
200.71,108.8
200.73,115.2
200.75,121.5
200.76,124.6
200.78,130.5
200.8,136.3
200.81,139.1
200.83,144.8
200.84,147.7
200.86,153.7
200.88,160.2
200.89,163.6
200.91,171.0
200.93,179.2
200.94,183.6
200.96,192.9
200.98,202.8
200.99,207.8
201.01,218.0
201.03,227.7
201.04,232.3
201.06,240.7
201.08,247.5
201.09,250.2
201.11,254.0
201.13,255.4
201.14,255.3
201.16,253.2
201.18,249.0
201.19,246.3
201.21,239.8
201.22,236.2
201.24,228.9
201.26,222.0
201.27,219.0
201.29,214.5
201.31,212.5
201.32,212.7
201.34,216.0
201.36,223.6
201.37,229.2
201.39,244.1
201.41,264.1
201.42,276.0
201.44,303.5
201.46,335.5
201.47,353.1
201.49,390.7
201.51,430.8
201.52,451.5
201.54,493.2
201.55,513.9
201.57,554.1
201.59,591.5
201.6,608.7
201.62,639.5
201.64,664.3
201.65,674.2
201.67,688.7
201.69,695.8
201.7,696.5
201.72,692.5
201.74,681.6
201.75,673.8
201.77,654.0
201.79,629.7
201.8,616.1
201.82,587.0
201.84,556.1
201.85,540.3
201.87,508.7
201.89,477.6
201.9,462.5
201.92,433.5
201.93,419.7
201.95,393.5
201.97,369.3
201.98,358.1
202.0,337.1
202.02,318.0
202.03,309.2
202.05,292.7
202.07,277.6
202.08,270.6
202.1,257.3
202.12,245.0
202.13,239.2
202.15,228.2
202.17,218.0
202.18,213.2
202.2,204.3
202.22,196.5
202.23,193.0
202.25,187.2
202.27,183.1
202.28,181.8
202.3,181.0
202.31,181.6
202.33,184.9
202.35,191.3
202.36,195.7
202.38,206.9
202.4,221.3
202.41,229.6
202.43,248.1
202.45,268.6
202.46,279.4
202.48,301.4
202.5,323.2
202.51,333.7
202.53,353.1
202.55,369.5
202.56,376.3
202.58,386.6
202.6,391.8
202.61,392.4
202.63,389.5
202.65,381.1
202.66,374.9
202.68,359.1
202.69,349.5
202.71,327.7
202.73,303.2
202.74,290.2
202.76,263.4
202.78,236.3
202.79,223.0
202.81,197.2
202.83,173.1
202.84,161.9
202.86,141.3
202.88,123.4
202.89,115.5
202.91,101.8
202.93,90.88
202.94,86.43
202.96,79.45
202.98,74.91
202.99,73.51
203.01,72.33
203.02,72.53
203.04,74.39
203.06,78.08
203.07,80.56
203.09,86.69
203.11,94.19
203.12,98.38
203.14,107.5
203.16,117.2
203.17,122.2
203.19,132.1
203.21,141.7
203.22,146.3
203.24,154.6
203.26,161.5
203.27,164.3
203.29,168.6
203.31,171.0
203.32,171.4
203.34,170.9
203.36,168.5
203.37,166.8
203.39,162.4
203.4,159.8
203.42,154.2
203.44,148.4
203.45,145.6
203.47,140.2
203.49,135.7
203.5,133.9
203.52,131.1
203.54,129.6
203.55,129.4
203.57,129.8
203.59,131.3
203.6,132.5
203.62,135.2
203.64,138.4
203.65,140.1
203.67,143.4
203.69,146.5
203.7,147.9
203.72,150.3
203.74,152.3
203.75,153.2
203.77,154.7
203.78,155.4
203.8,157.0
203.82,159.1
203.83,160.4
203.85,163.9
203.87,168.7
203.88,171.7
203.9,179.0
203.92,188.0
203.93,193.2
203.95,204.7
203.97,217.4
203.98,224.0
204.0,237.6
204.02,250.9
204.03,257.2
204.05,268.7
204.07,278.1
204.08,281.8
204.1,286.8
204.12,288.4
204.13,287.9
204.15,283.9
204.16,280.5
204.18,271.2
204.2,258.6
204.21,251.3
204.23,235.1
204.25,217.1
204.26,207.7
204.28,188.5
204.3,169.4
204.31,159.9
204.33,141.8
204.35,124.8
204.36,116.9
204.38,102.1
204.4,89.02
204.41,83.08
204.43,72.38
204.45,63.16
204.46,59.05
204.48,51.76
204.49,48.54
204.51,42.83
204.53,38.01
204.54,35.89
204.56,32.18
204.58,29.12
204.59,27.82
204.61,25.64
204.63,24.02
204.64,23.41
204.66,22.61
204.68,22.35
204.69,22.42
204.71,22.98
204.73,24.1
204.74,24.87
204.76,26.84
204.78,29.42
204.79,30.95
204.81,34.5
204.83,38.76
204.84,41.18
204.86,46.62
204.87,49.66
204.89,56.41
204.91,64.06
204.92,68.22
204.94,77.21
204.96,87.01
204.97,92.16
204.99,102.9
205.01,113.9
205.02,119.4
205.04,130.4
205.06,140.7
205.07,145.6
205.09,154.4
205.11,161.7
205.12,164.7
205.14,169.2
205.16,171.5
205.17,171.8
205.19,170.7
205.21,167.6
205.22,165.3
205.24,159.6
205.25,156.2
205.27,148.9
205.29,141.1
205.3,137.2
205.32,130.0
205.34,123.9
205.35,121.5
205.37,118.4
205.39,118.2
205.4,119.4
205.42,124.7
205.44,134.6
205.45,141.6
205.47,160.0
205.49,185.3
205.5,200.8
205.52,238.3
205.54,285.3
205.55,312.7
205.57,376.0
205.59,451.4
205.6,493.8
205.62,588.2
205.63,640.1
205.65,753.0
205.67,876.9
205.68,942.4
205.7,1079.0
205.72,1219.0
205.73,1290.0
205.75,1429.0
205.77,1561.0
205.78,1623.0
205.8,1735.0
205.82,1828.0
205.83,1866.0
205.85,1922.0
205.87,1950.0
205.88,1954.0
205.9,1938.0
205.92,1895.0
205.93,1863.0
205.95,1782.0
205.96,1733.0
205.98,1624.0
206.0,1502.0
206.01,1438.0
206.03,1307.0
206.05,1177.0
206.06,1113.0
206.08,991.8
206.1,880.4
206.11,829.2
206.13,736.8
206.15,657.9
206.16,623.6
206.18,564.5
206.2,517.2
206.21,497.4
206.23,464.5
206.25,438.8
206.26,428.0
206.28,409.5
206.3,393.5
206.31,386.1
206.33,371.6
206.34,364.2
206.36,349.1
206.38,333.0
206.39,324.6
206.41,306.9
206.43,288.4
206.44,278.9
206.46,259.9
206.48,241.0
206.49,231.8
206.51,214.3
206.53,198.0
206.54,190.5
206.56,177.1
206.58,165.7
206.59,160.9
206.61,153.1
206.63,147.7
206.64,145.9
206.66,144.4
206.68,145.4
206.69,147.0
206.71,152.5
206.72,156.4
206.74,167.3
206.76,183.0
206.77,193.1
206.79,218.9
206.81,254.4
206.82,276.8
206.84,333.2
206.86,409.3
206.87,456.4
206.89,573.1
206.91,725.6
206.92,817.8
206.94,1039.0
206.96,1318.0
206.97,1481.0
206.99,1861.0
207.01,2317.0
207.02,2576.0
207.04,3155.0
207.06,3818.0
207.07,4179.0
207.09,4959.0
207.1,5374.0
207.12,6245.0
207.14,7155.0
207.15,7617.0
207.17,8540.0
207.19,9437.0
207.2,9866.0
207.22,10660.0
207.24,11360.0
207.25,11660.0
207.27,12150.0
207.29,12470.0
207.3,12570.0
207.32,12620.0
207.34,12490.0
207.35,12350.0
