文件名,iteration,,brute_force,
03116_95.csv,15637.091714737242,1103.091715,17500,2966
03124_95.csv,16419.11994517484,1885.119945,17250,2716
03130_95.csv,15053.282223258513,519.2822233,14250,284
03134_95.csv,15612.165703134688,1078.165703,14250,284
070036_95.csv,15926.148176572955,1392.148177,7000,7534
070099_95.csv,14348.94793136016,185.0520686,11750,2784
070101_95.csv,14379.119660412567,154.8803396,10000,4534
070159_95.csv,14632.34388997196,98.34388997,14250,284
070171_95.csv,17166.382524641438,2632.382525,15500,966
07103_95.csv,15649.620460530641,1115.620461,14500,34
07105_95.csv,15571.974196205512,1037.974196,14500,34
07106_95.csv,15703.78635832681,1169.786358,14500,34
07107_95.csv,15533.904476715394,999.9044767,16500,1966
07111_95.csv,15673.643772473766,1139.643772,16750,2216
07121_95.csv,15587.894018674864,1053.894019,17500,2966
07122_95.csv,15482.480687636358,948.4806876,16000,1466
07125_95.csv,15111.493557926227,577.4935579,8750,5784
07141_95.csv,15356.112847528884,822.1128475,7750,6784
07145_95.csv,15306.580973064876,772.5809731,17250,2716
07405_95.csv,13206.06887446782,1327.931126,16000,1466
07407_95.csv,13595.286419363383,938.7135806,17750,3216
07840_95.csv,14001.569755870089,532.4302441,16000,1466
算法运算时间(秒),632.955537,21485.03289,113.248638,52500
