spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95,0.9855,0,0.034,0,0,0,0.2886,0,0,0,0,0,0,0.0001,0
03124_95,0.985,0,0.0433,0,0,0,0.3244,0,0,0,0,0,0,0,0
03130_95,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0
03134_95,0.9844,0,0.0338,0,0,0,0.276,0,0,0,0,0,0,0,0
070036_95,0.9647,0,0,0.6693,0,0,0,0,0,0,0,0,0,0.7888,0
070099_95,0.9744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070101_95,0.9742,0,0,0,0,0,0.5096,0,0,0,0,0.9998,0,0,0
070159_95,0,0,0.9665,0,0,0,0,0,0,0,0,0,0,0,0
070171_95,0.9591,0,0,0.9779,0,0,0,0,0,0,0,0,0,0,0
07103_95,0,0,0.1386,0,0,0,0,0,0,0,0,0,0,0,0
07105_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07106_95,0,0,0.6641,0,0,0,0,0,0,0,0,0,0,0.0877,0
07107_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07111_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07121_95,0,0,0.1035,0,0,0,0,0,0,0,0,0,0,0,0
07122_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07125_95,0.9699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07141_95,0,0,0.2229,0,0,0,0,0,0,0,0,0,0,0,0
07145_95,0,0,0.0518,0,0,0,0,0,0,0,0,0,0,0,0
07405_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07407_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9569,0
07840_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8611
