wavelength,intensity
198.92,1.336e-16
198.93,2.721e-16
198.94,5.51e-16
198.95,1.109e-15
198.96,2.219e-15
198.97,4.412e-15
198.98,8.721e-15
198.99,1.713e-14
199.0,3.346e-14
199.01,6.496e-14
199.019,1.174e-13
199.029,2.253e-13
199.039,4.297e-13
199.049,8.147e-13
199.059,1.535e-12
199.069,2.876e-12
199.079,5.356e-12
199.089,9.912e-12
199.099,1.823e-11
199.109,3.334e-11
199.119,6.06e-11
199.129,1.095e-10
199.139,1.966e-10
199.149,3.509e-10
199.159,6.226e-10
199.169,1.098e-09
199.179,1.925e-09
199.189,3.353e-09
199.198,5.499e-09
199.208,9.471e-09
199.218,1.622e-08
199.228,2.76e-08
199.238,4.668e-08
199.248,7.848e-08
199.258,1.312e-07
199.268,2.179e-07
199.278,3.598e-07
199.288,5.904e-07
199.298,9.632e-07
199.308,1.562e-06
199.318,2.517e-06
199.328,4.033e-06
199.338,6.422e-06
199.348,1.016e-05
199.358,1.599e-05
199.368,2.501e-05
199.378,3.887e-05
199.387,5.752e-05
199.397,8.838e-05
199.407,0.000135
199.417,0.0002049
199.427,0.0003093
199.437,0.0004639
199.447,0.0006916
199.457,0.001025
199.467,0.00151
199.477,0.002211
199.487,0.003217
199.497,0.004654
199.507,0.006691
199.517,0.009563
199.527,0.01358
199.537,0.01918
199.547,0.02692
199.557,0.03756
199.566,0.05042
199.576,0.06953
199.586,0.09532
199.596,0.1299
199.606,0.1759
199.616,0.2368
199.626,0.3169
199.636,0.4214
199.646,0.5572
199.656,0.7321
199.666,0.9563
199.676,1.242
199.686,1.602
199.696,2.055
199.706,2.62
199.716,3.32
199.726,4.182
199.736,5.237
199.746,6.517
199.755,7.894
199.765,9.712
199.775,11.88
199.785,14.44
199.795,17.44
199.805,20.95
199.815,25.0
199.825,29.67
199.835,34.99
199.845,41.01
199.855,47.79
199.865,55.35
199.875,63.71
199.885,72.9
199.895,82.92
199.905,93.74
199.915,105.3
199.925,117.6
199.934,129.3
199.944,142.8
199.954,156.7
199.964,170.9
199.974,185.3
199.984,199.8
199.994,214.0
200.004,227.9
200.014,241.2
200.024,253.8
200.034,265.4
200.044,275.9
200.054,285.0
200.064,292.7
200.074,298.8
200.084,303.2
200.094,305.8
200.104,306.6
200.114,305.5
200.123,303.0
200.133,298.5
200.143,292.4
200.153,284.6
200.163,275.4
200.173,265.0
200.183,253.4
200.193,241.0
200.203,227.8
200.213,214.0
200.223,200.0
200.233,185.8
200.243,171.7
200.253,157.8
200.263,144.3
200.273,131.2
200.283,118.7
200.293,107.0
200.302,97.0
200.312,86.7
200.322,77.21
200.332,68.56
200.342,60.74
200.352,53.74
200.362,47.52
200.372,42.04
200.382,37.27
200.392,33.16
200.402,29.65
200.412,26.7
200.422,24.26
200.432,22.28
200.442,20.72
200.452,19.55
200.462,18.73
200.472,18.25
200.482,18.07
200.491,18.17
200.501,18.56
200.511,19.24
200.521,20.21
200.531,21.47
200.541,23.04
200.551,24.92
200.561,27.12
200.571,29.65
200.581,32.51
200.591,35.71
200.601,39.25
200.611,43.11
200.621,47.3
200.631,51.78
200.641,56.54
200.651,61.54
200.661,66.74
200.67,71.56
200.68,77.02
200.69,82.54
200.7,88.05
200.71,93.5
200.72,98.82
200.73,104.0
200.74,108.8
200.75,113.4
200.76,117.7
200.77,121.5
200.78,124.9
200.79,127.9
200.8,130.5
200.81,132.7
200.82,134.4
200.83,135.8
200.84,136.9
200.85,137.8
200.859,138.4
200.869,139.0
200.879,139.6
200.889,140.2
200.899,141.1
200.909,142.2
200.919,143.6
200.929,145.5
200.939,147.8
200.949,150.6
200.959,154.0
200.969,157.9
200.979,162.3
200.989,167.2
200.999,172.6
201.009,178.3
201.019,184.3
201.029,190.4
201.038,196.0
201.048,202.2
201.058,208.2
201.068,213.8
201.078,219.0
201.088,223.6
201.098,227.5
201.108,230.6
201.118,232.9
201.128,234.2
201.138,234.6
201.148,233.9
201.158,232.3
201.168,229.7
201.178,226.3
201.188,221.9
201.198,216.9
201.208,211.2
201.218,204.9
201.227,198.9
201.237,192.0
201.247,184.8
201.257,177.6
201.267,170.4
201.277,163.4
201.287,156.6
201.297,150.2
201.307,144.2
201.317,138.7
201.327,133.8
201.337,129.4
201.347,125.7
201.357,122.5
201.367,120.1
201.377,118.3
201.387,117.1
201.397,116.6
201.406,116.6
201.416,117.2
201.426,118.4
201.436,120.1
201.446,122.3
201.456,125.0
201.466,128.1
201.476,131.5
201.486,135.3
201.496,139.4
201.506,143.6
201.516,148.0
201.526,152.6
201.536,157.1
201.546,161.6
201.556,166.1
201.566,170.5
201.576,174.6
201.586,178.6
201.595,182.0
201.605,185.5
201.615,188.7
201.625,191.7
201.635,194.3
201.645,196.8
201.655,199.0
201.665,201.0
201.675,202.8
201.685,204.6
201.695,206.3
201.705,208.1
201.715,209.9
201.725,211.8
201.735,214.0
201.745,216.3
201.755,218.9
201.765,221.8
201.775,225.0
201.784,228.1
201.794,231.8
201.804,235.9
201.814,240.1
201.824,244.5
201.834,249.1
201.844,253.7
201.854,258.3
201.864,262.8
201.874,267.2
201.884,271.3
201.894,275.1
201.904,278.5
201.914,281.5
201.924,283.9
201.934,285.8
201.944,287.1
201.954,287.8
201.963,287.9
201.973,287.4
201.983,286.3
201.993,284.6
202.003,282.2
202.013,279.3
202.023,275.9
202.033,272.0
202.043,267.5
202.053,262.7
202.063,257.4
202.073,251.7
202.083,245.6
202.093,239.2
202.103,232.5
202.113,225.5
202.123,218.2
202.133,210.7
202.143,202.9
202.152,195.7
202.162,187.6
202.172,179.3
202.182,170.8
202.192,162.3
202.202,153.8
202.212,145.2
202.222,136.7
202.232,128.4
202.242,120.1
202.252,112.1
202.262,104.3
202.272,96.86
202.282,89.73
202.292,82.98
202.302,76.65
202.312,70.77
202.322,65.35
202.331,60.88
202.341,56.4
202.351,52.4
202.361,48.91
202.371,45.9
202.381,43.38
202.391,41.3
202.401,39.67
202.411,38.45
202.421,37.61
202.431,37.12
202.441,36.95
202.451,37.07
202.461,37.43
202.471,37.99
202.481,38.74
202.491,39.61
202.501,40.59
202.511,41.62
202.52,42.58
202.53,43.64
202.54,44.66
202.55,45.62
202.56,46.5
202.57,47.26
202.58,47.88
202.59,48.37
202.6,48.69
202.61,48.86
202.62,48.85
202.63,48.69
202.64,48.37
202.65,47.9
202.66,47.3
202.67,46.59
202.68,45.78
202.69,44.9
202.699,44.07
202.709,43.12
202.719,42.17
202.729,41.25
202.739,40.37
202.749,39.56
202.759,38.84
202.769,38.21
202.779,37.7
202.789,37.31
202.799,37.04
202.809,36.91
202.819,36.9
202.829,37.02
202.839,37.25
202.849,37.58
202.859,38.01
202.869,38.51
202.879,39.09
202.888,39.65
202.898,40.32
202.908,41.02
202.918,41.75
202.928,42.5
202.938,43.27
202.948,44.07
202.958,44.91
202.968,45.79
202.978,46.75
202.988,47.8
202.998,48.97
203.008,50.3
203.018,51.82
203.028,53.56
203.038,55.58
203.048,57.91
203.058,60.58
203.067,63.31
203.077,66.73
203.087,70.59
203.097,74.9
203.107,79.66
203.117,84.87
203.127,90.52
203.137,96.57
203.147,103.0
203.157,109.7
203.167,116.7
203.177,123.9
203.187,131.1
203.197,138.3
203.207,145.4
203.217,152.3
203.227,158.8
203.237,164.9
203.247,170.5
203.256,174.9
203.266,179.2
203.276,182.6
203.286,185.2
203.296,186.9
203.306,187.6
203.316,187.5
203.326,186.3
203.336,184.3
203.346,181.4
203.356,177.8
203.366,173.4
203.376,168.4
203.386,162.9
203.396,157.0
203.406,150.8
203.416,144.4
203.426,138.0
203.435,132.2
203.445,126.0
203.455,120.0
203.465,114.4
203.475,109.2
203.485,104.5
203.495,100.3
203.505,96.75
203.515,93.78
203.525,91.41
203.535,89.64
203.545,88.45
203.555,87.81
203.565,87.68
203.575,87.99
203.585,88.69
203.595,89.71
203.605,90.97
203.615,92.39
203.624,93.75
203.634,95.28
203.644,96.75
203.654,98.1
203.664,99.27
203.674,100.2
203.684,100.9
203.694,101.2
203.704,101.2
203.714,100.9
203.724,100.2
203.734,99.24
203.744,97.99
203.754,96.51
203.764,94.85
203.774,93.09
203.784,91.3
203.794,89.58
203.803,88.17
203.813,86.84
203.823,85.86
203.833,85.34
203.843,85.38
203.853,86.08
203.863,87.53
203.873,89.82
203.883,93.02
203.893,97.19
203.903,102.4
203.913,108.6
203.923,115.9
203.933,124.3
203.943,133.6
203.953,144.0
203.963,155.2
203.973,167.1
203.983,179.8
203.992,191.6
204.002,205.1
204.012,218.7
204.022,232.4
204.032,245.8
204.042,258.9
204.052,271.3
204.062,282.9
204.072,293.5
204.082,302.9
204.092,310.9
204.102,317.4
204.112,322.3
204.122,325.5
204.132,326.9
204.142,326.5
204.152,324.4
204.162,320.5
204.171,315.5
204.181,308.5
204.191,300.1
204.201,290.3
204.211,279.5
204.221,267.6
204.231,255.0
204.241,241.9
204.251,228.3
204.261,214.6
204.271,200.8
204.281,187.2
204.291,173.9
204.301,161.0
204.311,148.6
204.321,136.9
204.331,125.8
204.341,115.5
204.351,105.9
204.36,97.91
204.37,89.77
204.38,82.37
204.39,75.68
204.4,69.64
204.41,64.21
204.42,59.33
204.43,54.96
204.44,51.03
204.45,47.48
204.46,44.27
204.47,41.35
204.48,38.68
204.49,36.21
204.5,33.91
204.51,31.77
204.52,29.75
204.53,27.85
204.539,26.22
204.549,24.51
204.559,22.89
204.569,21.36
204.579,19.94
204.589,18.61
204.599,17.39
204.609,16.29
204.619,15.3
204.629,14.43
204.639,13.7
204.649,13.09
204.659,12.62
204.669,12.29
204.679,12.09
204.689,12.03
204.699,12.1
204.709,12.31
204.719,12.65
204.728,13.06
204.738,13.63
204.748,14.33
204.758,15.14
204.768,16.08
204.778,17.13
204.788,18.31
204.798,19.62
204.808,21.06
204.818,22.65
204.828,24.4
204.838,26.33
204.848,28.45
204.858,30.79
204.868,33.37
204.878,36.21
204.888,39.35
204.898,42.82
204.907,46.23
204.917,50.37
204.927,54.91
204.937,59.86
204.947,65.24
204.957,71.04
204.967,77.27
204.977,83.92
204.987,90.96
204.997,98.35
205.007,106.1
205.017,114.0
205.027,122.2
205.037,130.4
205.047,138.7
205.057,146.9
205.067,154.9
205.077,162.6
205.087,169.8
205.096,176.0
205.106,182.2
205.116,187.6
205.126,192.3
205.136,196.1
205.146,198.9
205.156,200.7
205.166,201.5
205.176,201.3
205.186,200.0
205.196,197.7
205.206,194.5
205.216,190.4
205.226,185.4
205.236,179.9
205.246,173.7
205.256,167.1
205.266,160.2
205.275,153.9
205.285,146.9
205.295,140.0
205.305,133.3
205.315,127.1
205.325,121.4
205.335,116.4
205.345,112.1
205.355,108.7
205.365,106.3
205.375,104.8
205.385,104.3
205.395,104.9
205.405,106.6
205.415,109.3
205.425,113.0
205.435,117.6
205.445,123.1
205.455,129.4
205.464,135.7
205.474,143.2
205.484,151.1
205.494,159.4
205.504,167.9
205.514,176.4
205.524,184.7
205.534,192.9
205.544,200.6
205.554,207.8
205.564,214.4
205.574,220.3
205.584,225.3
205.594,229.5
205.604,232.6
205.614,234.9
205.624,236.1
205.634,236.3
205.643,235.7
205.653,234.2
205.663,231.8
205.673,228.6
205.683,224.7
205.693,220.2
205.703,215.1
205.713,209.6
205.723,203.8
205.733,197.6
205.743,191.4
205.753,185.0
205.763,178.5
205.773,172.1
205.783,165.8
205.793,159.6
205.803,153.5
205.813,147.6
205.823,141.9
205.832,136.9
205.842,131.5
205.852,126.4
205.862,121.4
205.872,116.6
205.882,112.0
205.892,107.6
205.902,103.4
205.912,99.38
205.922,95.6
205.932,92.07
205.942,88.81
205.952,85.84
205.962,83.2
205.972,80.9
205.982,78.99
205.992,77.49
206.002,76.44
206.011,75.88
206.021,75.72
206.031,76.06
206.041,76.9
206.051,78.24
206.061,80.08
206.071,82.4
206.081,85.18
206.091,88.39
206.101,91.98
206.111,95.92
206.121,100.2
206.131,104.6
206.141,109.3
206.151,114.1
206.161,119.0
206.171,123.9
206.181,128.8
206.191,133.6
206.2,137.7
206.21,142.3
206.22,146.6
206.23,150.7
206.24,154.5
206.25,158.1
206.26,161.4
206.27,164.5
206.28,167.3
206.29,169.8
206.3,172.1
206.31,174.2
206.32,176.0
206.33,177.6
206.34,179.0
206.35,180.2
206.36,181.2
206.37,182.0
206.379,182.6
206.389,183.2
206.399,183.6
206.409,183.9
206.419,184.0
206.429,184.0
206.439,183.9
206.449,183.6
206.459,183.3
206.469,182.8
206.479,182.3
206.489,181.6
206.499,180.9
206.509,180.0
206.519,179.1
206.529,178.2
206.539,177.1
206.549,176.0
206.559,174.8
206.568,173.7
206.578,172.4
206.588,171.1
206.598,169.7
206.608,168.3
206.618,166.8
206.628,165.3
206.638,163.7
206.648,162.1
206.658,160.5
206.668,158.8
206.678,157.2
206.688,155.5
206.698,153.8
206.708,152.0
206.718,150.3
206.728,148.5
206.738,146.8
206.748,145.0
206.757,143.4
206.767,141.5
206.777,139.7
206.787,137.7
206.797,135.8
206.807,133.7
206.817,131.6
206.827,129.4
206.837,127.0
206.847,124.6
206.857,122.0
206.867,119.3
206.877,116.6
206.887,113.7
206.897,110.7
206.907,107.6
206.917,104.4
206.927,101.2
206.936,98.23
206.946,94.95
206.956,91.67
206.966,88.42
206.976,85.22
206.986,82.09
206.996,79.05
207.006,76.11
207.016,73.3
207.026,70.63
207.036,68.1
207.046,65.73
207.056,63.52
207.066,61.47
207.076,59.59
207.086,57.87
207.096,56.31
207.106,54.91
207.116,53.67
207.125,52.67
207.135,51.69
207.145,50.85
207.155,50.13
207.165,49.54
207.175,49.06
207.185,48.69
207.195,48.41
207.205,48.23
207.215,48.14
207.225,48.13
207.235,48.19
207.245,48.32
207.255,48.51
207.265,48.75
207.275,49.03
207.285,49.35
207.295,49.7
207.304,50.04
207.314,50.42
207.324,50.8
207.334,51.19
207.344,51.56
207.354,51.92
207.364,52.25
207.374,52.55
207.384,52.81
207.394,53.03
207.404,53.2
207.414,53.32
207.424,53.38
207.434,53.38
207.444,53.32
207.454,53.19
207.464,52.99
207.474,52.73
207.484,52.39
207.493,52.03
207.503,51.57
207.513,51.04
207.523,50.45
207.533,49.8
207.543,49.09
207.553,48.32
207.563,47.51
207.573,46.66
207.583,45.77
207.593,44.85
207.603,43.91
207.613,42.96
207.623,42.01
207.633,41.08
207.643,40.16
207.653,39.28
207.663,38.44
207.672,37.73
207.682,37.02
207.692,36.38
207.702,35.83
207.712,35.38
207.722,35.05
207.732,34.85
207.742,34.77
207.752,34.84
207.762,35.06
207.772,35.43
207.782,35.97
207.792,36.67
207.802,37.54
207.812,38.58
207.822,39.8
207.832,41.2
207.842,42.76
207.852,44.5
207.861,46.2
207.871,48.25
207.881,50.45
207.891,52.79
207.901,55.26
207.911,57.84
207.921,60.51
207.931,63.26
207.941,66.06
207.951,68.87
207.961,71.68
207.971,74.45
207.981,77.14
207.991,79.72
208.001,82.15
208.011,84.39
208.021,86.41
208.031,88.18
208.04,89.52
208.05,90.71
208.06,91.55
208.07,92.04
208.08,92.15
208.09,91.87
208.1,91.19
208.11,90.13
208.12,88.7
208.13,86.89
208.14,84.75
208.15,82.29
208.16,79.55
208.17,76.56
208.18,73.37
208.19,70.0
208.2,66.51
208.21,62.93
208.22,59.3
208.229,56.04
208.239,52.44
208.249,48.91
208.259,45.47
208.269,42.16
208.279,39.0
208.289,36.01
208.299,33.21
208.309,30.6
208.319,28.21
208.329,26.03
208.339,24.06
208.349,22.32
208.359,20.79
208.369,19.47
208.379,18.35
208.389,17.44
208.399,16.73
208.408,16.25
208.418,15.9
208.428,15.74
208.438,15.76
208.448,15.97
208.458,16.37
208.468,16.96
208.478,17.76
208.488,18.77
208.498,20.0
208.508,21.47
208.518,23.2
208.528,25.2
208.538,27.49
208.548,30.09
208.558,33.01
208.568,36.27
208.578,39.87
208.588,43.84
208.597,47.72
208.607,52.38
208.617,57.39
208.627,62.73
208.637,68.4
208.647,74.34
208.657,80.54
208.667,86.92
208.677,93.45
208.687,100.1
208.697,106.7
208.707,113.2
208.717,119.6
208.727,125.7
208.737,131.5
208.747,136.9
208.757,141.8
208.767,146.1
208.776,149.4
208.786,152.5
208.796,154.8
208.806,156.3
208.816,156.9
208.826,156.7
208.836,155.7
208.846,153.9
208.856,151.2
208.866,147.8
208.876,143.7
208.886,139.0
208.896,133.7
208.906,127.8
208.916,121.6
208.926,115.1
208.936,108.3
208.946,101.4
208.956,94.39
208.965,88.11
208.975,81.22
208.985,74.49
208.995,67.96
209.005,61.71
209.015,55.76
209.025,50.16
209.035,44.93
209.045,40.09
209.055,35.66
209.065,31.62
209.075,27.99
209.085,24.76
209.095,21.91
209.105,19.43
209.115,17.3
209.125,15.5
209.135,14.02
209.144,12.94
209.154,11.99
209.164,11.3
209.174,10.85
209.184,10.61
209.194,10.58
209.204,10.73
209.214,11.06
209.224,11.55
209.234,12.19
209.244,12.97
209.254,13.88
209.264,14.92
209.274,16.06
209.284,17.32
209.294,18.66
209.304,20.1
209.314,21.61
209.324,23.19
209.333,24.66
209.343,26.33
209.353,28.04
209.363,29.76
209.373,31.49
209.383,33.21
209.393,34.9
209.403,36.54
209.413,38.14
209.423,39.66
209.433,41.1
209.443,42.44
209.453,43.67
209.463,44.78
209.473,45.77
209.483,46.63
209.493,47.36
209.503,47.95
209.512,48.37
209.522,48.71
209.532,48.93
209.542,49.04
209.552,49.04
209.562,48.95
209.572,48.78
209.582,48.55
209.592,48.27
209.602,47.95
209.612,47.61
209.622,47.26
209.632,46.92
209.642,46.59
209.652,46.27
209.662,45.99
209.672,45.73
209.682,45.51
209.692,45.31
209.701,45.15
209.711,44.99
209.721,44.84
209.731,44.68
209.741,44.51
209.751,44.31
209.761,44.08
209.771,43.79
209.781,43.43
209.791,43.01
209.801,42.5
209.811,41.89
209.821,41.19
209.831,40.39
209.841,39.49
209.851,38.49
209.861,37.39
209.871,36.2
209.88,35.07
209.89,33.73
209.9,32.34
209.91,30.9
209.92,29.42
209.93,27.92
209.94,26.41
209.95,24.9
209.96,23.41
209.97,21.94
209.98,20.51
209.99,19.14
210.0,17.81
210.01,16.55
210.02,15.36
210.03,14.24
210.04,13.2
210.05,12.23
210.06,11.34
210.069,10.62
210.079,9.881
210.089,9.226
210.099,8.646
210.109,8.142
210.119,7.71
210.129,7.348
210.139,7.054
210.149,6.823
210.159,6.653
210.169,6.541
210.179,6.483
210.189,6.475
210.199,6.514
210.209,6.595
210.219,6.715
210.229,6.868
210.239,7.05
210.248,7.234
210.258,7.457
210.268,7.694
210.278,7.94
210.288,8.189
210.298,8.436
210.308,8.676
210.318,8.903
210.328,9.114
210.338,9.303
210.348,9.468
210.358,9.605
210.368,9.712
210.378,9.787
210.388,9.83
210.398,9.842
210.408,9.823
210.418,9.776
210.428,9.705
210.437,9.624
210.447,9.519
210.457,9.406
210.467,9.291
210.477,9.181
210.487,9.087
210.497,9.016
210.507,8.978
210.517,8.984
210.527,9.041
210.537,9.162
210.547,9.355
210.557,9.629
210.567,9.993
210.577,10.46
210.587,11.02
210.597,11.7
210.607,12.5
210.616,13.32
210.626,14.34
210.636,15.49
210.646,16.77
210.656,18.16
210.666,19.68
210.676,21.31
210.686,23.04
210.696,24.88
210.706,26.81
210.716,28.83
210.726,30.92
210.736,33.07
210.746,35.27
210.756,37.52
210.766,39.8
210.776,42.1
210.786,44.41
210.796,46.73
210.805,48.81
210.815,51.1
210.825,53.39
210.835,55.64
210.845,57.88
210.855,60.08
210.865,62.25
210.875,64.39
210.885,66.49
210.895,68.55
210.905,70.58
210.915,72.57
210.925,74.53
210.935,76.43
210.945,78.29
210.955,80.1
210.965,81.85
210.975,83.54
210.984,84.99
210.994,86.52
211.004,87.95
211.014,89.27
211.024,90.46
211.034,91.52
