Wavelength (nm),Sum(calc),C I (1.2e-2),C II (6.8e-4),C III (2.7e-12),Na I (2.5e-5),Na II (5.2e-4),Na III (1.9e-22),Mg I (6.9e-5),Mg II (5.7e-4),Mg III (3.4e-7),Al I (8.5e-2),Al II (5.7e-1),Al III (1.7e-5),Si I (2.1e-2),Si II (3.9e-2),Si III (1.8e-6),K I (1.1e-5),K II (3.6e-4),K III (1.0e-14),Ca I (4.3e-5),Ca II (1.1e-3),Ca III (1.5e-5),Ti I (2.0e-3),Ti II (3.4e-2),Ti III (6.9e-5),Cr I (7.8e-5),Cr II (8.0e-4),Mn I (3.1e-5),Mn II (2.5e-4),Fe I (2.7e-2),Fe II (1.5e-1),Fe III (2.0e-5),Zn I (8.0e-6),Zn II (1.3e-5),Y I (1.2e-4),Y II (3.4e-3),La I (7.6e-5),La II (3.4e-3),Ce I (6.3e-5),Ce II (3.4e-3),Pr II (3.3e-3),Nd I (4.3e-5),Nd II (3.5e-3),Sm I (4.8e-5),Sm II (3.4e-3),Eu I (7.9e-5),Eu II (3.4e-3),Tb II (3.3e-3),Dy I (8.9e-5),Dy II (3.5e-3),Ho I (1.8e-4),Ho II (3.3e-3),Er I (1.2e-4),Er II (3.4e-3),Tm I (1.1e-4),Tm II (3.4e-3),Yb I (1.1e-4),Yb II (3.4e-3),Lu I (1.8e-4),Lu II (3.4e-3)
198.51,5.074e-29,,2.009e-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.074e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.54,1.033e-21,,1.716e-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.033e-21,4.211e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.56,4.292e-21,,6.997e-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.292e-21,1.685e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.59,3.509e-20,,5.560e-32,,,,,,,,,,,,,,,,,,,3.840e-40,,,,,,,,,3.509e-20,1.302e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.61,1.390e-19,,2.162e-31,,,,,,,,,,,,,7.591e-37,,,,,,1.595e-39,,,,,,,,,1.390e-19,4.973e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.63,5.404e-19,,8.247e-31,,,,,,,,,,,,,3.152e-36,,,,,,6.499e-39,,,,,,,,,5.404e-19,1.862e-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.66,3.996e-18,,5.927e-30,,,,,,,,,,,,,2.573e-35,,,,,,5.157e-38,,,,,,,,,3.996e-18,1.301e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.68,1.481e-17,,2.155e-29,,,,,,,,,,,,,1.018e-34,,,,,,2.003e-37,,,,,,,2.492e-26,,1.481e-17,4.644e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.71,1.019e-16,,1.442e-28,,,,,,,,,,,,,7.739e-34,,,,,,1.480e-36,,,,,,,2.120e-25,,1.019e-16,3.021e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.73,3.600e-16,,4.999e-28,,,,,,,,,,,,,2.920e-33,,,,,,5.480e-36,,,,,,,8.625e-25,,3.600e-16,1.028e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.76,2.306e-15,,3.113e-27,,,,,,,,,,,,,2.066e-32,,,,,,3.768e-35,,,,,,,6.830e-24,,2.306e-15,6.225e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.78,7.768e-15,,1.029e-26,,,,,,,,,,,,,7.432e-32,,,,,,1.330e-34,,,,,,,2.650e-23,,7.768e-15,2.019e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.81,4.632e-14,,5.963e-26,,,,,,,,,,,,,4.893e-31,,,,,,8.513e-34,,,,,,,1.953e-22,,4.632e-14,1.138e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.83,1.487e-13,,1.878e-25,,,,,,,,,,,,,1.678e-30,,,,,,2.865e-33,,,,,,,7.224e-22,,1.487e-13,3.521e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
