Wavelength (nm),Sum(calc),Na I (3.4e-3),Na II (5.9e-2),Na III (1.4e-21),Mg I (1.1e-4),Mg II (5.9e-4),Mg III (1.5e-7),Al I (3.4e-2),Al II (1.6e-1),Al III (1.5e-6),Si I (2.7e-1),Si II (3.1e-1),Si III (5.4e-6),K I (3.8e-3),K II (1.0e-1),K III (4.7e-13),Ca I (3.5e-4),Ca II (6.7e-3),Ca III (4.6e-5),Ti I (2.5e-5),Ti II (2.9e-4),Ti III (2.6e-7),Fe I (2.8e-4),Fe II (9.7e-4),Fe III (5.0e-8),Tm I (2.2e-3),Tm II (4.8e-2)
199.40,1.135e-43,,,,,,,,,,,,,,,,,,,,,,,,1.135e-43,,
199.42,2.296e-41,,,,,,,,,,,,,,,,,,,,,,,,2.296e-41,,
199.43,1.333e-36,,,,,,,,,,,,,,,,,,,,,,,1.333e-36,3.052e-40,,
199.45,2.945e-34,,,,,,,,,,,,,,,,,,,,,,,2.945e-34,4.714e-38,,
199.47,5.436e-32,,,,,,,,,,,,,,,,,,,,,,,5.435e-32,6.081e-36,,
199.48,6.903e-31,,,,,,,,,,,,,,,,,,,,,,,6.902e-31,6.455e-35,,
199.50,9.726e-29,,,,,,,,,,,,1.309e-49,,,,,,8.821e-51,,,,,9.726e-29,6.357e-33,,
199.52,1.145e-26,,,,,,,,,,,,2.881e-47,,,,,,1.624e-48,,,,,1.145e-26,5.229e-31,,
199.53,1.161e-25,,,,,,,,,,,,3.995e-46,,,,,,2.059e-47,,,,,1.161e-25,4.432e-30,,
199.55,1.043e-23,,,,,,,,,,,,6.715e-44,,,,,,2.895e-45,,,,,1.043e-23,2.783e-28,,
199.57,7.832e-22,,,,,,,,,,,,9.430e-42,,,,,,3.400e-43,,,,,7.832e-22,1.460e-26,,
199.58,6.343e-21,,,,,,,,,,,,1.045e-40,,,,,,3.444e-42,,,,,6.343e-21,9.881e-26,,
199.60,3.635e-19,,,,,,,,,,,,1.120e-38,,,,,,3.089e-40,,,,,3.635e-19,3.956e-24,,
199.61,2.572e-18,,,,,,,,,,,,1.084e-37,,,,,,2.734e-39,,,,,2.572e-18,2.340e-23,,
199.63,1.125e-16,,,,,,,,,,,,8.879e-36,,,,,,1.873e-37,,,,,1.125e-16,7.152e-22,,
199.65,4.113e-15,,,,,,,,,,,,6.074e-34,,,,,,1.072e-35,,,,,4.113e-15,1.826e-20,,
199.66,2.325e-14,,,,,,,,,,,,4.696e-33,,,,,,7.581e-35,,,,,2.325e-14,8.623e-20,,
199.68,6.486e-13,,,,,,,,,,,,2.453e-31,,,,,,3.315e-33,,,,,6.486e-13,1.681e-18,,
199.70,1.512e-11,,,,,,,,,,,,1.070e-29,,,,,,1.212e-31,,,,,1.512e-11,2.736e-17,,
199.71,6.823e-11,,,,,,,,,,,,6.610e-29,,,,,,6.856e-31,,,,,6.823e-11,1.032e-16,,
199.73,1.214e-9,,,,,,,,,,,,2.203e-27,,,,,,1.918e-29,,,,,1.214e-9,1.282e-15,,
199.75,1.805e-8,,,,,,,,,,,,6.132e-26,,,,,,4.496e-28,,,,,1.805e-8,1.331e-14,,
199.76,6.504e-8,,,,,,,,,,,,3.024e-25,,,,,,2.037e-27,,,,,6.504e-8,4.009e-14,,
199.78,7.381e-7,,,,,,,,,,,,6.429e-24,,,,,,3.670e-26,,,,,7.381e-7,3.177e-13,,
199.80,6.997e-6,,,,,,,,,,,,1.142e-22,,,,,,5.563e-25,,,,,6.997e-6,2.103e-12,,
199.81,2.014e-5,,,,,,,,,,,1.312e-38,4.498e-22,,,,,,2.033e-24,,,,,2.014e-5,5.057e-12,,
