Wavelength (nm),Sum(calc),Na I (1.1e-2),Na II (1.4e-1),Na III (1.1e-22),Al I (5.2e-2),Al II (1.5e-1),Al III (3.5e-7),Si I (3.3e-1),Si II (2.0e-1),Si III (9.9e-7),K I (2.4e-3),K II (5.3e-2),K III (2.4e-14),Ca I (3.4e-4),Ca II (4.5e-3),Ca III (1.3e-5),Ti I (9.6e-5),Ti II (6.8e-4),Ti III (2.2e-7),Mn I (9.4e-5),Mn II (2.7e-4),Fe I (3.8e-3),Fe II (7.1e-3),Fe III (1.1e-7),Y I (3.4e-4),Y II (4.2e-3),La I (1.5e-4),La II (3.0e-3),Pr II (2.5e-3),Eu I (4.1e-4),Eu II (8.6e-3),Tb II (6.6e-3),Ho I (7.3e-4),Ho II (6.1e-3),Er I (2.3e-4),Er II (2.8e-3),Tm I (3.2e-4),Tm II (4.4e-3),Yb I (3.8e-4),Yb II (5.0e-3),Lu I (3.5e-4),Lu II (2.7e-3)
199.35,5.906e-50,,,,,,,,,,,,,,,,,,,,,,,5.906e-50,,,,,,,,,,,,,,,,,,
199.36,1.076e-48,,,,,,,,,,,,,,,,,,,,,,,1.076e-48,,,,,,,,,,,,,,,,,,
199.38,3.480e-42,,,,,,,,,,,,,,,,,,,,,,3.480e-42,3.120e-46,,,,,,,,,,,,,,,,,,
199.40,1.206e-39,,,,,,,,,,,,,,,,,,,,,,1.206e-39,7.556e-44,,,,,,,,,,,,,,,,,,
199.41,2.098e-38,,,,,,,,,,,,,,,,,,,,,,2.098e-38,1.099e-42,,,,,,,,,,,,,,,,,,
199.43,5.550e-36,,,,,,,,,,,,,,,3.971e-61,,,,,,,5.549e-36,2.032e-40,,,,,,,,,,,,,,,,,,
199.45,1.226e-33,,,,,,,,,1.742e-57,,,,,,1.372e-58,,,,,,,1.226e-33,3.139e-38,,,,,,,,,,,,,,,,,,
199.46,1.704e-32,,,,,,,,,3.309e-56,,,,,,2.383e-57,,,,,,,1.704e-32,3.646e-37,,,,,,,,,,,,,,,,,,
199.48,2.874e-30,,,,,,,,,1.044e-53,,,,,,6.286e-55,,,,,,,2.874e-30,4.298e-35,,,,,,,,,,,,,,,,,,
199.50,4.050e-28,,,,,,,,,2.750e-51,,,,,,1.385e-52,,,,,,,4.050e-28,4.232e-33,,,,,,,,,,,,,,,,,,
