wavelength,intensity
198.931,7.272e-20
198.941,1.658e-19
198.951,3.752e-19
198.961,8.434e-19
198.971,1.882e-18
198.981,4.171e-18
198.991,9.179e-18
199.001,2.006e-17
199.011,4.351e-17
199.021,9.375e-17
199.03,1.859e-16
199.04,3.952e-16
199.05,8.342e-16
199.06,1.748e-15
199.07,3.639e-15
199.08,7.519e-15
199.09,1.543e-14
199.1,3.144e-14
199.11,6.361e-14
199.12,1.278e-13
199.13,2.549e-13
199.14,5.049e-13
199.15,9.932e-13
199.16,1.94e-12
199.17,3.762e-12
199.18,7.244e-12
199.19,1.385e-11
199.2,2.63e-11
199.21,4.958e-11
199.219,8.72e-11
199.229,1.622e-10
199.239,2.996e-10
199.249,5.495e-10
199.259,1.001e-09
199.269,1.81e-09
199.279,3.25e-09
199.289,5.795e-09
199.299,1.026e-08
199.309,1.804e-08
199.319,3.149e-08
199.329,5.458e-08
199.339,9.393e-08
199.349,1.605e-07
199.359,2.724e-07
199.369,4.591e-07
199.379,7.682e-07
199.389,1.276e-06
199.398,2.003e-06
199.408,3.284e-06
199.418,5.346e-06
199.428,8.641e-06
199.438,1.387e-05
199.448,2.21e-05
199.458,3.498e-05
199.468,5.496e-05
199.478,8.575e-05
199.488,0.0001329
199.498,0.0002044
199.508,0.0003122
199.518,0.0004736
199.528,0.0007133
199.538,0.001067
199.548,0.001584
199.558,0.002336
199.568,0.00342
199.578,0.004973
199.587,0.006922
199.597,0.00993
199.607,0.01414
199.617,0.02001
199.627,0.0281
199.637,0.03919
199.647,0.05426
199.657,0.07461
199.667,0.1019
199.677,0.1381
199.687,0.1859
199.697,0.2485
199.707,0.3299
199.717,0.4348
199.727,0.569
199.737,0.7394
199.747,0.9541
199.757,1.222
199.766,1.519
199.776,1.92
199.786,2.41
199.796,3.004
199.806,3.718
199.816,4.57
199.826,5.577
199.836,6.757
199.846,8.131
199.856,9.714
199.866,11.52
199.876,13.58
199.886,15.88
199.896,18.44
199.906,21.27
199.916,24.36
199.926,27.7
199.936,31.28
199.946,35.07
199.955,38.64
199.965,42.75
199.975,46.95
199.985,51.22
199.995,55.47
200.005,59.66
200.015,63.71
200.025,67.55
200.035,71.13
200.045,74.36
200.055,77.2
200.065,79.58
200.075,81.47
200.085,82.8
200.095,83.57
200.105,83.76
200.115,83.36
200.125,82.37
200.134,81.01
200.144,79.0
200.154,76.5
200.164,73.56
200.174,70.24
200.184,66.61
200.194,62.74
200.204,58.69
200.214,54.53
200.224,50.32
200.234,46.13
200.244,42.02
200.254,38.04
200.264,34.22
200.274,30.6
200.284,27.22
200.294,24.08
200.304,21.21
200.314,18.61
200.323,16.49
200.333,14.39
200.343,12.54
200.353,10.93
200.363,9.539
200.373,8.351
200.383,7.348
200.393,6.51
200.403,5.819
200.413,5.256
200.423,4.805
200.433,4.452
200.443,4.184
200.453,3.99
200.463,3.863
200.473,3.797
200.483,3.789
200.493,3.836
200.503,3.939
200.512,4.082
200.522,4.299
200.532,4.582
200.542,4.937
200.552,5.371
200.562,5.888
200.572,6.495
200.582,7.198
200.592,8.001
200.602,8.908
200.612,9.918
200.622,11.03
200.632,12.25
200.642,13.56
200.652,14.96
200.662,16.43
200.672,17.97
200.682,19.55
200.691,21.0
200.701,22.61
200.711,24.22
200.721,25.79
200.731,27.3
200.741,28.73
200.751,30.06
200.761,31.27
200.771,32.35
200.781,33.27
200.791,34.04
200.801,34.65
200.811,35.1
200.821,35.4
200.831,35.56
200.841,35.6
200.851,35.54
200.861,35.4
200.871,35.22
200.88,35.05
200.89,34.88
200.9,34.77
200.91,34.74
200.92,34.84
200.93,35.09
200.94,35.51
200.95,36.12
200.96,36.95
200.97,37.98
200.98,39.22
200.99,40.67
201.0,42.29
201.01,44.08
201.02,45.98
201.03,47.97
201.04,50.01
201.05,52.04
201.059,53.83
201.069,55.72
201.079,57.47
201.089,59.02
201.099,60.34
201.109,61.4
201.119,62.16
201.129,62.6
201.139,62.7
201.149,62.48
201.159,61.92
201.169,61.04
201.179,59.87
201.189,58.43
201.199,56.76
201.209,54.88
201.219,52.86
201.229,50.72
201.239,48.51
201.248,46.5
201.258,44.28
201.268,42.11
201.278,40.02
201.288,38.04
201.298,36.2
201.308,34.52
201.318,33.01
201.328,31.68
201.338,30.54
201.348,29.6
201.358,28.85
201.368,28.29
201.378,27.92
201.388,27.73
201.398,27.72
201.408,27.88
201.418,28.21
201.427,28.65
201.437,29.27
201.447,30.04
201.457,30.95
201.467,31.98
201.477,33.13
201.487,34.38
201.497,35.72
201.507,37.13
201.517,38.6
201.527,40.1
201.537,41.62
201.547,43.13
201.557,44.62
201.567,46.06
201.577,47.43
201.587,48.72
201.597,49.9
201.607,50.98
201.616,51.84
201.626,52.69
201.636,53.4
201.646,54.0
201.656,54.49
201.666,54.87
201.676,55.17
201.686,55.41
201.696,55.61
201.706,55.78
201.716,55.96
201.726,56.17
201.736,56.44
201.746,56.77
201.756,57.2
201.766,57.73
201.776,58.38
201.786,59.14
201.795,59.93
201.805,60.91
201.815,62.0
201.825,63.17
201.835,64.41
201.845,65.69
201.855,67.0
201.865,68.29
201.875,69.54
201.885,70.73
201.895,71.83
201.905,72.81
201.915,73.64
201.925,74.32
201.935,74.83
201.945,75.15
201.955,75.28
201.965,75.23
201.975,74.99
