Wavelength (nm),Sum(calc),Na I (4.3e-5),Na II (1.5e-3),Na III (1.2e-18),Mg I (8.4e-4),Mg II (2.0e-2),Mg III (1.6e-4),Al I (7.4e-3),Al II (1.4e-1),Al III (9.4e-5),Si I (2.9e-2),Si II (2.3e-1),Si III (1.7e-4),K I (5.1e-4),K II (2.4e-2),K III (1.3e-10),Ca I (2.3e-4),Ca II (1.2e-2),Ca III (1.1e-3),Mn I (1.3e-2),Mn II (3.6e-1),Fe I (4.9e-3),Fe II (1.0e-1),Fe III (2.2e-4),Y I (2.7e-4),Y II (2.1e-2),La I (1.8e-5),La II (2.1e-3),Sm I (1.1e-5),Sm II (2.3e-3),Eu I (3.4e-5),Eu II (3.6e-3),Ho I (6.3e-5),Ho II (3.1e-3),Er I (1.4e-5),Er II (1.2e-3),Tm I (1.9e-6),Tm II (1.8e-4),Lu I (2.1e-4),Lu II (1.1e-2)
199.36,2.500e-43,,,,,,,,,,,,,,,,,,,,,,,2.500e-43,,,,,,,,,,,,,,,,
199.38,7.249e-41,,,,,,,,,,,,,,,,,,,,,,,7.249e-41,,,,,,,,,,,,,,,,
199.40,1.849e-37,,,,,,,,,,,,,,,,,,,,,,1.674e-37,1.756e-38,,,,,,,,,,,,,,,,
199.41,3.168e-36,,,,,,,,,,,,,,,,,,,,,,2.912e-36,2.554e-37,,,,,,,,,,,,,,,,
199.43,8.176e-34,,,,,,,,,,,,,,,,,,,,,,7.704e-34,4.722e-35,,,,,,,,,,,,,,,,
199.45,1.775e-31,,,,,,,,,,,,,,,,,,1.305e-51,,,,1.702e-31,7.293e-33,,,,,,,,,,,,,,,,
199.46,2.450e-30,,,,,,,,,,,,3.748e-50,,,,,,2.268e-50,,,,2.365e-30,8.471e-32,,,,,,,,,,,,,,,,
199.48,4.090e-28,,,,,,,,,,,,1.182e-47,,,,,,5.981e-48,,,,3.990e-28,9.987e-30,,,,,,,,,,,,,,,,
199.50,5.720e-26,,,,,,,,,,,,3.115e-45,,,,,,1.318e-45,,,,5.622e-26,9.835e-28,,,,,,,,,,,,,,,,
199.51,6.329e-25,,,,,,,,,,,,4.727e-44,,,,,,1.829e-44,,,,6.238e-25,9.122e-27,,,,,,,,,,,,,,,,
199.53,6.780e-23,,,,,,,,,,,,9.510e-42,,,,,,3.077e-42,,,,6.711e-23,6.857e-25,,,,,,,,,,,,,,,,
199.55,6.074e-21,,,,,,,,,,,,1.599e-39,,,,,,4.324e-40,,3.519e-38,,6.031e-21,4.306e-23,,,,,,,,,,,,,,,,
199.56,5.376e-20,,,,,,,,,,,,1.937e-38,,,,,,4.792e-39,,6.096e-37,,5.344e-20,3.189e-22,,,,,,,,,,,,,,,,
199.58,3.682e-18,,,,,,,,,,,,2.487e-36,,,,,,5.143e-37,,1.599e-34,,3.666e-18,1.529e-20,,,,,,,,,,,,,,,,
199.59,2.849e-17,,,,,,,,,,,,2.634e-35,,,,,,4.981e-36,,2.421e-33,,2.839e-17,9.893e-20,,,,,,,,,,,,,,,,
199.61,1.491e-15,,,,,,,,,,,,2.581e-33,,,,,,4.082e-34,,4.849e-31,,1.487e-15,3.620e-18,,,,,,,,,,,,,,,,
199.63,6.517e-14,,,,,,,,,,,,2.114e-31,,,,,,2.795e-32,,8.117e-29,,6.506e-14,1.106e-16,,,,,,,,,,,,,,,,
199.64,4.028e-13,,,,,,,,,,,,1.788e-30,,,,,,2.162e-31,,9.817e-28,,4.022e-13,5.718e-16,,,,,,,,,,,,,,,,
199.66,1.345e-11,,,,,,,,,,,,1.118e-28,,,,,,1.130e-29,,1.255e-25,,1.344e-11,1.334e-14,,,,,,,,,,,,,,,,
199.68,3.752e-10,,,,,,,,,,,,5.839e-27,,,,,,4.938e-28,,1.341e-23,,3.749e-10,2.600e-13,,,,,,,,,,,,,,,,
199.69,1.852e-9,,,,,,,,,,,,3.945e-26,,,,,,3.051e-27,,1.295e-22,,1.851e-9,1.073e-12,,,,,,,,,,,,,,,,
199.71,3.945e-8,,,,,,,,,,,,1.574e-24,,,,,,1.018e-25,,1.057e-20,,3.944e-8,1.596e-11,,,,,,,,,,,,,,,,
199.73,7.020e-7,,,,,,,,,,,,5.243e-23,,,,,,2.839e-24,,7.204e-19,,7.018e-7,1.984e-10,,,,,,,,,,,,,,,,
199.74,2.768e-6,,,,,,,,,,,,2.829e-22,,,,,,1.402e-23,,5.561e-18,,2.767e-6,6.537e-10,,,,,,,,,,,,,,,,
199.76,3.760e-5,,,,,,,,,,,,7.199e-21,,,,,,2.989e-22,,2.895e-16,,3.760e-5,6.202e-9,,,,,,,,,,,,,,,,
199.78,4.267e-4,,,1.163e-74,,,,,,,,6.194e-41,1.530e-19,,,,,,5.329e-21,,1.259e-14,,4.266e-4,4.914e-8,,,,,,,,,,,,,,,,
199.79,1.344e-3,,,2.002e-73,,,,,,,,1.066e-39,6.596e-19,,,,,,2.105e-20,,7.766e-14,,1.343e-3,1.293e-7,,,,,,,,,,,,,,,,
199.81,1.164e-2,,,5.183e-71,,,,,,,,2.762e-37,1.071e-17,,,,,,2.876e-19,,2.580e-12,,1.164e-2,7.823e-7,,,,,,,,,,,,,,,,
199.83,8.425e-2,,,1.122e-68,,,,,,,,5.979e-35,1.452e-16,,,,,,3.296e-18,,7.164e-11,,8.424e-2,3.953e-6,,,,,,,,,,,,,,,,
199.84,2.119e-1,,,1.543e-67,,,2.148e-62,,,,,8.225e-34,4.998e-16,,,,,,1.045e-17,,3.529e-10,,2.118e-1,8.307e-6,,,,,,,,,,,,,,,,
199.86,1.171e+0,,,2.553e-65,,,6.629e-60,,,,,1.361e-31,5.176e-15,,,,,,9.234e-17,,7.482e-9,,1.171e+0,3.206e-5,,,,,,,,,,,,,,,,
199.88,5.403e+0,,,3.530e-63,,,1.710e-57,,,,,1.882e-29,4.478e-14,,,,,,6.891e-16,,1.326e-7,,5.403e+0,1.034e-4,,,,,,,,,,,,,,,,
199.89,1.085e+1,,,3.881e-62,,,2.569e-56,,,,,2.070e-28,1.231e-13,,,,,,1.770e-15,,5.217e-7,,1.085e+1,1.735e-4,,,,,,,,,,,,,,,,
