Wavelength (nm),Sum(calc),Li I (1.1e-5),Li II (7.2e-5),Li III (3.0e-46),C I (2.5e-3),C II (7.1e-6),C III (5.3e-17),Na I (1.3e-4),Na II (1.0e-3),Na III (2.5e-27),Mg I (5.2e-4),Mg II (6.4e-4),Mg III (7.4e-9),Al I (1.7e-2),Al II (2.2e-2),Al III (4.9e-9),Si I (7.2e-1),Si II (1.5e-1),Si III (9.4e-8),K I (4.9e-4),K II (7.5e-3),K III (6.7e-17),Ca I (3.9e-4),Ca II (2.7e-3),Ca III (1.8e-6),Ti I (4.7e-4),Ti II (1.4e-3),Ti III (8.3e-8),Cr I (8.5e-6),Cr II (1.3e-5),Mn I (7.7e-5),Mn II (8.6e-5),Fe I (1.4e-2),Fe II (9.5e-3),Fe III (1.9e-8),Ni I (1.2e-5),Ni II (4.0e-6),Ni III (1.3e-12),Cu I (1.4e-5),Cu II (3.7e-6),Zn I (1.6e-5),Zn II (2.0e-6),Sm I (2.3e-4),Sm II (3.6e-3),Er I (6.1e-3),Er II (3.4e-2),Tm I (7.8e-4),Tm II (4.8e-3)
199.32,1.723e-55,,,,,3.110e-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.723e-55,,,,,,,,,,,,,
199.33,3.593e-54,,,,,7.090e-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.593e-54,,,,,,,,,,,,,
199.35,1.939e-46,,,,,3.221e-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.939e-46,1.365e-51,8.397e-51,,,,,,,,,,,,
199.37,8.800e-44,,,,,1.222e-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.800e-44,4.329e-49,4.166e-48,,,,,,,,,,,,
199.38,1.752e-42,,,,,2.226e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.752e-42,7.208e-48,8.675e-47,,,,,,,,,,,,
199.40,6.071e-40,,,,,6.449e-53,,,,,,,,,,,,,,,,,,,4.852e-68,,,,,,,,,6.071e-40,1.746e-45,3.286e-44,,,,,,,,,,,,
199.42,1.757e-37,,,,,1.561e-50,,,,,,,,,,,,,4.662e-64,,,,,,2.195e-65,,,,,,,,,1.757e-37,3.532e-43,1.040e-41,,,,,,,,,,,,
199.43,2.794e-36,,,,,2.269e-49,,,,,,,,,,,,,1.014e-62,,,,,,4.364e-64,,,,,,,,,2.794e-36,4.695e-42,1.729e-40,,,,,,,,,,,,
199.45,6.174e-34,,,,,4.192e-47,,,,,,,,,,,,,4.186e-60,,,,,,1.508e-61,,,,,,,,,6.174e-34,7.251e-40,4.178e-38,,,,,,,,,,,,
199.46,8.579e-33,,,,,5.326e-46,,,,,,,,,,,,,7.954e-59,,,,,,2.619e-60,,,,,,,,,8.578e-33,8.423e-39,6.070e-37,,,,,,,,,,,,
