Wavelength (nm),Sum(calc),Li I (1.1e-5),Li II (7.6e-5),Li III (7.3e-46),C I (2.0e-3),C II (6.4e-6),C III (6.4e-17),Na I (4.0e-3),Na II (3.3e-2),Na III (1.4e-25),Mg I (4.2e-2),Mg II (5.6e-2),Mg III (7.8e-7),Al I (6.2e-2),Al II (8.6e-2),Al III (2.4e-8),Si I (3.7e-1),Si II (8.4e-2),Si III (6.5e-8),K I (3.3e-4),K II (5.3e-3),K III (6.8e-17),Ca I (1.1e-2),Ca II (8.3e-2),Ca III (6.3e-5),Ti I (1.5e-3),Ti II (4.9e-3),Ti III (3.3e-7),Cr I (5.3e-5),Cr II (9.1e-5),Mn I (7.3e-4),Mn II (8.8e-4),Fe I (5.8e-2),Fe II (4.4e-2),Fe III (1.1e-7),Cu I (5.6e-5),Cu II (1.7e-5),Zn I (7.4e-5),Zn II (1.0e-5),La I (8.9e-4),La II (9.7e-3),Pr II (6.4e-3),Sm I (2.7e-4),Sm II (4.4e-3),Lu I (5.8e-3),Lu II (2.2e-2)
199.31,5.313e-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.313e-56,,,,,,,,,,,
199.33,2.416e-53,,,,,8.846e-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.416e-53,,,,,,,,,,,
199.35,9.811e-46,,,,,4.019e-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.810e-46,9.176e-51,,,,,,,,,,,
199.36,2.137e-44,,,,,8.007e-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.137e-44,1.672e-49,,,,,,,,,,,
199.38,8.866e-42,,,,,2.777e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.866e-42,4.847e-47,,,,,,,,,,,
199.40,3.072e-39,,,,,8.045e-53,,,,,,,,,,,,,,,,,,,2.675e-66,,,,,,,,,3.072e-39,1.174e-44,,,,,,,,,,,
199.41,5.344e-38,,,,,1.280e-51,,,,,,,,,,,,,1.979e-65,,,,,,5.820e-65,,,,,,,,,5.344e-38,1.708e-43,,,,,,,,,,,
199.43,1.414e-35,,,,,2.831e-49,,,,,,,,,,,,,9.782e-63,,,,,,2.406e-62,,,,,,,,,1.414e-35,3.157e-41,,,,,,,,,,,
199.45,3.124e-33,,,,,5.230e-47,,,,,,,,,,,,,4.040e-60,,,,,,8.313e-60,,,,,,,,,3.124e-33,4.876e-39,,,,,,,,,,,
199.46,4.340e-32,,,,,6.644e-46,,,,,,,,,,,,,7.676e-59,,,,,,1.444e-58,,,,,,,,,4.340e-32,5.664e-38,,,,,,,,,,,
199.48,7.321e-30,,,,,9.371e-44,,,,,,,,,,,,,2.421e-56,,,,,,3.809e-56,,,,,,,,,7.321e-30,6.677e-36,,,,,,,,,,,
199.50,1.032e-27,,,,,1.104e-41,,,,,,,,,,,,,6.379e-54,,,,,,8.394e-54,,,,,,,2.302e-49,,1.032e-27,6.575e-34,,,,,,,,,,,
199.51,1.145e-26,,,,,1.120e-40,,,,,,,,,,,,,9.680e-53,,,,,,1.165e-52,,,,,,,4.992e-48,,1.145e-26,6.099e-33,,,,,,,,,,,
199.53,1.232e-24,,,,,1.007e-38,,,,,,,,,,,,,1.948e-50,,,,,,1.960e-50,,,,,,,2.052e-45,,1.232e-24,4.585e-31,,,,,,,,,,,
199.55,1.107e-22,,,,,7.567e-37,,,,,,,,,,,,,3.274e-48,,,,,,2.756e-48,,,,,,,7.045e-43,,1.107e-22,2.879e-29,,,,,,,,,,,
199.56,9.807e-22,,,,,6.131e-36,,,,,,,,,,,,,3.968e-47,,,,,,3.054e-47,,,,,,,1.221e-41,,9.807e-22,2.132e-28,,,,,,,,,,,
199.58,6.728e-20,,,,,3.516e-34,,,,,,,,,,,,,5.093e-45,,,,,,3.280e-45,,,,,,,3.201e-39,,6.728e-20,1.022e-26,,,,,,,,,,,
199.59,5.209e-19,,,,,2.489e-33,,,,,,,,,,,,,5.393e-44,,,,,,3.177e-44,,,,,,,4.847e-38,,5.209e-19,6.615e-26,,,,,,,,,,,
199.61,2.729e-17,,,,,1.090e-31,,,,,,,,,,,,,5.286e-42,,,,,,2.606e-42,,,,,,,9.709e-36,,2.729e-17,2.420e-24,,,,,,,,,,,
199.63,1.194e-15,,,,,3.985e-30,,,,,,,,,,,,,4.328e-40,,,,,,1.787e-40,,,,,,,1.625e-33,,1.194e-15,7.398e-23,,,,,,,,,,,
199.64,7.382e-15,,,,,2.253e-29,,,,,,,,,,,,,3.661e-39,,,,,,1.383e-39,,,,,,,1.966e-32,,7.382e-15,3.823e-22,,,,,,,,,,,
199.66,2.466e-13,,,,,6.290e-28,,,,,,,,,,,,,2.289e-37,,,,,,7.252e-38,,,,,,,2.513e-30,,2.466e-13,8.920e-21,,,,,,,,,,,
199.68,6.880e-12,,,,,1.467e-26,,,,,,,,,,,,,1.196e-35,,,,,,3.182e-36,,,,,,,2.684e-28,,6.880e-12,1.738e-19,,,,,,,,,,,
199.69,3.397e-11,,,,,6.622e-26,,,,,,,,,,,,,8.079e-35,,,,,,1.972e-35,,,,,,,2.594e-27,,3.397e-11,7.174e-19,,,,,,,,,,,
199.71,7.237e-10,,,,,1.179e-24,,,,,,,,,,,,,3.222e-33,,,,,,6.633e-34,,,,,,,2.116e-25,,7.237e-10,1.067e-17,,,,,,,,,,,
199.73,1.288e-8,,,,,1.753e-23,,,,6.369e-98,,,,,,,,1.657e-50,1.074e-31,,,,,,1.873e-32,,,,,,,1.442e-23,,1.288e-8,1.326e-16,,,,,,,,,,,
199.74,5.078e-8,,,,,6.320e-23,,,,1.371e-96,,,,,,,,3.567e-49,5.794e-31,,,,,,9.331e-32,,,,,,,1.113e-22,,5.078e-8,4.371e-16,,,,,,,,,,,
199.76,6.899e-7,,,,,7.175e-22,,,,5.559e-94,,,,,,,,1.446e-46,1.474e-29,,,,,,2.038e-30,,,,,,,5.797e-21,,6.899e-7,4.147e-15,,,,,,,,,,,
199.78,7.829e-6,,,,,6.805e-21,,,,1.883e-91,,,,,,,,4.902e-44,3.134e-28,,,,,,3.768e-29,,,,,,,2.522e-19,,7.829e-6,3.286e-14,,,,,,,,,,,
199.79,2.465e-5,,,,,1.959e-20,,,,3.241e-90,,,2.540e-81,,,,,8.438e-43,1.351e-27,,,,,,1.525e-28,,,,,,,1.555e-18,,2.465e-5,8.647e-14,,,,,,,,,,,
199.81,2.136e-4,,,,,1.418e-19,,,,8.393e-88,,,1.227e-78,,,,,2.185e-40,2.193e-26,,,,,,2.223e-27,,,,,,,5.166e-17,,2.136e-4,5.232e-13,,,,,,,,,,,
199.83,1.546e-3,,,,,8.576e-19,,,,1.817e-85,,,4.953e-76,,,,,4.732e-38,2.974e-25,,,,,,2.793e-26,,,,,,,1.434e-15,,1.546e-3,2.644e-12,,,,,,,,,,,
199.84,3.888e-3,,,,,1.971e-18,,,,2.499e-84,,,9.305e-75,,,,,6.510e-37,1.024e-24,,,,,,9.387e-26,,,,,,,7.065e-15,,3.888e-3,5.558e-12,,,,,,,,,,,
199.86,2.148e-2,,,,,9.101e-18,,,,4.133e-82,,,2.872e-72,,,,,1.077e-34,1.060e-23,,,,,,9.583e-25,,,,,,,1.498e-13,,2.148e-2,2.146e-11,,,,,,,,,,,
199.88,9.914e-2,,,,,3.510e-17,,,,5.715e-80,,,7.409e-70,,,,,1.490e-32,9.170e-23,,,,,,8.580e-24,,,,,,,2.654e-12,,9.914e-2,6.924e-11,,,,,,,,,,,
199.89,1.991e-1,,,,,6.443e-17,,,,6.283e-79,,,1.113e-68,,,,,1.638e-31,2.521e-22,,,,,,2.445e-23,,,,,,,1.044e-11,,1.991e-1,1.163e-10,,,,,,,,,,,
199.91,7.016e-1,,,,,1.897e-16,,,,6.640e-77,,,2.195e-66,,,,,1.731e-29,1.666e-21,,,,,,1.799e-22,,,,,,,1.413e-10,,7.016e-1,2.876e-10,,,,,,,,,,,
199.93,2.065e+0,,,,,4.664e-16,,,,5.865e-75,,,3.618e-64,,,,,1.530e-27,9.192e-21,,,,,,1.154e-21,,,,,,,1.598e-9,,2.065e+0,5.973e-10,,,,,,,,,,,
199.94,3.312e+0,,,,,6.837e-16,,,,5.154e-74,,,4.344e-63,,,,,1.344e-26,2.019e-20,,,,,,2.770e-21,,,,,,,5.023e-9,,3.312e+0,8.084e-10,,,,,,,,,,,
199.96,7.442e+0,,,,,1.284e-15,,,,3.479e-72,,,5.474e-61,,,,,9.078e-25,8.507e-20,,,,,,1.425e-20,,,,,,,4.338e-8,,7.442e+0,1.320e-9,,,,,,,,,,,
199.98,1.397e+1,,,,,2.013e-15,,,,1.963e-70,,,5.767e-59,,,,,5.124e-23,2.995e-19,,,,,,6.266e-20,,,,,,,3.130e-7,,1.397e+1,1.912e-9,,,,,,,,,,,
199.99,1.789e+1,,,,,2.356e-15,,,,1.379e-69,,,5.535e-58,,,,,3.599e-22,5.253e-19,,,,,,1.236e-19,,,,,,,7.860e-7,,1.789e+1,2.246e-9,,,,,,,,,,,
200.01,2.564e+1,,,,,2.821e-15,,,,5.947e-68,,,4.458e-56,,,,,1.552e-20,1.412e-18,,,,,,4.240e-19,,,,,,,4.332e-6,,2.564e+1,3.144e-9,,,,,,,,,,,
200.03,3.070e+1,,,,,2.821e-15,,,,2.144e-66,,,3.001e-54,,,,,5.597e-19,3.172e-18,,,,,,1.226e-18,,,,,,,1.995e-5,,3.070e+1,4.776e-9,,,,,,,,,,,
