Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.6e-2),Na III (1.7e-19),Mg I (4.1e-3),Mg II (5.6e-2),Mg III (1.1e-4),Al I (4.9e-3),Al II (5.3e-2),Al III (6.1e-6),Si I (1.2e-1),Si II (4.2e-1),Si III (6.6e-5),K I (2.0e-4),K II (7.7e-3),K III (2.2e-12),Ca I (5.1e-3),Ca II (1.7e-1),Ca III (5.7e-3),Cr I (1.2e-7),Cr II (2.1e-6),Mn I (6.4e-4),Mn II (8.9e-3),Fe I (6.5e-3),Fe II (6.5e-2),Fe III (2.9e-5),Ni I (7.6e-6),Ni II (4.5e-5),Ni III (5.6e-9),Cu I (8.1e-7),Cu II (3.7e-6),Zn I (7.5e-5),Zn II (2.3e-4),Mo I (2.2e-5),Eu I (3.0e-4),Eu II (1.9e-2),Lu I (9.7e-4),Lu II (2.8e-2),Pb I (1.5e-7),Pb II (1.6e-6)
199.35,4.204e-46,,,,,,,,,,,,,,,,,,,,,,,,,4.204e-46,,,,,,,,,,,,,,
199.37,1.334e-43,,,,,,,,,,,,,,,,,,,,,,,,,1.334e-43,,,,,,,,,,,,,,
199.38,1.538e-40,,,,,,,,,,,,,,,,,,,,,,,,1.515e-40,2.221e-42,,,,,,,,,,,,,,
199.40,5.304e-38,,,,,,,,,,,,,,,,,,,,,,,,5.250e-38,5.378e-40,1.318e-43,,,,,,,,,,,,,
199.42,1.530e-35,,,,,,,,,,,,,,,,,,,,,,,,1.519e-35,1.088e-37,4.169e-41,,,,,,,,,,,,,
199.43,2.431e-34,,,,,,,,,,,,,,,,,,5.032e-55,,,,,,2.416e-34,1.446e-36,6.933e-40,,,,,,,,,,,,,
199.45,5.361e-32,,,,,,,,,,,,4.845e-53,,,,,,1.738e-52,,,,,,5.339e-32,2.234e-34,1.675e-37,,,,,,,,,,,,,
199.47,9.883e-30,,,,,,,,,,,,1.672e-50,,,,,,5.015e-50,,,,,,9.854e-30,2.882e-32,3.380e-35,,,,,,,,,,,,,
199.48,1.254e-28,,,,,,,,,,,,2.903e-49,,,,,,7.964e-49,,,,,,1.251e-28,3.059e-31,4.489e-34,,,,,,,,,,,,,
199.50,1.766e-26,,,,,,,,,,,,7.649e-47,,,,,,1.755e-46,,,,,,1.763e-26,3.012e-29,6.917e-32,,,,,,,,,,,,,
199.52,2.078e-24,,,,,,,,,,,,1.684e-44,,,,,,3.230e-44,,,,,,2.076e-24,2.478e-27,8.902e-30,,,,,,,,,,,,,
199.53,2.107e-23,,,,,,,,,,,,2.335e-43,,,,,,4.097e-43,,,,8.859e-43,,2.105e-23,2.101e-26,9.441e-29,,,,,,,,,,,,,
199.55,1.893e-21,,,,,,,,,,,,3.925e-41,,,,,,5.758e-41,,,,3.042e-40,,1.892e-21,1.319e-24,9.278e-27,,,,,,,,,,,,,
199.57,1.421e-19,,,,,,,,,,,,5.512e-39,,,,,,6.762e-39,,,,8.729e-38,,1.420e-19,6.917e-23,7.616e-25,,,,,,,,,,,,,
199.58,1.150e-18,,,,,,,,,,,,6.106e-38,,,,,,6.849e-38,,,,1.382e-36,,1.150e-18,4.683e-22,6.450e-24,,,,,,,,,,,,,
