Wavelength (nm),Sum(calc),Li I (6.2e-6),Li II (1.8e-4),Li III (2.2e-36),C I (1.5e-3),C II (1.4e-4),C III (1.5e-12),Na I (6.8e-5),Na II (1.6e-3),Na III (3.9e-21),Mg I (3.6e-4),Mg II (3.9e-3),Mg III (4.5e-6),Al I (3.9e-2),Al II (3.4e-1),Al III (2.2e-5),Si I (9.8e-2),Si II (2.7e-1),Si III (2.4e-5),K I (7.8e-5),K II (2.8e-3),K III (2.8e-13),Ca I (6.0e-5),Ca II (1.8e-3),Ca III (4.0e-5),Ti I (1.2e-3),Ti II (2.7e-2),Ti III (9.5e-5),Cr I (3.6e-5),Cr II (4.9e-4),Mn I (1.8e-4),Mn II (2.0e-3),Fe I (1.8e-2),Fe II (1.4e-1),Fe III (3.7e-5),Ni I (5.8e-5),Ni II (2.6e-4),Ni III (1.8e-8),Cu I (2.3e-5),Cu II (8.0e-5),Zn I (4.4e-5),Zn II (1.0e-4),Y I (6.4e-5),Y II (2.3e-3),La I (4.1e-7),La II (2.3e-5),Pr II (4.2e-3),Sm I (4.0e-5),Sm II (3.7e-3),Eu I (4.5e-6),Eu II (2.4e-4),Tb II (5.8e-3),Ho I (2.1e-4),Ho II (4.8e-3),Er I (4.5e-4),Er II (1.7e-2),Tm I (1.2e-4),Tm II (5.0e-3),Yb I (5.9e-5),Yb II (2.4e-3),Lu I (6.6e-5),Lu II (1.6e-3),Pb I (5.0e-7),Pb II (4.2e-6)
199.28,1.355e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.355e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.30,8.070e-53,,,,,4.333e-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.070e-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.31,8.178e-50,,,,,1.081e-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.994e-50,1.841e-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.33,5.283e-47,,,,,5.879e-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.199e-47,8.372e-49,3.641e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.35,2.856e-44,,,,,2.671e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825e-44,3.180e-46,2.163e-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.36,6.212e-43,,,,,5.322e-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.154e-43,5.793e-45,4.927e-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.38,2.569e-40,,,,,1.846e-50,,,,,,,,,,,,,2.199e-63,,,,,,2.097e-64,,,,,,,,,2.552e-40,1.680e-42,2.234e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.40,8.884e-38,,,,,5.347e-48,,,,,,,,,,,,,1.424e-60,,,,,,1.135e-61,,,,,,,,,8.844e-38,4.068e-40,8.464e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.41,1.545e-36,,,,,8.507e-47,,,,,,,,,,,,,3.387e-59,,,,,,2.470e-60,,,,,,,,,1.539e-36,5.918e-39,1.540e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.43,4.081e-34,,,,,1.881e-44,,,,,,,,,,,,,1.675e-56,,,,,,1.021e-57,,,,,,,,,4.070e-34,1.094e-36,4.453e-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.45,9.010e-32,,,,,3.476e-42,,,,,,,,,,,,,6.917e-54,,,,,,3.528e-55,,,,,,,,,8.993e-32,1.690e-34,1.076e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
