Wavelength (nm),Sum(calc),C I (1.9e-2),C II (1.4e-4),C III (7.8e-15),Na I (1.2e-4),Na II (1.3e-3),Na III (1.4e-25),Mg I (1.6e-2),Mg II (3.6e-2),Mg III (1.5e-6),Al I (2.8e-2),Al II (6.2e-2),Al III (6.4e-8),Si I (2.1e-2),Si II (8.6e-3),Si III (2.1e-8),K I (2.1e-5),K II (4.2e-4),K III (4.8e-17),Ca I (1.0e-3),Ca II (1.1e-2),Ca III (1.9e-5),Ti I (1.8e-2),Ti II (9.3e-2),Ti III (1.6e-5),Mn I (7.5e-4),Mn II (1.6e-3),Fe I (2.7e-1),Fe II (3.6e-1),Fe III (2.7e-6),Ni I (4.2e-4),Ni II (2.9e-4),Ni III (4.1e-10),Cu I (1.2e-4),Cu II (6.5e-5),Zn I (4.1e-4),Zn II (1.2e-4),Y I (6.4e-4),Y II (6.0e-3),Pr II (4.7e-3),Sm I (4.8e-4),Sm II (1.2e-2),Eu I (8.0e-5),Eu II (1.3e-3),Tb II (3.0e-3),Ho I (1.4e-3),Ho II (9.2e-3),Er I (4.0e-4),Er II (3.8e-3),Yb I (1.3e-4),Yb II (1.3e-3),Lu I (6.9e-4),Lu II (4.1e-3)
199.32,9.225e-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.225e-53,,,,,,,,,,,,,,,,,,,,,,,
199.33,1.923e-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.923e-51,,,,,,,,,,,,,,,,,,,,,,,
199.35,7.306e-49,,6.310e-57,,,,,,,,,,,,,,,,,,,,,,,,,,,7.306e-49,,,,,,,,,,,,,,,,,,,,,,,
199.37,6.305e-42,,2.394e-54,,,,,,,,,,,,,,,,,,,,,,,,,,6.304e-42,2.318e-46,2.397e-46,,,,,,,,,,,,,,,,,,,,,,
199.38,1.255e-40,,4.360e-53,,,,,,,,,,,,,,,,,,,,,,,,,,1.255e-40,3.859e-45,4.991e-45,,,,,,,,,,,,,,,,,,,,,,
199.40,4.350e-38,,1.263e-50,,,,,,,,,,,,,,,,,,,,,,,,,,4.349e-38,9.346e-43,1.891e-42,,,,,,,,,,,,,,,,,,,,,,
199.42,1.259e-35,,3.057e-48,,,,,,,,,,,,,1.153e-63,,,,,,5.491e-63,,,,,,,1.259e-35,1.891e-40,5.983e-40,,,,,,,,,,,,,,,,,,,,,,
199.43,2.002e-34,,4.445e-47,,,,,,,,,,,,,2.506e-62,,,,,,1.092e-61,,,,,,,2.002e-34,2.514e-39,9.948e-39,,,,,,,,,,,,,,,,,,,,,,
199.45,4.423e-32,,8.211e-45,,,,,,,,,,,,,1.035e-59,,,,,,3.771e-59,,,,,,,4.423e-32,3.882e-37,2.403e-36,,,,,,,,,,,,,,,,,,,,,,
199.47,8.164e-30,,1.267e-42,,,,,,,,,,,,,3.572e-57,,,,,,1.088e-56,,,,,,,8.163e-30,5.008e-35,4.851e-34,,,,,,,,,,,,,,,,,,,,,,
199.48,1.037e-28,,1.471e-41,,,,,,,,,,,,,6.202e-56,,,,,,1.728e-55,,,,,,,1.037e-28,5.316e-34,6.441e-33,,,,,,,,,,,,,,,,,,,,,,
