Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
199.32,5.300e-25,,,5.300e-25,,,
199.35,5.591e-18,,5.591e-18,2.864e-23,,,
199.37,8.479e-17,,8.479e-17,3.705e-22,,,
199.4,4.310e-15,,4.310e-15,1.483e-20,,,
199.42,5.352e-14,,5.352e-14,1.571e-19,,,
199.45,2.016e-12,,2.016e-12,4.659e-18,,,
199.47,2.049e-11,,2.049e-11,4.039e-17,,,
199.5,5.718e-10,,5.718e-10,8.876e-16,,,
199.52,4.760e-9,,4.760e-9,6.301e-15,,,
199.55,9.840e-8,,9.840e-8,1.026e-13,,,
199.57,6.707e-7,,6.707e-7,5.962e-13,,,
199.6,1.027e-5,,1.027e-5,7.190e-12,,,
199.62,5.733e-5,,5.733e-5,3.422e-11,,,
199.65,6.506e-4,,6.506e-4,3.057e-10,,,
199.67,2.973e-3,,2.973e-3,1.191e-9,,,
199.69,1.254e-2,,1.254e-2,4.286e-9,,,
199.72,9.353e-2,,9.353e-2,2.518e-8,,,
199.74,3.231e-1,,3.231e-1,7.422e-8,,,
199.77,1.785e+0,,1.785e+0,3.236e-7,,,
199.79,5.048e+0,,5.048e+0,7.828e-7,,,
199.82,2.067e+1,,2.067e+1,2.545e-6,,,
199.84,4.786e+1,,4.786e+1,5.077e-6,,,
199.87,1.452e+2,,1.452e+2,1.248e-5,,,
199.89,2.752e+2,,2.752e+2,2.087e-5,,,
199.92,6.185e+2,,6.185e+2,4.038e-5,,,
199.94,9.602e+2,,9.602e+2,5.903e-5,,,
199.97,1.599e+3,,1.599e+3,9.791e-5,,,
199.99,2.032e+3,,2.032e+3,1.333e-4,,,
200.02,2.507e+3,,2.507e+3,2.044e-4,6.425e-19,,
200.04,2.609e+3,,2.609e+3,2.635e-4,9.198e-18,,
200.06,2.507e+3,,2.507e+3,3.278e-4,1.216e-16,,
200.09,2.032e+3,,2.032e+3,4.170e-4,5.038e-15,,
200.11,1.599e+3,,1.599e+3,4.581e-4,5.462e-14,,
200.14,9.602e+2,,9.602e+2,4.776e-4,1.680e-12,,
200.16,6.185e+2,,6.185e+2,4.663e-4,1.493e-11,,
200.19,2.752e+2,,2.752e+2,4.454e-4,3.408e-10,,
200.21,1.452e+2,,1.452e+2,4.576e-4,2.484e-9,,
200.24,4.786e+1,,4.786e+1,5.596e-4,4.209e-8,,
200.26,2.067e+1,,2.067e+1,6.925e-4,2.515e-7,,
200.29,5.049e+0,,5.048e+0,9.579e-4,3.164e-6,,
200.31,1.786e+0,,1.785e+0,1.135e-3,1.550e-5,,
200.34,3.251e-1,,3.237e-1,1.313e-3,1.448e-4,,
200.36,9.789e-2,,9.597e-2,1.342e-3,5.814e-4,,
200.39,3.473e-2,,2.944e-2,1.262e-3,4.031e-3,,
200.41,7.303e-2,,5.860e-2,1.166e-3,1.327e-2,,
200.43,2.112e-1,,1.698e-1,1.074e-3,4.036e-2,,
200.46,9.583e-1,,7.729e-1,9.905e-4,1.844e-1,,
200.48,2.388e+0,,1.927e+0,9.722e-4,4.598e-1,,
200.51,8.097e+0,,6.536e+0,9.627e-4,1.560e+0,,
200.53,1.655e+1,,1.336e+1,9.429e-4,3.189e+0,,
200.56,4.167e+1,,3.364e+1,8.725e-4,8.029e+0,,
