Wavelength (nm),Sum(calc),Fe I (6.1e-2),Fe II (3.4e-1),Fe III (4.5e-5),Ni I (1.5e-1),Ni II (4.5e-1),Ni III (1.5e-5)
199.41,2.010e-20,,,2.010e-20,,,
199.43,7.547e-14,,7.547e-14,2.046e-19,,,
199.46,2.677e-12,,2.677e-12,5.714e-18,,,
199.48,2.615e-11,,2.615e-11,4.760e-17,,,
199.51,6.871e-10,,6.871e-10,9.850e-16,,,
199.53,5.496e-9,,5.496e-9,6.718e-15,,,
199.55,4.058e-8,,4.058e-8,4.230e-14,,,
199.58,7.007e-7,,7.007e-7,5.752e-13,,,
199.60,4.236e-6,,4.236e-6,2.965e-12,,,
199.63,5.420e-5,,5.420e-5,2.987e-11,,,
199.65,2.683e-4,,2.683e-4,1.261e-10,,,
199.68,2.543e-3,,2.543e-3,9.412e-10,,,
199.70,1.031e-2,,1.031e-2,3.253e-9,,,
199.73,7.240e-2,,7.240e-2,1.800e-8,,,
199.75,2.403e-1,,2.403e-1,5.100e-8,,,
199.78,1.250e+0,,1.250e+0,2.096e-7,,,
199.80,3.398e+0,,3.398e+0,4.875e-7,,,
199.83,1.310e+1,,1.310e+1,1.496e-6,,,
199.85,2.914e+1,,2.914e+1,2.876e-6,,,
199.88,8.325e+1,,8.325e+1,6.709e-6,,,
199.90,1.517e+2,,1.517e+2,1.087e-5,,,
199.93,3.210e+2,,3.210e+2,2.024e-5,,,
199.95,4.788e+2,,4.788e+2,2.902e-5,,,
199.98,7.507e+2,,7.507e+2,4.723e-5,,,
200.00,9.169e+2,,9.169e+2,6.372e-5,,,
200.03,1.065e+3,,1.065e+3,9.607e-5,,,
200.05,1.065e+3,,1.065e+3,1.218e-4,,,
200.07,9.833e+2,,9.833e+2,1.483e-4,,,
200.10,7.507e+2,,7.507e+2,1.815e-4,3.351e-13,,
200.12,5.674e+2,,5.674e+2,1.940e-4,3.491e-12,,
200.15,3.210e+2,,3.210e+2,1.953e-4,1.012e-10,,
200.17,1.986e+2,,1.986e+2,1.887e-4,8.640e-10,,
200.20,8.325e+1,,8.325e+1,1.844e-4,1.859e-8,,
200.22,4.219e+1,,4.219e+1,1.975e-4,1.302e-7,,
200.25,1.310e+1,,1.310e+1,2.556e-4,2.078e-6,,
200.27,5.435e+0,,5.435e+0,3.197e-4,1.193e-5,,
200.30,1.251e+0,,1.250e+0,4.328e-4,1.415e-4,,
200.32,4.260e-1,,4.248e-1,4.989e-4,6.659e-4,,
200.35,7.932e-2,,7.291e-2,5.515e-4,5.860e-3,,
200.37,4.526e-2,,2.210e-2,5.482e-4,2.262e-2,,
200.40,1.636e-1,,1.531e-2,5.011e-4,1.478e-1,,
200.42,5.090e-1,,4.098e-2,4.608e-4,4.675e-1,,
200.45,2.464e+0,,1.960e-1,4.165e-4,2.267e+0,,
200.47,6.391e+0,,5.083e-1,4.035e-4,5.883e+0,,
200.50,2.301e+1,,1.830e+0,3.986e-4,2.118e+1,,
200.52,4.894e+1,,3.892e+0,3.939e-4,4.505e+1,,
200.55,1.308e+2,,1.040e+1,3.717e-4,1.204e+2,,
200.57,2.281e+2,,1.814e+1,3.462e-4,2.100e+2,,
200.59,3.674e+2,,2.922e+1,3.160e-4,3.382e+2,,
200.62,6.471e+2,,5.146e+1,2.729e-4,5.956e+2,,
200.64,8.545e+2,,6.795e+1,2.539e-4,7.866e+2,,
200.67,1.117e+3,,8.885e+1,2.543e-4,1.028e+3,,
200.69,1.210e+3,,9.620e+1,2.803e-4,1.113e+3,,
200.72,1.174e+3,,9.338e+1,3.600e-4,1.081e+3,,
200.74,1.042e+3,,8.290e+1,4.319e-4,9.594e+2,,
200.77,7.511e+2,,5.982e+1,5.377e-4,6.913e+2,,
200.79,5.469e+2,,4.376e+1,5.854e-4,5.031e+2,,
200.82,2.938e+2,,2.469e+1,5.953e-4,2.691e+2,,
200.84,1.782e+2,,1.760e+1,5.567e-4,1.606e+2,,
200.87,8.265e+1,,1.888e+1,4.466e-4,6.377e+1,,
200.89,6.225e+1,,3.106e+1,3.558e-4,3.120e+1,,
200.92,8.552e+1,,7.632e+1,2.244e-4,9.197e+0,,
200.94,1.354e+2,,1.318e+2,1.528e-4,3.689e+0,,
200.97,2.610e+2,,2.602e+2,7.863e-5,8.073e-1,,
200.99,3.717e+2,,3.715e+2,5.053e-5,2.655e-1,,
201.02,5.464e+2,,5.464e+2,3.387e-5,4.391e-2,,
201.04,6.401e+2,,6.401e+2,3.537e-5,1.529e-2,,
201.06,6.928e+2,,6.928e+2,4.387e-5,1.865e-2,,
201.09,6.726e+2,,6.725e+2,6.473e-5,1.216e-1,,
201.11,5.977e+2,,5.972e+2,8.083e-5,4.284e-1,,
201.14,4.333e+2,,4.309e+2,1.030e-4,2.453e+0,,
201.16,3.211e+2,,3.139e+2,1.140e-4,7.113e+0,,
201.19,1.986e+2,,1.683e+2,1.228e-4,3.030e+1,,
201.21,1.728e+2,,1.006e+2,1.234e-4,7.215e+1,,
201.24,2.688e+2,,4.013e+1,1.170e-4,2.287e+2,,
201.26,4.669e+2,,1.977e+1,1.083e-4,4.471e+2,,
201.29,1.061e+3,,6.374e+0,8.988e-5,1.054e+3,,
201.31,1.696e+3,,3.817e+0,7.555e-5,1.692e+3,,
201.34,2.974e+3,,6.083e+0,5.520e-5,2.968e+3,,
201.36,3.924e+3,,1.241e+1,4.507e-5,3.912e+3,,
201.39,5.139e+3,,3.444e+1,3.806e-5,5.105e+3,,
201.41,5.586e+3,,6.214e+1,3.897e-5,5.524e+3,,
201.44,5.493e+3,,1.300e+2,4.596e-5,5.363e+3,,
201.46,4.957e+3,,1.928e+2,5.165e-5,4.764e+3,,
201.49,3.742e+3,,3.003e+2,5.704e-5,3.441e+3,,
201.51,2.876e+3,,3.657e+2,5.691e-5,2.510e+3,,
201.54,1.773e+3,,4.239e+2,5.138e-5,1.349e+3,,
201.56,1.232e+3,,4.239e+2,4.580e-5,8.078e+2,,
201.58,8.390e+2,,3.919e+2,4.050e-5,4.471e+2,,
201.61,4.597e+2,,3.009e+2,3.568e-5,1.588e+2,,
201.63,3.017e+2,,2.295e+2,3.509e-5,7.215e+1,,
201.66,1.553e+2,,1.362e+2,3.691e-5,1.906e+1,,
201.68,1.023e+2,,9.516e+1,3.854e-5,7.113e+0,,
201.71,7.773e+1,,7.633e+1,3.961e-5,1.398e+0,,
201.73,9.660e+1,,9.617e+1,3.901e-5,4.283e-1,,
201.76,1.796e+2,,1.795e+2,3.684e-5,6.263e-2,,
201.78,2.703e+2,,2.703e+2,3.526e-5,1.575e-2,,
201.81,4.428e+2,,4.428e+2,3.342e-5,1.714e-3,,
201.83,5.605e+2,,5.605e+2,3.231e-5,3.539e-4,,
201.86,6.915e+2,,6.915e+2,2.971e-5,2.864e-5,,
201.88,7.243e+2,,7.243e+2,2.681e-5,4.857e-6,,
201.91,6.824e+2,,6.824e+2,2.071e-5,2.924e-7,,
201.93,6.117e+2,,6.117e+2,1.607e-5,4.071e-8,,
201.96,4.973e+2,,4.973e+2,9.621e-6,1.832e-9,,
201.98,4.462e+2,,4.462e+2,6.251e-6,2.875e-10,,
202.01,4.300e+2,,4.300e+2,2.951e-6,1.925e-9,,
202.03,4.503e+2,,4.503e+2,1.816e-6,1.458e-8,,
202.06,4.864e+2,,4.864e+2,1.331e-6,2.639e-7,,
202.08,4.890e+2,,4.890e+2,1.632e-6,1.650e-6,,
202.10,4.628e+2,,4.628e+2,2.336e-6,9.547e-6,,
202.13,3.733e+2,,3.733e+2,4.074e-6,1.147e-4,,
202.15,2.944e+2,,2.944e+2,5.685e-6,5.461e-4,,
202.18,1.784e+2,,1.784e+2,8.920e-6,4.899e-3,,
202.20,1.159e+2,,1.159e+2,1.179e-5,1.919e-2,,
202.23,5.254e+1,,5.241e+1,1.739e-5,1.285e-1,,
202.25,2.841e+1,,2.800e+1,2.189e-5,4.141e-1,,
202.28,1.151e+1,,9.439e+0,2.872e-5,2.070e+0,,
202.30,9.638e+0,,4.145e+0,3.229e-5,5.493e+0,,
202.33,2.156e+1,,1.042e+0,3.443e-5,2.052e+1,,
202.35,4.523e+1,,3.761e-1,3.342e-5,4.486e+1,,
202.38,1.256e+2,,7.044e-2,2.976e-5,1.255e+2,,
202.40,2.267e+2,,2.091e-2,2.789e-5,2.267e+2,,
202.43,4.789e+2,,2.919e-3,3.020e-5,4.789e+2,,
202.45,7.209e+2,,7.122e-4,3.724e-5,7.209e+2,,
202.48,1.176e+3,,7.411e-5,5.734e-5,1.176e+3,,
202.50,1.511e+3,,1.487e-5,7.577e-5,1.511e+3,,
202.53,2.010e+3,,1.153e-6,1.050e-4,2.010e+3,,
202.55,2.317e+3,,1.901e-7,1.206e-4,2.317e+3,,
202.58,2.726e+3,,1.099e-8,1.307e-4,2.726e+3,,
202.60,2.948e+3,,1.490e-9,1.264e-4,2.948e+3,,
202.62,3.100e+3,,1.868e-10,1.139e-4,3.100e+3,,
202.65,3.116e+3,,8.527e-12,8.523e-5,3.116e+3,,
202.67,2.943e+3,,1.296e-11,6.423e-5,2.943e+3,,
202.70,2.416e+3,,3.259e-10,3.672e-5,2.416e+3,,
202.72,1.950e+3,,2.539e-9,2.316e-5,1.950e+3,,
202.75,1.237e+3,,4.774e-8,1.039e-5,1.237e+3,,
202.77,8.330e+2,,3.065e-7,6.022e-6,8.330e+2,,
