Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
199.924,1.637e-20,,4.647e-29,1.637e-20
199.926,1.042e-19,,6.346e-28,1.042e-19
199.927,2.585e-19,,2.305e-27,2.585e-19
199.929,1.536e-18,,2.937e-26,1.536e-18
199.931,8.713e-18,,3.572e-25,8.713e-18
199.932,2.040e-17,,1.225e-24,2.040e-17
199.934,1.079e-16,,1.390e-23,1.079e-16
199.936,5.454e-16,,1.506e-22,5.454e-16
199.937,1.205e-15,,4.872e-22,1.205e-15
199.939,5.680e-15,,4.925e-21,5.680e-15
199.941,2.556e-14,,4.754e-20,2.556e-14
199.942,5.330e-14,,1.452e-19,5.330e-14
199.944,2.238e-13,,1.307e-18,2.238e-13
199.946,8.973e-13,,1.124e-17,8.973e-13
199.947,1.766e-12,,3.239e-17,1.766e-12
199.949,6.604e-12,,2.598e-16,6.604e-12
199.951,2.358e-11,,1.990e-15,2.358e-11
199.952,4.380e-11,,5.412e-15,4.380e-11
199.954,1.459e-10,,3.867e-14,1.459e-10
199.956,4.643e-10,,2.638e-13,4.641e-10
199.957,8.141e-10,,6.773e-13,8.134e-10
199.959,2.418e-9,,4.311e-12,2.414e-9
199.961,6.865e-9,,2.620e-11,6.839e-9
199.962,1.138e-8,,6.347e-11,1.131e-8
199.964,3.026e-8,,3.598e-10,2.990e-8
199.966,7.741e-8,,1.948e-9,7.546e-8
199.967,1.223e-7,,4.454e-9,1.178e-7
199.969,2.999e-7,,2.249e-8,2.774e-7
199.971,7.320e-7,,1.085e-7,6.235e-7
199.972,1.153e-6,,2.341e-7,9.188e-7
199.974,2.980e-6,,1.053e-6,1.927e-6
199.976,8.381e-6,,4.523e-6,3.858e-6
199.977,1.458e-5,,9.212e-6,5.365e-6
199.979,4.694e-5,,3.692e-5,1.002e-5
199.981,1.591e-4,,1.412e-4,1.787e-5
199.982,2.950e-4,,2.715e-4,2.346e-5
199.984,1.008e-3,,9.691e-4,3.903e-5
199.986,3.365e-3,,3.303e-3,6.200e-5
199.987,6.069e-3,,5.993e-3,7.680e-5
199.989,1.917e-2,,1.905e-2,1.138e-4
199.991,5.800e-2,,5.784e-2,1.611e-4
199.992,9.924e-2,,9.905e-2,1.883e-4
199.994,2.808e-1,,2.805e-1,2.486e-4
199.996,7.589e-1,,7.586e-1,3.133e-4
199.997,1.226e+0,,1.226e+0,3.457e-4
199.999,3.093e+0,,3.093e+0,4.065e-4
200.001,7.451e+0,,7.451e+0,4.563e-4
200.002,1.137e+1,,1.136e+1,4.752e-4
200.004,2.554e+1,,2.554e+1,4.977e-4
200.006,5.480e+1,,5.480e+1,4.977e-4
200.007,7.889e+1,,7.889e+1,4.891e-4
200.009,1.579e+2,,1.579e+2,4.563e-4
200.011,3.018e+2,,3.018e+2,4.065e-4
200.012,4.101e+2,,4.101e+2,3.770e-4
200.014,7.313e+2,,7.313e+2,3.133e-4
200.016,1.245e+3,,1.245e+3,2.486e-4
200.017,1.596e+3,,1.596e+3,2.176e-4
200.019,2.536e+3,,2.536e+3,1.611e-4
200.021,3.846e+3,,3.846e+3,1.138e-4
200.022,4.654e+3,,4.654e+3,9.404e-5
200.024,6.585e+3,,6.585e+3,6.200e-5
200.026,8.896e+3,,8.896e+3,3.903e-5
200.027,1.016e+4,,1.016e+4,3.043e-5
200.029,1.281e+4,,1.281e+4,1.787e-5
200.031,1.541e+4,,1.541e+4,1.002e-5
200.032,1.661e+4,,1.661e+4,7.375e-6
200.034,1.865e+4,,1.865e+4,3.858e-6
200.036,1.999e+4,,1.999e+4,1.927e-6
200.037,2.034e+4,,2.034e+4,1.338e-6
200.039,2.034e+4,,2.034e+4,6.235e-7
200.041,1.942e+4,,1.942e+4,2.774e-7
200.042,1.865e+4,,1.865e+4,1.818e-7
200.044,1.661e+4,,1.661e+4,7.546e-8
200.046,1.413e+4,,1.413e+4,2.990e-8
200.047,1.281e+4,,1.281e+4,1.850e-8
200.049,1.016e+4,,1.016e+4,6.839e-9
200.051,7.698e+3,,7.698e+3,2.414e-9
200.052,6.585e+3,,6.585e+3,1.409e-9
200.054,4.654e+3,,4.654e+3,4.644e-10
200.056,3.141e+3,,3.141e+3,1.471e-10
200.057,2.536e+3,,2.536e+3,8.286e-11
200.059,1.596e+3,,1.596e+3,3.319e-11
200.061,9.597e+2,,9.597e+2,4.250e-11
200.062,7.313e+2,,7.313e+2,7.161e-11
200.064,4.101e+2,,4.101e+2,2.384e-10
200.066,2.196e+2,,2.196e+2,7.905e-10
200.067,1.579e+2,,1.579e+2,1.417e-9
200.069,7.889e+1,,7.889e+1,4.398e-9
200.071,3.763e+1,,3.763e+1,1.303e-8
200.072,2.554e+1,,2.554e+1,2.205e-8
200.074,1.136e+1,,1.136e+1,6.098e-8
200.076,4.828e+0,,4.828e+0,1.610e-7
200.077,3.093e+0,,3.093e+0,2.571e-7
200.079,1.226e+0,,1.226e+0,6.334e-7
200.081,4.640e-1,,4.640e-1,1.490e-6
200.082,2.805e-1,,2.805e-1,2.246e-6
200.084,9.905e-2,,9.905e-2,4.928e-6
200.086,3.340e-2,,3.339e-2,1.033e-5
200.087,1.907e-2,,1.905e-2,1.469e-5
200.089,6.021e-3,,5.993e-3,2.872e-5
200.091,1.853e-3,,1.800e-3,5.361e-5
200.092,1.041e-3,,9.691e-4,7.199e-5
200.094,3.969e-4,,2.715e-4,1.254e-4
200.096,2.811e-4,,7.263e-5,2.085e-4
200.097,3.012e-4,,3.692e-5,2.643e-4
200.099,4.193e-4,,9.212e-6,4.101e-4
200.101,6.097e-4,,2.195e-6,6.075e-4
200.102,7.279e-4,,1.053e-6,7.268e-4
200.104,1.005e-3,,2.341e-7,1.005e-3
200.106,1.327e-3,,4.968e-8,1.327e-3
200.107,1.498e-3,,2.249e-8,1.498e-3
200.109,1.846e-3,,4.454e-9,1.846e-3
200.111,2.174e-3,,8.421e-10,2.174e-3
200.112,2.318e-3,,3.598e-10,2.318e-3
200.114,2.549e-3,,6.347e-11,2.549e-3
200.116,2.681e-3,,1.069e-11,2.681e-3
200.117,2.703e-3,,4.311e-12,2.703e-3
200.119,2.662e-3,,6.773e-13,2.662e-3
200.121,2.513e-3,,1.016e-13,2.513e-3
200.122,2.405e-3,,3.867e-14,2.405e-3
200.124,2.141e-3,,5.412e-15,2.141e-3
200.126,1.841e-3,,7.232e-16,1.841e-3
200.127,1.688e-3,,2.598e-16,1.688e-3
200.129,1.394e-3,,3.239e-17,1.394e-3
200.131,1.132e-3,,3.855e-18,1.132e-3
200.132,1.017e-3,,1.307e-18,1.017e-3
200.134,8.206e-4,,1.452e-19,8.206e-4
200.136,6.676e-4,,1.539e-20,6.676e-4
200.137,6.053e-4,,4.925e-21,6.053e-4
200.139,5.037e-4,,4.872e-22,5.037e-4
200.141,4.256e-4,,4.601e-23,4.256e-4
200.142,3.928e-4,,1.390e-23,3.928e-4
200.144,3.363e-4,,1.225e-24,3.363e-4
200.146,2.880e-4,,1.030e-25,2.880e-4
200.147,2.661e-4,,2.937e-26,2.661e-4
200.149,2.257e-4,,2.305e-27,2.257e-4
200.151,1.895e-4,,1.727e-28,1.895e-4
200.152,1.729e-4,,4.647e-29,1.729e-4
200.154,1.432e-4,,3.249e-30,1.432e-4
200.156,1.190e-4,,2.169e-31,1.190e-4
200.157,1.094e-4,,5.506e-32,1.094e-4
200.159,9.619e-5,,3.429e-33,9.619e-5
200.161,9.273e-5,,2.039e-34,9.273e-5
200.162,9.533e-5,,4.886e-35,9.533e-5
200.164,1.105e-4,,2.711e-36,1.105e-4
200.165,1.236e-4,,6.275e-37,1.236e-4
200.167,1.613e-4,,3.247e-38,1.613e-4
200.169,2.145e-4,,1.605e-39,2.145e-4
200.17,2.464e-4,,3.506e-40,2.464e-4
200.172,3.188e-4,,1.616e-41,3.188e-4
200.174,3.981e-4,,7.113e-43,3.981e-4
200.175,4.381e-4,,1.467e-43,4.381e-4
200.177,5.136e-4,,6.023e-45,5.136e-4
200.179,5.758e-4,,2.362e-46,5.758e-4
200.18,5.994e-4,,4.596e-47,5.994e-4
200.182,6.275e-4,,1.681e-48,6.275e-4
200.184,6.274e-4,,5.871e-50,6.274e-4
200.185,6.165e-4,,1.078e-50,6.165e-4
200.187,5.752e-4,,3.514e-52,5.752e-4
200.189,5.125e-4,,1.093e-53,5.125e-4
200.19,4.754e-4,,1.895e-54,4.754e-4
200.192,3.952e-4,,5.500e-56,3.952e-4
200.194,3.137e-4,,1.524e-57,3.137e-4
200.195,2.747e-4,,2.493e-58,2.747e-4
200.197,2.034e-4,,6.446e-60,2.034e-4
200.199,1.438e-4,,1.591e-61,1.438e-4
200.2,1.189e-4,,2.457e-62,1.189e-4
200.202,7.843e-5,,5.659e-64,7.843e-5
200.204,4.941e-5,,1.244e-65,4.941e-5
200.205,3.855e-5,,1.813e-66,3.855e-5
200.207,2.266e-5,,3.720e-68,2.266e-5
200.209,1.273e-5,,3.703e-68,1.273e-5
200.21,9.377e-6,,3.695e-68,9.377e-6
200.212,4.934e-6,,3.678e-68,4.934e-6
200.214,2.520e-6,,3.661e-68,2.520e-6
200.215,1.804e-6,,3.653e-68,1.804e-6
200.217,1.006e-6,,3.636e-68,1.006e-6
200.219,7.782e-7,,3.619e-68,7.782e-7
200.22,8.243e-7,,3.611e-68,8.243e-7
200.222,1.213e-6,,3.594e-68,1.213e-6
200.224,2.055e-6,,3.577e-68,2.055e-6
200.225,2.692e-6,,3.569e-68,2.692e-6
200.227,4.534e-6,,3.552e-68,4.534e-6
200.229,7.372e-6,,3.536e-68,7.372e-6
200.23,9.264e-6,,3.527e-68,9.264e-6
200.232,1.422e-5,,3.511e-68,1.422e-5
200.234,2.102e-5,,3.494e-68,2.102e-5
200.235,2.521e-5,,3.485e-68,2.521e-5
200.237,3.532e-5,,3.469e-68,3.532e-5
200.239,4.784e-5,,3.452e-68,4.784e-5
200.24,5.501e-5,,3.444e-68,5.501e-5
200.242,7.103e-5,,3.427e-68,7.103e-5
200.244,8.893e-5,,3.410e-68,8.893e-5
200.245,9.838e-5,,3.402e-68,9.838e-5
200.247,1.177e-4,,3.385e-68,1.177e-4
200.249,1.367e-4,,3.368e-68,1.367e-4
200.25,1.456e-4,,3.360e-68,1.456e-4
200.252,1.613e-4,,3.343e-68,1.613e-4
200.254,1.729e-4,,3.326e-68,1.729e-4
200.255,1.768e-4,,3.318e-68,1.768e-4
200.257,1.799e-4,,3.301e-68,1.799e-4
200.259,1.766e-4,,3.285e-68,1.766e-4
200.26,1.725e-4,,3.276e-68,1.725e-4
200.262,1.598e-4,,3.259e-68,1.598e-4
200.264,1.423e-4,,3.243e-68,1.423e-4
200.265,1.322e-4,,3.234e-68,1.322e-4
200.267,1.106e-4,,3.218e-68,1.106e-4
200.269,8.862e-5,,3.201e-68,8.862e-5
200.27,7.807e-5,,3.192e-68,7.807e-5
200.272,5.864e-5,,3.176e-68,5.864e-5
200.274,4.214e-5,,3.159e-68,4.214e-5
200.275,3.513e-5,,3.151e-68,3.513e-5
200.277,2.361e-5,,3.134e-68,2.361e-5
200.279,1.517e-5,,3.117e-68,1.517e-5
200.28,1.195e-5,,3.109e-68,1.195e-5
200.282,7.174e-6,,3.092e-68,7.174e-6
200.284,4.114e-6,,3.075e-68,4.114e-6
200.285,3.062e-6,,3.067e-68,3.062e-6
200.287,1.640e-6,,3.050e-68,1.640e-6
200.289,8.386e-7,,3.033e-68,8.386e-7
200.29,5.895e-7,,3.025e-68,5.895e-7
200.292,2.814e-7,,3.008e-68,2.814e-7
200.294,1.284e-7,,2.992e-68,1.284e-7
200.295,8.541e-8,,2.983e-68,8.541e-8
200.297,3.714e-8,,2.967e-68,3.714e-8
200.299,1.775e-8,,2.950e-68,1.775e-8
200.3,1.465e-8,,2.941e-68,1.465e-8
200.302,2.029e-8,,2.925e-68,2.029e-8
200.304,5.091e-8,,2.908e-68,5.091e-8
200.305,8.464e-8,,2.900e-68,8.464e-8
200.307,2.317e-7,,2.883e-68,2.317e-7
200.309,6.097e-7,,2.866e-68,6.097e-7
200.31,9.726e-7,,2.858e-68,9.726e-7
200.312,2.391e-6,,2.841e-68,2.391e-6
200.314,5.612e-6,,2.824e-68,5.612e-6
200.315,8.451e-6,,2.816e-68,8.451e-6
200.317,1.851e-5,,2.799e-68,1.851e-5
200.319,3.872e-5,,2.782e-68,3.872e-5
200.32,5.504e-5,,2.774e-68,5.504e-5
200.322,1.074e-4,,2.757e-68,1.074e-4
200.324,2.003e-4,,2.741e-68,2.003e-4
200.325,2.687e-4,,2.732e-68,2.687e-4
200.327,4.674e-4,,2.715e-68,4.674e-4
200.329,7.763e-4,,2.699e-68,7.763e-4
200.33,9.833e-4,,2.690e-68,9.833e-4
200.332,1.524e-3,,2.674e-68,1.524e-3
200.334,2.256e-3,,2.657e-68,2.256e-3
200.335,2.697e-3,,2.648e-68,2.697e-3
200.337,3.725e-3,,2.632e-68,3.725e-3
200.339,4.913e-3,,2.615e-68,4.913e-3
200.34,5.545e-3,,2.607e-68,5.545e-3
200.342,6.824e-3,,2.590e-68,6.824e-3
200.344,8.020e-3,,2.573e-68,8.020e-3
200.345,8.545e-3,,2.565e-68,8.545e-3
200.347,9.370e-3,,2.548e-68,9.370e-3
200.349,9.813e-3,,2.531e-68,9.813e-3
200.35,9.870e-3,,2.523e-68,9.870e-3
200.352,9.645e-3,,2.506e-68,9.645e-3
200.354,9.000e-3,,2.489e-68,9.000e-3
200.355,8.545e-3,,2.481e-68,8.545e-3
200.357,7.441e-3,,2.464e-68,7.441e-3
200.359,6.187e-3,,2.448e-68,6.187e-3
200.36,5.545e-3,,2.439e-68,5.545e-3
200.362,4.303e-3,,2.423e-68,4.303e-3
200.364,3.188e-3,,2.406e-68,3.188e-3
200.365,2.697e-3,,2.397e-68,2.697e-3
200.367,1.865e-3,,2.381e-68,1.865e-3
200.369,1.231e-3,,2.364e-68,1.231e-3
200.37,9.833e-4,,2.356e-68,9.833e-4
200.372,6.058e-4,,2.339e-68,6.058e-4
200.374,3.564e-4,,2.322e-68,3.564e-4
200.375,2.687e-4,,2.314e-68,2.687e-4
200.377,1.475e-4,,2.297e-68,1.475e-4
200.379,7.735e-5,,2.280e-68,7.735e-5
200.38,5.504e-5,,2.272e-68,5.504e-5
200.382,2.693e-5,,2.255e-68,2.693e-5
200.384,1.258e-5,,2.238e-68,1.258e-5
200.385,8.451e-6,,2.230e-68,8.451e-6
200.387,3.684e-6,,2.213e-68,3.684e-6
200.389,1.534e-6,,2.197e-68,1.534e-6
