wavelength,intensity
198.24,2.512e-34
198.25,2.3520000000000003e-30
198.27,1.065e-29
198.28,2.283e-29
198.3,1.0090000000000001e-28
198.32,7.747e-28
198.33,1.625e-27
198.35,7.059e-27
198.37,3.0180000000000003e-26
198.38,6.201e-26
198.4,2.587e-25
198.42,1.062e-24
198.43,2.139e-24
198.45,8.569e-24
198.47,3.3779999999999996e-23
198.48,6.666e-23
198.5,2.5649999999999997e-22
198.52,9.708e-22
198.53,1.877e-21
198.55,6.936e-21
198.57,2.5210000000000002e-20
198.58,4.7770000000000007e-20
198.6,1.695e-19
198.61,3.172e-19
198.63,1.098e-18
198.65,3.74e-18
198.66,6.861e-18
198.68,2.28e-17
198.7,7.456e-17
198.71,1.34e-16
198.73,4.275e-16
198.75,1.342e-15
198.76,2.363e-15
198.78,7.236e-15
198.8,2.18e-14
198.81,3.761e-14
198.83,1.105e-13
198.85,3.196e-13
198.86,5.401e-13
198.88,1.523e-12
198.9,4.227e-12
198.91,6.997e-12
198.93,1.894e-11
198.95,5.042e-11
198.96,8.175e-11
198.98,2.123e-10
198.99,3.4e-10
199.01,8.611e-10
199.03,2.145e-09
199.04,3.364e-09
199.06,8.174e-09
199.08,1.953e-08
199.09,3.001e-08
199.11,6.992e-08
199.13,1.602e-07
199.14,2.411e-07
199.16,5.388e-07
199.18,1.184e-06
199.19,1.745e-06
199.21,3.739e-06
199.23,7.881e-06
199.24,1.137e-05
199.26,2.336e-05
199.28,4.722e-05
199.29,6.67e-05
199.31,0.0001314
199.33,0.0002547
199.34,0.0003522
199.36,0.0006655
199.37,0.0009089
199.39,0.001674
199.41,0.003032
199.42,0.004055
199.44,0.00716
199.46,0.01243
199.47,0.01628
199.49,0.02755
199.51,0.04586
199.52,0.05879
199.54,0.09539
199.56,0.1522
199.57,0.191
199.59,0.297
199.61,0.4542
199.62,0.5581
199.64,0.832
199.66,1.219
199.67,1.467
199.69,2.096
199.71,2.944
199.72,3.467
199.74,4.748
199.75,5.521
199.77,7.37
199.79,9.672
199.8,11.01
199.82,14.09
199.84,17.72
199.85,19.75
199.87,24.21
199.89,29.19
199.9,31.84
199.92,37.42
199.94,43.23
199.95,46.17
199.97,52.0
199.99,57.58
200.0,60.2
200.02,64.98
200.04,68.96
200.05,70.59
200.07,73.03
200.08,73.81
200.1,74.45
200.12,73.84
200.13,73.08
200.15,70.68
200.17,67.24
200.18,65.17
200.2,60.48
200.22,55.23
200.23,52.47
200.25,46.8
200.27,41.12
200.28,38.33
200.3,32.99
200.32,28.04
200.33,25.75
200.35,21.58
200.37,18.0
200.38,16.43
200.4,13.75
200.42,11.65
200.43,10.81
200.45,9.529
200.46,9.076
200.48,8.524
200.5,8.41
200.51,8.508
200.53,8.991
200.55,9.833
200.56,10.38
200.58,11.7
200.6,13.31
200.61,14.21
200.63,16.16
200.65,18.3
200.66,19.41
200.68,21.7
200.7,24.03
200.71,25.19
200.73,27.47
200.75,29.65
200.76,30.7
200.78,32.68
200.8,34.52
200.81,35.39
200.83,37.05
200.84,37.84
200.86,39.39
200.88,40.93
200.89,41.71
200.91,43.33
200.93,45.06
200.94,45.97
200.96,47.87
200.98,49.87
200.99,50.9
201.01,52.94
201.03,54.91
201.04,55.83
201.06,57.5
201.08,58.83
201.09,59.33
201.11,59.98
201.13,60.09
201.14,59.94
201.16,59.21
201.18,57.95
201.19,57.14
201.21,55.21
201.22,54.11
201.24,51.75
201.26,49.26
201.27,48.01
201.29,45.58
201.31,43.35
201.32,42.35
201.34,40.6
201.36,39.28
201.37,38.79
201.39,38.16
201.41,38.02
201.42,38.12
201.44,38.65
201.46,39.58
201.47,40.17
201.49,41.58
201.51,43.2
201.52,44.08
201.54,45.91
201.55,46.85
201.57,48.74
201.59,50.59
201.6,51.5
201.62,53.26
201.64,54.94
201.65,55.75
201.67,57.33
201.69,58.86
201.7,59.61
201.72,61.13
201.74,62.66
201.75,63.45
201.77,65.04
201.79,66.66
201.8,67.47
201.82,69.09
201.84,70.65
201.85,71.39
201.87,72.75
201.89,73.88
201.9,74.35
201.92,75.03
201.93,75.23
201.95,75.34
201.97,75.02
201.98,74.69
202.0,73.71
202.02,72.31
202.03,71.47
202.05,69.53
202.07,67.33
202.08,66.17
202.1,63.8
202.12,61.53
202.13,60.5
202.15,58.82
202.17,57.91
202.18,57.86
202.2,58.88
202.22,61.82
202.23,64.2
202.25,71.21
202.27,81.83
202.28,88.73
202.3,106.3
202.31,117.1
202.33,143.3
202.35,176.1
202.36,195.2
202.38,238.9
202.4,290.0
202.41,318.2
202.43,379.7
202.45,447.1
202.46,482.6
202.48,555.9
202.5,630.6
202.51,667.7
202.53,739.6
202.55,806.3
202.56,836.8
202.58,890.3
202.6,931.9
202.61,947.7
202.63,968.0
202.65,972.6
202.66,969.0
202.68,950.0
202.69,935.0
202.71,894.5
202.73,841.9
202.74,811.8
202.76,745.7
202.78,674.0
202.79,636.9
202.81,562.1
202.83,488.3
202.84,452.4
202.86,384.1
202.88,321.3
202.89,292.3
202.91,239.5
202.93,193.8
202.94,173.7
202.96,138.6
202.98,109.9
202.99,97.9
203.01,77.87
203.02,69.71
203.04,56.65
203.06,47.32
203.07,43.84
203.09,38.88
203.11,36.1
203.12,35.37
203.14,34.94
203.16,35.57
203.17,36.17
203.19,37.73
203.21,39.56
203.22,40.51
203.24,42.32
203.26,43.88
203.27,44.53
203.29,45.5
203.31,45.96
203.32,46.0
203.34,45.68
203.36,44.86
203.37,44.29
203.39,42.87
203.4,42.05
203.42,40.26
203.44,38.37
203.45,37.43
203.47,35.62
203.49,33.98
203.5,33.25
203.52,32.02
203.54,31.11
203.55,30.77
203.57,30.34
203.59,30.19
203.6,30.21
203.62,30.39
203.64,30.72
203.65,30.91
203.67,31.32
203.69,31.74
203.7,31.94
203.72,32.31
203.74,32.65
203.75,32.83
203.77,33.22
203.78,33.45
203.8,34.04
203.82,34.88
203.83,35.43
203.85,36.82
203.87,38.68
203.88,39.8
203.9,42.45
203.92,45.64
203.93,47.43
203.95,51.33
203.97,55.58
203.98,57.78
204.0,62.24
204.02,66.6
204.03,68.67
204.05,72.47
204.07,75.62
204.08,76.89
204.1,78.75
204.12,79.58
204.13,79.58
204.15,78.76
204.16,77.94
204.18,75.52
204.2,72.15
204.21,70.16
204.23,65.67
204.25,60.67
204.26,58.04
204.28,52.64
204.3,47.21
204.31,44.54
204.33,39.37
204.35,34.52
204.36,32.24
204.38,28.02
204.4,24.25
204.41,22.54
204.43,19.45
204.45,16.79
204.46,15.61
204.48,13.51
204.49,12.58
204.51,10.94
204.53,9.547
204.54,8.936
204.56,7.865
204.58,6.976
204.59,6.595
204.61,5.95
204.63,5.458
204.64,5.268
204.66,4.997
204.68,4.874
204.69,4.868
204.71,4.97
204.73,5.228
204.74,5.417
204.76,5.922
204.78,6.604
204.79,7.016
204.81,7.992
204.83,9.185
204.84,9.869
204.86,11.42
204.87,12.3
204.89,14.25
204.91,16.48
204.92,17.7
204.94,20.34
204.96,23.21
204.97,24.73
204.99,27.88
205.01,31.13
205.02,32.77
205.04,35.99
205.06,39.05
205.07,40.49
205.09,43.1
205.11,45.28
205.12,46.18
205.14,47.54
205.16,48.3
205.17,48.45
205.19,48.29
205.21,47.59
205.22,47.07
205.24,45.77
205.25,45.05
205.27,43.59
205.29,42.36
205.3,41.93
205.32,41.72
205.34,42.77
205.35,43.94
205.37,48.02
205.39,55.1
205.4,60.06
205.42,73.56
205.44,92.96
205.45,105.3
205.47,136.6
205.49,178.3
205.5,203.6
205.52,264.9
205.54,342.1
205.55,387.4
205.57,492.8
205.59,619.2
205.6,690.8
205.62,850.8
205.63,939.3
205.65,1132.0
205.67,1345.0
205.68,1458.0
205.7,1693.0
205.72,1936.0
205.73,2058.0
205.75,2299.0
205.77,2529.0
205.78,2636.0
205.8,2831.0
205.82,2993.0
205.83,3059.0
205.85,3157.0
205.87,3207.0
205.88,3213.0
205.9,3187.0
205.92,3111.0
205.93,3056.0
205.95,2913.0
205.96,2827.0
205.98,2632.0
206.0,2413.0
206.01,2297.0
206.03,2057.0
206.05,1815.0
206.06,1695.0
206.08,1463.0
206.1,1246.0
206.11,1144.0
206.13,955.4
206.15,789.1
206.16,714.5
206.18,582.3
206.2,471.8
206.21,424.1
206.23,342.7
206.25,277.7
206.26,250.7
206.28,205.7
206.3,171.0
206.31,156.8
206.33,133.6
206.34,124.1
206.36,108.4
206.38,96.17
206.39,91.01
206.41,82.13
206.43,74.72
206.44,71.43
206.46,65.49
206.48,60.25
206.49,57.84
206.51,53.41
206.53,49.48
206.54,47.68
206.56,44.44
206.58,41.64
