spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.9841,0.9922,0.9697,0.9942,0.0000,0.4570,0.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10724.0391
03124_95_random,0.9839,0.6861,0.9491,0.8990,0.9946,0.6563,0.0000,0.6985,0.3188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11812.8382
03130_95_random,0.9753,0.4168,0.9729,0.8679,0.9100,0.6971,0.0000,0.9736,0.9019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11665.6130
03134_95_random,0.9839,0.6581,0.9710,0.0000,0.9640,0.0000,0.9433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9790.4363
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9720,0.8118,0.0000,0.0000,0.0000,0.0000,0.0000,12432.6755
070099_95_random,0.9854,0.0000,0.0000,0.0000,0.0000,0.0000,0.4884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12861.3464
070101_95_random,0.7522,0.8854,0.0000,0.0000,0.0000,0.0048,0.0000,0.3626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8399.0057
070159_95_random,0.9888,0.0000,0.9327,0.0000,0.9459,0.8874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9451.6458
070171_95_random,0.9779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.8908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12701.8252
07103_95_random,0.0000,0.9773,0.0000,0.7611,0.9912,0.6956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10326.1806
07105_95_random,0.9771,0.0000,0.0000,0.0000,0.0000,0.8504,0.0000,0.9743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11939.7735
07106_95_random,0.9793,0.0000,0.9355,0.0000,0.8881,0.7533,0.0000,0.0000,0.8676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8332.1015
07107_95_random,0.0000,0.0000,0.8753,0.0000,0.9644,0.7088,0.0000,0.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12740.0227
07111_95_random,0.0000,0.0000,0.0000,0.9231,0.0000,0.4359,0.0000,0.0000,0.0000,0.0000,0.7476,0.0000,0.0000,0.0000,0.0000,9931.9275
07121_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9689,0.9698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9490.2572
07122_95_random,0.0000,0.0000,0.0000,0.6718,0.9858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10393.0293
07125_95_random,0.0000,0.8700,0.7811,0.0000,0.9491,0.0000,0.7250,0.7980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10485.2955
07141_95_random,0.9664,0.0000,0.4006,0.8145,0.9039,0.6986,0.0000,0.0000,0.8637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14490.6941
07145_95_random,0.8688,0.0000,0.7814,0.0000,0.0000,0.8160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11391.1990
07405_95_random,0.0000,0.0000,0.0000,0.9012,0.0000,0.0000,0.7854,0.2590,0.0000,0.0000,0.6372,0.0000,0.0000,0.0000,0.0000,11959.8473
07407_95_random,0.0000,0.4333,0.7394,0.0000,0.0000,0.5173,0.0000,0.0000,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9449.4914
07840_95_random,0.9846,0.0000,0.0000,0.0000,0.0000,0.4335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12505.5125
