wavelength,intensity
198.3,1.685e-38
198.32,3.0780000000000003e-31
198.33,8.129e-31
198.35,3.9760000000000004e-30
198.37,1.9089999999999999e-29
198.38,5.248e-29
198.4,2.482e-28
198.41,5.361e-28
198.43,2.468e-27
198.45,1.1150000000000001e-26
198.46,2.356e-26
198.48,1.037e-25
198.5,4.48e-25
198.51,9.25e-25
198.53,3.892e-24
198.55,1.608e-23
198.56,3.247e-23
198.58,1.306e-22
198.6,5.161999999999999e-22
198.61,1.019e-21
198.63,3.921e-21
198.65,1.4820000000000002e-20
198.66,2.8610000000000004e-20
198.68,1.053e-19
198.7,3.804e-19
198.71,7.184e-19
198.73,2.528e-18
198.75,8.737e-18
198.76,1.613e-17
198.78,5.43e-17
198.79,9.894e-17
198.81,3.242e-16
198.83,1.043e-15
198.84,1.859e-15
198.86,5.826e-15
198.88,1.793e-14
198.89,3.126e-14
198.91,9.367e-14
198.93,2.757e-13
198.94,4.699e-13
198.96,1.347e-12
198.98,3.791e-12
198.99,6.319e-12
199.01,1.732e-11
199.03,4.661e-11
199.04,7.596e-11
199.06,1.99e-10
199.08,5.122e-10
199.09,8.162e-10
199.11,2.045e-09
199.12,3.215e-09
199.14,7.838e-09
199.16,1.877e-08
199.17,2.885e-08
199.19,6.724e-08
199.21,1.539e-07
199.22,2.313e-07
199.24,5.151e-07
199.26,1.127e-06
199.27,1.655e-06
199.29,3.523e-06
199.31,7.365e-06
199.32,1.058e-05
199.34,2.151e-05
199.36,4.296e-05
199.37,6.03e-05
199.39,0.0001172
199.41,0.0002236
199.42,0.0003067
199.44,0.0005694
199.46,0.001038
199.47,0.001391
199.49,0.002467
199.5,0.003263
199.52,0.005628
199.54,0.009532
199.55,0.01232
199.57,0.0203
199.59,0.03282
199.6,0.04146
199.62,0.06522
199.64,0.1007
199.65,0.1243
199.67,0.1868
199.69,0.2754
199.7,0.3322
199.72,0.4765
199.74,0.6709
199.75,0.7906
199.77,1.083
199.79,1.456
199.8,1.676
199.82,2.192
199.84,2.813
199.85,3.165
199.87,3.95
199.88,4.383
199.9,5.32
199.92,6.34
199.93,6.873
199.95,7.965
199.97,9.061
199.98,9.597
200.0,10.62
200.02,11.53
200.03,11.93
200.05,12.6
200.07,13.07
200.08,13.22
200.1,13.33
200.12,13.2
200.13,13.04
200.15,12.56
200.17,11.89
200.18,11.48
200.2,10.58
200.22,9.571
200.23,9.046
200.25,7.981
200.26,7.451
200.28,6.419
200.3,5.451
200.31,4.999
200.33,4.169
200.35,3.449
200.36,3.132
200.38,2.583
200.4,2.145
200.41,1.966
200.43,1.683
200.45,1.493
200.46,1.43
200.48,1.366
200.5,1.377
200.51,1.41
200.53,1.527
200.55,1.711
200.56,1.827
200.58,2.105
200.59,2.266
200.61,2.628
200.63,3.039
200.64,3.26
200.66,3.725
200.68,4.211
200.69,4.457
200.71,4.947
200.73,5.42
200.74,5.647
200.76,6.071
200.78,6.452
200.79,6.624
200.81,6.931
200.83,7.193
200.84,7.309
200.86,7.519
200.88,7.711
200.89,7.805
200.91,7.997
200.93,8.207
200.94,8.322
200.96,8.573
200.97,8.71
200.99,9.004
201.01,9.316
201.02,9.474
201.04,9.782
201.06,10.06
201.07,10.18
201.09,10.38
201.11,10.5
201.12,10.52
201.14,10.5
201.16,10.37
201.17,10.27
201.19,10.01
201.21,9.674
201.22,9.486
201.24,9.084
201.26,8.67
201.27,8.467
201.29,8.083
201.31,7.748
201.32,7.605
201.34,7.377
201.35,7.294
201.37,7.197
201.39,7.19
201.4,7.22
201.42,7.344
201.44,7.545
201.45,7.67
201.47,7.962
201.49,8.295
201.5,8.473
201.52,8.84
201.54,9.209
201.55,9.391
201.57,9.742
201.59,10.07
201.6,10.22
201.62,10.51
201.64,10.76
201.65,10.89
201.67,11.12
201.69,11.34
201.7,11.45
201.72,11.68
201.73,11.81
201.75,12.07
201.77,12.36
201.78,12.52
201.8,12.84
201.82,13.19
201.83,13.36
201.85,13.71
201.87,14.04
201.88,14.19
201.9,14.46
201.92,14.68
201.93,14.76
201.95,14.87
201.97,14.9
201.98,14.89
202.0,14.84
202.02,14.77
202.03,14.74
202.05,14.75
202.06,14.82
202.08,15.16
202.1,15.98
202.11,16.65
202.13,18.78
202.15,22.4
202.16,24.99
202.18,32.28
202.2,43.37
202.21,50.77
202.23,70.39
202.25,98.16
202.26,115.9
202.28,160.5
202.3,220.1
202.31,256.5
202.33,344.5
202.35,455.2
202.36,520.1
202.38,670.1
202.4,848.4
202.41,948.2
202.43,1169.0
202.44,1289.0
202.46,1546.0
202.48,1822.0
202.49,1964.0
202.51,2251.0
202.53,2534.0
202.54,2671.0
202.56,2925.0
202.58,3147.0
202.59,3241.0
202.61,3392.0
202.63,3486.0
202.64,3510.0
202.66,3509.0
202.68,3445.0
202.69,3391.0
202.71,3239.0
202.73,3039.0
202.74,2923.0
202.76,2668.0
202.78,2391.0
202.79,2248.0
202.81,1961.0
202.82,1819.0
202.84,1543.0
202.86,1286.0
202.87,1166.0
202.89,945.8
202.91,753.3
202.92,667.8
202.94,517.8
202.96,394.4
202.97,342.0
202.99,253.9
203.01,185.4
203.02,157.5
203.04,112.5
203.06,79.37
203.07,66.47
203.09,46.5
203.11,32.69
203.12,27.56
203.14,20.03
203.16,15.21
203.17,13.55
203.19,11.31
203.2,10.59
203.22,9.708
203.24,9.308
203.25,9.216
203.27,9.146
203.29,9.131
203.3,9.119
203.32,9.052
203.34,8.906
203.35,8.799
203.37,8.519
203.39,8.161
203.4,7.959
203.42,7.525
203.44,7.072
203.45,6.847
203.47,6.416
203.49,6.029
203.5,5.857
203.52,5.565
203.53,5.447
203.55,5.267
203.57,5.16
203.58,5.132
203.6,5.118
203.62,5.148
203.63,5.175
203.65,5.244
203.67,5.319
203.68,5.355
203.7,5.422
203.72,5.476
203.73,5.5
203.75,5.543
203.77,5.592
203.78,5.624
203.8,5.715
203.82,5.861
203.83,5.962
203.85,6.235
203.87,6.617
203.88,6.855
203.9,7.427
203.91,7.763
203.93,8.531
203.95,9.413
203.96,9.89
203.98,10.89
204.0,11.93
204.01,12.45
204.03,13.44
204.05,14.34
204.06,14.74
204.08,15.41
204.1,15.87
204.11,16.01
204.13,16.11
204.15,15.95
204.16,15.78
204.18,15.25
204.2,14.51
204.21,14.07
204.23,13.08
204.25,11.99
204.26,11.42
204.28,10.25
204.29,9.67
204.31,8.533
204.33,7.457
204.34,6.949
204.36,6.006
204.38,5.166
204.39,4.786
204.41,4.105
204.43,3.523
204.44,3.266
204.46,2.813
204.48,2.432
204.49,2.265
204.51,1.97
204.53,1.722
204.54,1.612
204.56,1.42
204.58,1.259
204.59,1.19
204.61,1.072
204.62,1.023
204.64,0.9453
204.66,0.8943
204.67,0.8788
204.69,0.8679
204.71,0.884
204.72,0.9024
204.74,0.9603
204.76,1.048
204.77,1.103
204.79,1.238
204.81,1.41
204.82,1.511
204.84,1.746
204.86,2.03
204.87,2.192
204.89,2.56
204.91,2.99
204.92,3.228
204.94,3.753
204.96,4.338
204.97,4.652
204.99,5.313
205.0,5.657
205.02,6.36
205.04,7.065
205.05,7.41
205.07,8.068
205.09,8.66
205.1,8.923
205.12,9.368
205.14,9.689
205.15,9.799
205.17,9.915
205.19,9.894
205.2,9.836
205.22,9.643
205.24,9.376
205.25,9.231
205.27,8.955
205.29,8.767
205.3,8.737
205.32,8.881
205.34,9.427
205.35,9.911
205.37,11.45
205.38,12.57
205.4,15.77
205.42,20.59
205.43,23.77
205.45,32.12
205.47,43.75
205.48,51.07
205.5,69.39
205.52,93.57
205.53,108.2
205.55,143.5
205.57,187.8
205.58,213.7
205.6,273.5
205.62,344.6
205.63,384.5
205.65,473.0
205.67,572.2
205.68,625.4
205.7,737.6
205.72,855.3
205.73,915.1
205.75,1034.0
205.76,1092.0
205.78,1202.0
205.8,1301.0
205.81,1344.0
205.83,1416.0
205.85,1467.0
205.86,1483.0
205.88,1495.0
205.9,1482.0
205.91,1466.0
205.93,1415.0
205.95,1342.0
205.96,1298.0
205.98,1199.0
206.0,1089.0
206.01,1030.0
206.03,911.4
206.05,792.2
206.06,733.9
206.08,621.8
206.09,568.8
206.11,470.1
206.13,382.3
206.14,342.8
206.16,272.5
206.18,213.6
206.19,188.3
206.21,145.0
206.23,110.8
206.24,96.58
206.26,73.33
206.28,55.8
206.29,48.81
206.31,37.73
206.33,29.72
206.34,26.62
206.36,21.81
206.38,18.41
206.39,17.1
206.41,15.07
206.43,13.6
206.44,13.01
206.46,12.06
206.47,11.66
206.49,10.99
206.51,10.43
206.52,10.18
206.54,9.735
206.56,9.341
206.57,9.16
